Выборы Президента Российской Федерации																																																										
Дата голосования: 18.03.2018																																																										
																																																										
Наименование Избирательной комиссии:    Москаленская																																																										
																																																										
Сводная таблица итогов голосования																																																										
																																																										
	Число участковых избирательных комиссий	47																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																								
																																																										
		Сумма	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073									
1	"Число избирателей, включенных в список избирателей"	21997	510	932	101	97	712	148	190	628	387	255	105	264	372	787	183	171	170	580	220	571	273	170	1044	80	151	178	149	91	589	339	319	164	451	136	750	607	1327	130	333	184	1317	1227	725	1333	1153	877	517									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22776	524	959	106	96	762	148	186	645	415	271	117	281	378	821	195	173	175	600	204	575	280	175	1094	104	161	204	174	94	620	334	333	168	448	132	776	663	1329	129	341	190	1369	1286	747	1388	1192	900	514									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13051	291	579	84	71	452	110	118	342	250	165	52	177	222	361	90	117	84	283	143	384	184	114	615	79	97	134	110	82	479	226	207	97	162	88	458	406	649	75	189	113	751	657	444	733	717	497	313									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1220	30	31	12	0	73	4	15	44	20	8	7	6	16	107	14	3	24	21	9	20	7	6	46	0	4	10	10	0	28	15	8	14	24	0	46	58	49	11	21	12	60	62	27	55	88	33	62									
6	Число погашенных избирательных бюллетеней	8505	203	349	10	25	237	34	53	259	145	98	58	98	140	353	91	53	67	296	52	171	89	55	433	25	60	60	54	12	113	93	118	57	262	44	272	199	631	43	131	65	558	567	276	600	387	370	139									
