Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Камско-Устьинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685					
1	"Число избирателей, внесенных в список"	13166	808	814	704	941	620	837	640	658	360	60	462	240	430	154	347	121	158	363	223	172	275	160	135	150	158	124	595	674	165	419	128	90	170	175	163	151	162	85	75					
2	Число полученных избирательных бюллетеней	13179	810	810	690	925	610	830	640	637	357	62	486	245	436	158	352	122	160	380	230	176	277	162	138	153	166	130	576	660	163	430	127	91	170	177	165	155	163	85	75					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11666	737	771	613	751	560	766	616	612	337	60	413	228	367	140	318	112	145	350	175	163	263	160	105	139	154	122	388	551	147	292	116	84	166	147	149	151	157	66	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	1150	50	27	44	119	34	26	20	17	17	0	49	9	63	14	29	9	13	13	48	9	0	0	30	10	4	2	169	108	14	127	8	5	4	21	14	0	5	19	0					
6	Число погашенных избирательных бюллетеней	363	23	12	33	55	16	38	4	8	3	2	24	8	6	4	5	1	2	17	7	4	14	2	3	4	8	6	19	1	2	11	3	2	0	9	2	4	1	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1150	50	27	44	119	34	26	20	17	17	0	49	9	63	14	29	9	13	13	48	9	0	0	30	10	4	2	169	108	14	127	8	5	4	21	14	0	5	19	0					
8	Число бюллетеней в стационарных ящиках для голосования	11666	737	771	613	751	560	766	616	612	337	60	413	228	367	140	318	112	145	350	175	163	263	160	105	139	154	122	388	551	147	292	116	84	166	147	149	151	157	66	75					
9	Число недействительных избирательных бюллетеней	171	16	4	16	14	16	14	0	23	7	0	0	6	0	0	10	0	0	0	0	0	0	0	4	0	4	0	2	5	1	1	5	2	11	0	7	1	1	1	0					
10	Число действительных избирательных бюллетеней	12645	771	794	641	856	578	778	636	606	347	60	462	231	430	154	337	121	158	363	223	172	263	160	131	149	154	124	555	654	160	418	119	87	159	168	156	150	161	84	75					
11	Число полученных открепительных  удостоверений	499	30	30	29	31	30	30	30	30	15	5	13	10	5	5	10	10	8	10	8	5	15	5	8	10	5	5	15	15	5	15	5	8	8	8	8	5	5	5	5					
12	Число выданных открепительных удостоверений	114	15	9	11	10	14	2	1	2	2	0	0	3	3	0	0	0	0	3	0	1	12	0	1	1	0	0	0	7	0	5	0	0	1	7	0	3	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	2	4	7	6	1	4	2	5	4	0	2	1	0	0	2	0	0	1	1	6	0	1	0	1	0	1	3	4	3	6	2	1	3	0	0	2	0	1	0					
14	Число неиспользованных открепительных удостоверений	385	15	21	18	21	16	28	29	28	13	5	13	7	2	5	10	10	8	7	8	4	3	5	7	9	5	5	15	8	5	10	5	8	7	1	8	2	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
