Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Тольятти, Центральная"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1550	38	37	30	25	25	35	35	22	25	30	32	33	20	20	33	28	27	20	30	20	15	25	25	20	32	32	20	20	40	27	25	35	22	13	20	30	23	28	43	45	20	50	45	42	36	23	33	23	2	0	0	0	30	25	23	25	33	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1516	38	37	30	25	25	35	35	22	22	29	32	28	16	20	33	28	26	20	30	20	15	25	25	20	32	32	20	20	39	25	25	35	21	13	17	28	23	28	43	43	20	48	45	42	36	22	33	21	0	0	0	0	30	24	22	25	33	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	547	17	12	13	8	14	11	11	17	4	9	11	11	18	10	12	12	7	0	5	6	3	8	4	14	18	4	4	6	6	10	9	12	12	8	10	11	8	18	12	17	9	20	25	5	5	4	7	14	9	5	0	6	6	2	12	7	1	8					
14	Число погашенных неиспользованных открепительных удостоверений	34	0	0	0	0	0	0	0	0	3	1	0	5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	3	2	0	0	0	2	0	2	0	0	0	1	0	2	2	0	0	0	0	1	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	2	0	1	2	0	1	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11351	260	149	227	218	246	203	231	210	234	278	259	229	192	164	309	312	248	135	212	203	203	234	169	252	233	212	214	225	196	197	174	210	182	232	177	270	234	203	207	159	142	185	217	246	225	204	240	127	15	39	8	12	158	65	190	144	212	220					
		19.26%	18.94%	16.67%	18.41%	17.74%	23.72%	19.08%	20.55%	19.37%	25.35%	22.26%	19.67%	19.52%	20.43%	17.83%	21.30%	19.06%	16.92%	21.29%	19.65%	19.48%	19.26%	21.99%	18.92%	22.03%	20.30%	17.43%	19.60%	19.43%	16.71%	18.07%	15.59%	18.63%	18.06%	20.32%	18.51%	22.94%	19.58%	18.59%	20.60%	17.75%	21.61%	19.62%	19.87%	20.45%	19.33%	21.47%	21.28%	17.99%	18.29%	16.88%	16.67%	18.75%	20.23%	13.80%	18.34%	16.04%	14.54%	15.63%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10727	269	193	251	195	158	154	203	171	132	168	233	204	166	134	222	240	265	155	175	173	180	192	161	188	189	224	162	219	221	198	220	179	189	194	169	207	273	198	186	175	152	199	214	282	208	161	227	119	15	29	8	10	200	89	200	197	302	330					
		18.20%	19.59%	21.59%	20.36%	15.87%	15.24%	14.47%	18.06%	15.77%	14.30%	13.45%	17.69%	17.39%	17.66%	14.57%	15.30%	14.66%	18.08%	24.45%	16.22%	16.60%	17.08%	18.05%	18.03%	16.43%	16.46%	18.42%	14.84%	18.91%	18.84%	18.17%	19.71%	15.88%	18.75%	16.99%	17.68%	17.59%	22.85%	18.13%	18.51%	19.53%	23.14%	21.10%	19.60%	23.44%	17.87%	16.95%	20.12%	16.86%	18.29%	12.55%	16.67%	15.63%	25.61%	18.90%	19.31%	21.94%	20.71%	23.44%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	820	24	14	25	19	22	22	15	7	12	25	16	15	9	13	19	31	14	14	9	15	18	15	7	15	18	18	18	19	16	6	17	14	15	13	16	14	12	17	14	18	4	10	20	12	18	12	11	10	0	7	1	1	9	3	13	12	22	15					
		1.39%	1.75%	1.57%	2.03%	1.55%	2.12%	2.07%	1.33%	0.65%	1.30%	2.00%	1.21%	1.28%	0.96%	1.41%	1.31%	1.89%	0.95%	2.21%	0.83%	1.44%	1.71%	1.41%	0.78%	1.31%	1.57%	1.48%	1.65%	1.64%	1.36%	0.55%	1.52%	1.24%	1.49%	1.14%	1.67%	1.19%	1.00%	1.56%	1.39%	2.01%	0.61%	1.06%	1.83%	0.99%	1.55%	1.26%	0.98%	1.42%	0.00%	3.03%	2.08%	1.56%	1.15%	0.64%	1.25%	1.34%	1.51%	1.07%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16265	347	231	335	354	259	287	276	332	222	370	461	346	284	302	459	513	440	146	294	276	274	260	233	349	300	304	328	322	352	322	311	326	309	347	261	303	305	268	249	213	149	239	270	252	346	241	295	197	15	42	16	19	176	151	312	243	431	401					
		27.60%	25.27%	25.84%	27.17%	28.80%	24.98%	26.97%	24.56%	30.63%	24.05%	29.62%	35.00%	29.50%	30.21%	32.83%	31.63%	31.34%	30.01%	23.03%	27.25%	26.49%	25.99%	24.44%	26.09%	30.51%	26.13%	25.00%	30.04%	27.81%	30.01%	29.54%	27.87%	28.93%	30.65%	30.39%	27.30%	25.74%	25.52%	24.54%	24.78%	23.77%	22.68%	25.34%	24.73%	20.95%	29.73%	25.37%	26.15%	27.90%	18.29%	18.18%	33.33%	29.69%	22.54%	32.06%	30.12%	27.06%	29.56%	28.48%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3119	131	58	60	79	29	99	67	60	74	69	54	89	67	61	90	84	52	23	83	78	46	53	49	68	85	72	61	61	35	61	54	55	48	38	63	55	46	32	51	37	21	38	36	22	73	36	57	76	7	5	1	3	29	18	46	26	86	62					
		5.29%	9.54%	6.49%	4.87%	6.43%	2.80%	9.30%	5.96%	5.54%	8.02%	5.52%	4.10%	7.59%	7.13%	6.63%	6.20%	5.13%	3.55%	3.63%	7.69%	7.49%	4.36%	4.98%	5.49%	5.94%	7.40%	5.92%	5.59%	5.27%	2.98%	5.60%	4.84%	4.88%	4.76%	3.33%	6.59%	4.67%	3.85%	2.93%	5.07%	4.13%	3.20%	4.03%	3.30%	1.83%	6.27%	3.79%	5.05%	10.76%	8.54%	2.16%	2.08%	4.69%	3.71%	3.82%	4.44%	2.90%	5.90%	4.40%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15211	307	217	310	331	292	273	308	269	223	303	272	272	201	220	319	413	403	151	276	270	296	281	251	247	308	359	278	280	325	287	302	304	242	288	250	303	298	339	270	266	176	252	322	360	271	278	273	160	29	92	14	19	195	137	243	254	377	355					
		25.81%	22.36%	24.27%	25.14%	26.93%	28.16%	25.66%	27.40%	24.82%	24.16%	24.26%	20.65%	23.19%	21.38%	23.91%	21.98%	25.23%	27.49%	23.82%	25.58%	25.91%	28.08%	26.41%	28.11%	21.59%	26.83%	29.52%	25.46%	24.18%	27.71%	26.33%	27.06%	26.97%	24.01%	25.22%	26.15%	25.74%	24.94%	31.04%	26.87%	29.69%	26.79%	26.72%	29.49%	29.93%	23.28%	29.26%	24.20%	22.66%	35.37%	39.83%	29.17%	29.69%	24.97%	29.09%	23.46%	28.29%	25.86%	25.21%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	297	7	9	6	8	4	2	1	7	14	12	6	6	5	8	6	6	6	1	3	7	4	6	6	3	3	8	4	7	2	5	8	8	2	6	3	8	7	7	4	3	1	3	2	5	8	3	5	7	0	0	0	0	2	1	8	7	12	5					
		0.50%	0.51%	1.01%	0.49%	0.65%	0.39%	0.19%	0.09%	0.65%	1.52%	0.96%	0.46%	0.51%	0.53%	0.87%	0.41%	0.37%	0.41%	0.16%	0.28%	0.67%	0.38%	0.56%	0.67%	0.26%	0.26%	0.66%	0.37%	0.60%	0.17%	0.46%	0.72%	0.71%	0.20%	0.53%	0.31%	0.68%	0.59%	0.64%	0.40%	0.33%	0.15%	0.32%	0.18%	0.42%	0.69%	0.32%	0.44%	0.99%	0.00%	0.00%	0.00%	0.00%	0.26%	0.21%	0.77%	0.78%	0.82%	0.36%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
