Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Калевальская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6793	2004	1519	263	1603	276	466	307	355									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7000	2040	1550	270	1710	290	460	310	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	19	0	0	0	0	0	0	0	19									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2736	832	567	130	528	177	193	144	165									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	330	79	62	17	98	23	21	18	12									
6	Число погашенных избирательных бюллетеней	3915	1129	921	123	1084	90	246	148	174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	349	79	62	17	98	23	21	18	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2734	831	567	130	528	177	192	144	165									
9	Число недействительных избирательных бюллетеней	105	29	20	11	25	9	6	3	2									
10	Число действительных избирательных бюллетеней	2978	881	609	136	601	191	207	159	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	50	50	30	100	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	175	18	8	13	100	10	1	5	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	6	4	2	10	0	7	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	175	32	42	17	0	20	29	25	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	9	7	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	17	11	1	12	0	2	3	4									
		1.62%	1.87%	1.75%	0.68%	1.92%	0.00%	0.94%	1.85%	2.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	72	21	6	6	21	7	5	1	5									
		2.34%	2.31%	0.95%	4.08%	3.35%	3.50%	2.35%	0.62%	2.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	97	23	24	6	19	4	9	2	10									
		3.15%	2.53%	3.82%	4.08%	3.04%	2.00%	4.23%	1.23%	5.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1269	368	237	66	265	78	97	66	92									
		41.16%	40.44%	37.68%	44.90%	42.33%	39.00%	45.54%	40.74%	46.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	9	1	0	4	2	1	1	1									
		0.62%	0.99%	0.16%	0.00%	0.64%	1.00%	0.47%	0.62%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	3	0	2	0	0	1	1									
		0.23%	0.00%	0.48%	0.00%	0.32%	0.00%	0.00%	0.62%	0.51%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	701	209	171	38	121	35	37	46	44									
		22.74%	22.97%	27.19%	25.85%	19.33%	17.50%	17.37%	28.40%	22.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	5	5	0	4	0	1	0	0									
		0.49%	0.55%	0.79%	0.00%	0.64%	0.00%	0.47%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	10	5	1	4	1	4	1	1									
		0.88%	1.10%	0.79%	0.68%	0.64%	0.50%	1.88%	0.62%	0.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	1	0	1	1	0	0	0									
		0.13%	0.11%	0.16%	0.00%	0.16%	0.50%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	102	40	22	2	20	3	5	4	6									
		3.31%	4.40%	3.50%	1.36%	3.19%	1.50%	2.35%	2.47%	3.06%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	335	95	64	8	74	47	26	8	13									
		10.87%	10.44%	10.17%	5.44%	11.82%	23.50%	12.21%	4.94%	6.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	7	2	0	2	2	1	0	1									
		0.49%	0.77%	0.32%	0.00%	0.32%	1.00%	0.47%	0.00%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	265	76	57	8	52	11	19	26	16									
		8.60%	8.35%	9.06%	5.44%	8.31%	5.50%	8.92%	16.05%	8.16%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
