Выборы Президента Российской Федерации																																																			
Дата голосования: 18.03.2018																																																			
																																																			
Наименование Избирательной комиссии:    Мартыновская																																																			
																																																			
Сводная таблица итогов голосования																																																			
																																																			
	Число участковых избирательных комиссий	40																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																																	
																																																			
		Сумма	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080									
1	"Число избирателей, включенных в список избирателей"	28183	2041	1168	912	1229	601	829	364	688	196	160	952	945	361	1051	711	762	658	551	2172	1454	1567	218	661	662	236	246	301	253	516	219	257	600	189	328	352	1047	1093	537	552	544									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28990	2080	1180	950	1310	660	870	380	710	200	160	970	970	380	1090	740	790	680	570	2240	1460	1620	220	670	690	240	250	300	250	530	230	260	610	190	330	350	1090	1100	560	560	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15384	1033	637	497	641	348	394	203	415	122	121	488	460	202	549	354	401	392	318	1252	782	723	168	371	406	145	125	198	171	283	145	176	368	118	161	204	525	515	390	340	243									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1468	166	88	40	48	27	33	24	32	18	6	62	70	5	51	55	33	30	17	78	73	82	5	28	33	11	16	12	7	22	16	0	21	0	41	0	52	102	21	28	15									
6	Число погашенных избирательных бюллетеней	12138	881	455	413	621	285	443	153	263	60	33	420	440	173	490	331	356	258	235	910	605	815	47	271	251	84	109	90	72	225	69	84	221	72	128	146	513	483	149	192	292									
