Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Пильнинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №2494					
1	"Число избирателей, внесенных в список"	18414	1828	800	1515	1696	879	264	112	67	816	135	270	529	74	174	859	284	296	166	455	225	213	204	120	189	312	355	299	132	115	762	238	300	346	195	750	745	508	98	234	285	60	510					
2	Число полученных избирательных бюллетеней	17065	1620	720	1370	1440	820	240	115	82	735	133	240	500	87	185	755	270	280	170	425	216	216	192	124	190	280	320	270	135	118	675	230	295	322	190	720	780	515	100	205	275	70	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10406	826	340	660	849	469	135	77	55	461	80	181	326	35	118	448	178	122	110	302	133	148	147	60	118	208	196	191	75	63	529	193	246	279	148	414	424	340	56	192	179	52	243					
5	"Число избирательных бюллетеней, выданных вне помещения"	1376	32	12	17	32	87	70	18	12	160	22	24	69	37	30	90	27	97	33	25	38	8	16	23	33	26	70	31	29	23	33	0	0	17	26	12	13	26	6	0	23	6	23					
6	Число погашенных избирательных бюллетеней	5283	762	368	693	559	264	35	20	15	114	31	35	105	15	37	217	65	61	27	98	45	60	29	41	39	46	54	48	31	32	113	37	49	26	16	294	343	149	38	13	73	12	174					
7	Число избирательных бюллетеней в переносных ящиках	1376	32	12	17	32	87	70	18	12	160	22	24	69	37	30	90	27	97	33	25	38	8	16	23	33	26	70	31	29	23	33	0	0	17	26	12	13	26	6	0	23	6	23					
8	Число бюллетеней в стационарных ящиках для голосования	10405	826	340	660	849	469	135	77	55	461	80	181	326	35	118	447	178	122	110	302	133	148	147	60	118	208	196	191	75	63	529	193	246	279	148	414	424	340	56	192	179	52	243					
9	Число недействительных избирательных бюллетеней	121	3	1	1	4	8	1	0	0	6	0	4	6	2	0	5	2	7	2	0	2	0	0	0	1	3	5	3	0	2	3	7	2	3	1	5	2	15	1	6	3	0	5					
10	Число действительных избирательных бюллетеней	11660	855	351	676	877	548	204	95	67	615	102	201	389	70	148	532	203	212	141	327	169	156	163	83	150	231	261	219	104	84	559	186	244	293	173	421	435	351	61	186	199	58	261					
11	Число полученных открепительных  удостоверений	500	50	35	50	50	10	10	5	5	10	5	10	10	5	5	10	10	5	10	10	5	5	5	5	10	10	5	5	5	5	10	10	10	10	10	10	10	10	5	5	5	5	35					
12	Число выданных открепительных удостоверений	33	12	5	2	1	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	4	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	4	0	0	3	2	1	0	0	0	0	0	0	0	0	1	0	1	0	4	1	1	3	0	1	1	0	0	0	0	1	0	0	3	1	0	0	0	0	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	467	38	30	48	49	9	9	5	5	8	5	10	10	5	5	10	8	5	10	10	5	1	5	4	10	9	4	5	5	5	10	10	10	10	10	10	10	10	5	5	5	5	35					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	286	31	8	25	49	12	3	2	1	10	1	0	8	1	0	8	3	2	2	5	5	1	0	0	10	7	5	9	1	1	10	5	1	9	4	10	9	4	1	5	4	0	14					
