Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Аксубаевская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616					
1	"Число избирателей, внесенных в список"	22508	1487	2009	1300	1471	326	247	462	483	505	531	150	403	1453	1103	430	137	308	683	412	299	244	198	425	175	389	343	142	296	348	108	434	337	230	326	234	90	340	307	285	378	302	256	226	124	293	198	235	808	238					
2	Число полученных избирательных бюллетеней	22615	1489	2022	1300	1478	326	245	458	477	507	528	154	402	1437	1110	432	139	307	694	413	304	247	198	428	181	393	343	142	297	357	108	436	338	236	321	236	92	337	310	284	377	306	258	229	124	290	198	248	838	241					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19828	1139	1625	986	1086	293	234	368	464	395	499	147	371	1192	939	426	137	269	660	409	280	244	198	397	169	377	341	142	295	313	96	378	329	230	287	220	85	323	307	284	377	246	245	192	113	290	193	225	775	238					
5	"Число избирательных бюллетеней, выданных вне помещения"	942	80	51	96	55	31	7	85	0	41	17	3	15	50	46	0	0	21	20	3	19	0	0	28	6	8	2	0	1	35	12	46	4	0	27	12	5	9	0	0	0	26	11	11	11	0	5	10	33	0					
6	Число погашенных избирательных бюллетеней	1845	270	346	218	337	2	4	5	13	71	12	4	16	195	125	6	2	17	14	1	5	3	0	3	6	8	0	0	1	9	0	12	5	6	7	4	2	5	3	0	0	34	2	26	0	0	0	13	30	3					
7	Число избирательных бюллетеней в переносных ящиках	942	80	51	96	55	31	7	85	0	41	17	3	15	50	46	0	0	21	20	3	19	0	0	28	6	8	2	0	1	35	12	46	4	0	27	12	5	9	0	0	0	26	11	11	11	0	5	10	33	0					
8	Число бюллетеней в стационарных ящиках для голосования	19828	1139	1625	986	1086	293	234	368	464	395	499	147	371	1192	939	426	137	269	660	409	280	244	198	397	169	377	341	142	295	313	96	378	329	230	287	220	85	323	307	284	377	246	245	192	113	290	193	225	775	238					
9	Число недействительных избирательных бюллетеней	196	0	16	8	0	0	2	8	0	0	9	0	0	2	0	0	0	0	0	2	1	0	6	3	0	0	0	0	23	2	0	0	0	0	0	0	0	7	12	5	12	63	0	14	0	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	20574	1219	1660	1074	1141	324	239	445	464	436	507	150	386	1240	985	426	137	290	680	410	298	244	192	422	175	385	343	142	273	346	108	424	333	230	314	232	90	325	295	279	365	209	256	189	124	289	198	235	808	238					
11	Число полученных открепительных  удостоверений	497	50	50	45	45	5	3	8	8	8	10	3	5	20	20	10	5	10	10	8	8	5	5	10	3	8	8	3	7	7	3	8	5	3	8	10	3	5	5	5	5	5	5	3	3	6	5	5	10	8					
12	Число выданных открепительных удостоверений	238	22	37	20	35	0	0	4	4	8	6	1	4	20	8	0	0	4	8	3	4	2	0	2	0	0	0	0	0	6	0	8	0	0	5	0	0	4	3	1	1	3	0	3	0	2	0	4	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	13	12	5	4	0	0	4	1	0	1	0	2	35	11	0	0	1	1	2	0	0	2	1	0	0	1	0	1	4	0	0	1	0	5	1	0	0	1	2	3	1	2	2	0	2	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	259	28	13	25	10	5	3	4	4	0	4	2	1	0	12	10	5	6	2	5	4	3	5	8	3	8	8	3	7	1	3	0	5	3	3	10	3	1	2	4	4	2	5	0	3	4	5	1	4	8					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	77	8	6	4	4	0	6	1	4	3	6	0	5	2	7	3	0	1	3	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0					
