Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Шелаболихинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	0	0	0	0	0	0	3	1	0	0	0	0	1	1	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.78%	0.00%	0.00%	0.00%	0.00%	0.26%	0.23%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	745	41	137	41	35	69	26	83	28	27	44	25	23	51	81	13	21									
		15.35%	7.92%	16.83%	13.85%	14.89%	16.51%	17.69%	20.75%	21.88%	14.06%	16.18%	11.16%	12.37%	13.18%	18.84%	13.13%	19.27%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
