Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Пенжинская														
														
Итоги голосования 														
														
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29					
1	"Число избирателей, внесенных в список"	2013	64	676	194	505	72	284	218					
2	Число полученных избирательных бюллетеней	2000	64	663	222	465	78	294	214					
3	"Число избирательных бюллетеней, выданных  досрочно"	74	0	30	9	0	0	28	7					
4	"Число избирательных бюллетеней, выданных в день голосования"	1472	50	417	183	401	58	203	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	36	0	18	2	9	0	0	7					
6	Число погашенных избирательных бюллетеней	418	14	198	28	55	20	63	40					
7	Число избирательных бюллетеней в переносных ящиках	110	0	48	11	9	0	28	14					
8	Число бюллетеней в стационарных ящиках для голосования	1472	50	417	183	401	58	203	160					
9	Число недействительных избирательных бюллетеней	19	1	7	2	3	1	3	2					
10	Число действительных избирательных бюллетеней	1563	49	458	192	407	57	228	172					
11	Число полученных открепительных  удостоверений	80	0	20	10	15	10	15	10					
12	Число выданных открепительных удостоверений	8	0	1	1	4	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	0	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	72	0	19	9	11	10	13	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	21	0	5	3	6	0	5	2					
		1.33%	0.00%	1.08%	1.55%	1.46%	0.00%	2.16%	1.15%					
19	. Малышкин Олег Александрович	17	1	3	3	8	0	0	2					
		1.07%	2.00%	0.65%	1.55%	1.95%	0.00%	0.00%	1.15%					
20	. Миронов Сергей Михайлович	3	0	1	0	1	0	0	1					
		0.19%	0.00%	0.22%	0.00%	0.24%	0.00%	0.00%	0.57%					
21	. Путин Владимир Владимирович	1414	43	415	169	366	54	211	156					
		89.38%	86.00%	89.25%	87.11%	89.27%	93.10%	91.34%	89.66%					
22	. Хакамада Ирина Муцуовна	32	2	7	7	11	2	3	0					
		2.02%	4.00%	1.51%	3.61%	2.68%	3.45%	1.30%	0.00%					
23	. Харитонов Николай Михайлович	63	0	20	10	13	1	8	11					
		3.98%	0.00%	4.30%	5.15%	3.17%	1.72%	3.46%	6.32%					
														
24	Против всех	13	3	7	0	2	0	1	0					
		0.82%	6.00%	1.51%	0.00%	0.49%	0.00%	0.43%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
