Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Пушкиногорская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388					
1	"Число избирателей, внесенных в список"	9209	734	739	823	789	812	771	478	374	327	525	216	248	401	161	479	333	351	267	381					
2	Число полученных избирательных бюллетеней	9300	750	750	800	800	800	750	700	350	300	500	200	250	400	150	450	350	350	250	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4496	409	504	549	488	427	421	338	173	90	153	40	80	151	42	167	130	78	117	139					
5	"Число избирательных бюллетеней, выданных вне помещения"	1818	53	19	18	54	19	48	140	90	128	217	108	109	116	57	168	106	144	86	138					
6	Число погашенных избирательных бюллетеней	2986	288	227	233	258	354	281	222	87	82	130	52	61	133	51	115	114	128	47	123					
7	Число избирательных бюллетеней в переносных ящиках	1818	53	19	18	54	19	48	140	90	128	217	108	109	116	57	168	106	144	86	138					
8	Число бюллетеней в стационарных ящиках для голосования	4495	409	504	549	487	427	421	338	173	90	153	40	80	151	42	167	130	78	117	139					
9	Число недействительных избирательных бюллетеней	34	2	7	3	2	1	3	0	0	1	3	1	0	1	2	3	3	1	0	1					
10	Число действительных избирательных бюллетеней	6279	460	516	564	539	445	466	478	263	217	367	147	189	266	97	332	233	221	203	276					
11	Число полученных открепительных  удостоверений	111	6	6	9	5	5	10	5	5	5	10	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	42	2	3	5	5	2	8	1	1	2	5	0	3	1	1	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	1	0	3	3	3	2	16	1	0	1	1	0	2	0	4	0	1	0	2					
14	Число неиспользованных открепительных удостоверений	69	4	3	4	0	3	2	4	4	3	5	5	2	4	4	5	5	5	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	141	8	19	17	21	12	12	7	5	7	7	3	5	3	2	4	3	3	2	1					
		2.23%	1.73%	3.63%	3.00%	3.88%	2.69%	2.56%	1.46%	1.90%	3.21%	1.89%	2.03%	2.65%	1.12%	2.02%	1.19%	1.27%	1.35%	0.99%	0.36%					
19	. Малышкин Олег Александрович	74	4	6	10	3	8	2	4	6	5	3	4	2	3	3	4	3	2	1	1					
		1.17%	0.87%	1.15%	1.76%	0.55%	1.79%	0.43%	0.84%	2.28%	2.29%	0.81%	2.70%	1.06%	1.12%	3.03%	1.19%	1.27%	0.90%	0.49%	0.36%					
20	. Миронов Сергей Михайлович	100	4	7	9	5	5	9	8	6	6	8	4	4	5	2	3	2	6	2	5					
		1.58%	0.87%	1.34%	1.59%	0.92%	1.12%	1.92%	1.67%	2.28%	2.75%	2.16%	2.70%	2.12%	1.87%	2.02%	0.90%	0.85%	2.70%	0.99%	1.81%					
21	. Путин Владимир Владимирович	4370	313	342	385	362	306	326	332	198	142	255	93	130	204	77	239	154	168	142	202					
		69.22%	67.75%	65.39%	67.90%	66.91%	68.61%	69.51%	69.46%	75.29%	65.14%	68.92%	62.84%	68.78%	76.40%	77.78%	71.34%	65.25%	75.68%	69.95%	72.92%					
22	. Хакамада Ирина Муцуовна	145	9	10	21	19	4	10	16	2	6	7	1	2	0	3	9	8	8	2	8					
		2.30%	1.95%	1.91%	3.70%	3.51%	0.90%	2.13%	3.35%	0.76%	2.75%	1.89%	0.68%	1.06%	0.00%	3.03%	2.69%	3.39%	3.60%	0.99%	2.89%					
23	. Харитонов Николай Михайлович	1348	117	121	101	114	100	103	107	43	50	80	39	42	47	10	72	61	32	52	57					
		21.35%	25.32%	23.14%	17.81%	21.07%	22.42%	21.96%	22.38%	16.35%	22.94%	21.62%	26.35%	22.22%	17.60%	10.10%	21.49%	25.85%	14.41%	25.62%	20.58%					
																										
24	Против всех	101	5	11	21	15	10	4	4	3	1	7	3	4	4	0	1	2	2	2	2					
		1.60%	1.08%	2.10%	3.70%	2.77%	2.24%	0.85%	0.84%	1.14%	0.46%	1.89%	2.03%	2.12%	1.50%	0.00%	0.30%	0.85%	0.90%	0.99%	0.72%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
