Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Карабашская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №2196	УИК №2197					
1	"Число избирателей, внесенных в список"	12290	93	794	973	2549	2058	588	581	758	183	1789	1171	753					
2	Число полученных избирательных бюллетеней	11365	105	750	1035	2305	1860	520	520	720	165	1660	1035	690					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7364	64	528	486	1513	1267	330	287	403	64	1398	598	426					
5	"Число избирательных бюллетеней, выданных вне помещения"	888	22	74	174	92	88	47	34	73	70	45	117	52					
6	Число погашенных избирательных бюллетеней	3113	19	148	375	700	505	143	199	244	31	217	320	212					
7	Число избирательных бюллетеней в переносных ящиках	888	22	74	174	92	88	47	34	73	70	45	117	52					
8	Число бюллетеней в стационарных ящиках для голосования	7364	64	528	486	1513	1267	330	287	403	64	1398	598	426					
9	Число недействительных избирательных бюллетеней	124	0	11	9	20	26	13	0	0	6	20	15	4					
10	Число действительных избирательных бюллетеней	8128	86	591	651	1585	1329	364	321	476	128	1423	700	474					
11	Число полученных открепительных  удостоверений	196	3	10	15	32	25	12	10	10	5	46	15	13					
12	Число выданных открепительных удостоверений	143	0	4	11	32	13	4	6	10	1	44	14	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	13	0	2	18	14	9	1	4	9	11	4	3					
14	Число неиспользованных открепительных удостоверений	53	3	6	4	0	12	8	4	0	4	2	1	9					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	0	0	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	282	3	24	28	67	62	12	9	4	5	16	35	17					
		3.42%	3.49%	3.99%	4.24%	4.17%	4.58%	3.18%	2.80%	0.84%	3.73%	1.11%	4.90%	3.56%					
19	. Малышкин Олег Александрович	219	2	25	15	41	41	12	10	20	3	14	15	21					
		2.65%	2.33%	4.15%	2.27%	2.55%	3.03%	3.18%	3.12%	4.20%	2.24%	0.97%	2.10%	4.39%					
20	. Миронов Сергей Михайлович	50	1	4	5	7	8	2	4	2	0	7	5	5					
		0.61%	1.16%	0.66%	0.76%	0.44%	0.59%	0.53%	1.25%	0.42%	0.00%	0.49%	0.70%	1.05%					
21	. Путин Владимир Владимирович	5713	67	412	469	972	769	278	234	373	110	1256	472	301					
		69.23%	77.91%	68.44%	71.06%	60.56%	56.75%	73.74%	72.90%	78.36%	82.09%	87.04%	66.01%	62.97%					
22	. Хакамада Ирина Муцуовна	272	1	14	12	80	58	15	4	7	1	40	20	20					
		3.30%	1.16%	2.33%	1.82%	4.98%	4.28%	3.98%	1.25%	1.47%	0.75%	2.77%	2.80%	4.18%					
23	. Харитонов Николай Михайлович	1199	12	86	90	327	308	25	41	60	9	37	120	84					
		14.53%	13.95%	14.29%	13.64%	20.37%	22.73%	6.63%	12.77%	12.61%	6.72%	2.56%	16.78%	17.57%					
																			
24	Против всех	393	0	26	32	91	83	20	19	10	0	53	33	26					
		4.76%	0.00%	4.32%	4.85%	5.67%	6.13%	5.31%	5.92%	2.10%	0.00%	3.67%	4.62%	5.44%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
