Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Пестречинская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445					
1	"Число избирателей, внесенных в список"	20005	197	194	686	221	337	112	163	330	225	267	846	1322	436	761	1210	754	204	184	331	396	593	924	1165	1172	980	997	269	192	634	569	378	1238	1047	260	411					
2	Число полученных избирательных бюллетеней	20217	195	193	735	225	337	113	167	331	225	270	854	1336	457	765	1212	760	205	188	326	402	596	944	1173	1183	990	1016	269	193	631	570	380	1249	1052	261	414					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18437	148	190	532	196	321	112	161	316	214	234	814	1296	403	694	1152	712	158	163	312	372	547	850	1069	1055	908	886	245	192	597	481	371	1167	948	226	395					
5	"Число избирательных бюллетеней, выданных вне помещения"	1348	43	3	141	25	16	0	2	14	11	33	30	25	33	54	45	30	46	20	13	24	31	56	76	87	64	76	23	0	25	88	7	66	91	34	16					
6	Число погашенных избирательных бюллетеней	432	4	0	62	4	0	1	4	1	0	3	10	15	21	17	15	18	1	5	1	6	18	38	28	41	18	54	1	1	9	1	2	16	13	1	3					
7	Число избирательных бюллетеней в переносных ящиках	1348	43	3	141	25	16	0	2	14	11	33	30	25	33	54	45	30	46	20	13	24	31	56	76	87	64	76	23	0	25	88	7	66	91	34	16					
8	Число бюллетеней в стационарных ящиках для голосования	18437	148	190	532	196	321	112	161	316	214	234	814	1296	403	694	1152	712	158	163	312	372	547	850	1069	1055	908	886	245	192	597	481	371	1167	948	226	395					
9	Число недействительных избирательных бюллетеней	14	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	19771	190	193	671	221	337	112	163	330	225	267	844	1321	436	748	1194	742	204	183	325	396	578	906	1144	1137	970	962	268	192	622	569	378	1233	1039	260	411					
11	Число полученных открепительных  удостоверений	500	4	4	75	4	7	4	4	5	4	4	6	20	30	15	15	15	4	5	5	6	15	30	30	30	30	35	15	4	10	10	5	20	20	4	6					
