Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Нагорный район																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758					
1	"Число избирателей, внесенных в список"	42609	2004	2141	2196	1348	2163	2567	2035	2367	2207	2365	2532	1566	1922	2008	2594	2026	2283	1640	2584	2061					
2	Число полученных избирательных бюллетеней	43250	2100	2100	2300	1300	2100	2600	2050	2450	2200	2350	2550	1600	1950	2000	2600	2100	2250	2000	2600	2050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23839	1085	1291	1231	682	1233	1369	1183	1275	1204	1323	1294	860	1143	1130	1410	1231	1242	1078	1380	1195					
5	"Число избирательных бюллетеней, выданных вне помещения"	974	66	55	70	23	17	33	60	69	40	24	75	37	56	47	48	84	34	57	66	13					
6	Число погашенных избирательных бюллетеней	18437	949	754	999	595	850	1198	807	1106	956	1003	1181	703	751	823	1142	785	974	865	1154	842					
7	Число избирательных бюллетеней в переносных ящиках	974	66	55	70	23	17	33	60	69	40	24	75	37	56	47	48	84	34	57	66	13					
8	Число бюллетеней в стационарных ящиках для голосования	23801	1085	1291	1217	682	1227	1369	1183	1272	1204	1323	1290	859	1143	1130	1407	1231	1238	1078	1380	1192					
9	Число недействительных избирательных бюллетеней	209	11	19	10	6	12	16	16	11	10	10	8	4	15	8	12	7	7	11	14	2					
10	Число действительных избирательных бюллетеней	24566	1140	1327	1277	699	1232	1386	1227	1330	1234	1337	1357	892	1184	1169	1443	1308	1265	1124	1432	1203					
11	Число полученных открепительных  удостоверений	1181	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	41	60	60	60					
12	Число выданных открепительных удостоверений	691	21	37	33	16	42	49	29	24	47	37	32	25	30	39	30	38	32	38	47	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	718	28	27	42	29	33	33	23	34	54	44	27	40	22	27	47	33	52	50	24	49					
14	Число неиспользованных открепительных удостоверений	490	39	23	27	44	18	11	31	36	13	23	28	35	30	21	30	22	9	22	13	15					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	0	0	0	2	0	2	1	1	1	0	0	0	0	4	1	4	3	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1682	93	71	80	58	72	90	84	98	70	98	88	68	103	78	113	89	93	57	90	89					
		6.79%	8.08%	5.27%	6.22%	8.23%	5.79%	6.42%	6.76%	7.31%	5.63%	7.28%	6.45%	7.59%	8.59%	6.63%	7.77%	6.77%	7.31%	5.02%	6.22%	7.39%					
19	. Малышкин Олег Александрович	328	10	24	26	6	22	14	17	28	14	16	19	4	8	18	18	14	18	21	21	10					
		1.32%	0.87%	1.78%	2.02%	0.85%	1.77%	1.00%	1.37%	2.09%	1.13%	1.19%	1.39%	0.45%	0.67%	1.53%	1.24%	1.06%	1.42%	1.85%	1.45%	0.83%					
20	. Миронов Сергей Михайлович	153	5	12	13	4	4	8	1	13	10	7	11	5	8	5	8	4	11	10	8	6					
		0.62%	0.43%	0.89%	1.01%	0.57%	0.32%	0.57%	0.08%	0.97%	0.80%	0.52%	0.81%	0.56%	0.67%	0.42%	0.55%	0.30%	0.86%	0.88%	0.55%	0.50%					
21	. Путин Владимир Владимирович	16721	806	954	888	471	878	934	846	895	887	897	920	604	742	797	957	892	810	781	986	776					
		67.49%	70.03%	70.88%	69.00%	66.81%	70.58%	66.62%	68.06%	66.74%	71.30%	66.59%	67.40%	67.41%	61.88%	67.71%	65.77%	67.83%	63.68%	68.81%	68.19%	64.40%					
22	. Хакамада Ирина Муцуовна	2075	69	93	82	56	76	137	93	116	84	120	110	79	119	81	129	117	153	72	113	176					
		8.38%	5.99%	6.91%	6.37%	7.94%	6.11%	9.77%	7.48%	8.65%	6.75%	8.91%	8.06%	8.82%	9.92%	6.88%	8.87%	8.90%	12.03%	6.34%	7.81%	14.61%					
23	. Харитонов Николай Михайлович	1941	95	107	118	56	95	121	116	85	112	92	122	65	105	99	104	107	82	91	107	62					
		7.83%	8.25%	7.95%	9.17%	7.94%	7.64%	8.63%	9.33%	6.34%	9.00%	6.83%	8.94%	7.25%	8.76%	8.41%	7.15%	8.14%	6.45%	8.02%	7.40%	5.15%					
																											
24	Против всех	1666	62	66	70	48	85	82	70	95	57	107	87	67	99	91	114	85	98	92	107	84					
		6.72%	5.39%	4.90%	5.44%	6.81%	6.83%	5.85%	5.63%	7.08%	4.58%	7.94%	6.37%	7.48%	8.26%	7.73%	7.84%	6.46%	7.70%	8.11%	7.40%	6.97%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
