Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Селенгинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562					
1	"Число избирателей, внесенных в список"	32896	2723	1783	2197	1688	1932	1524	2987	1057	1408	1792	162	1808	216	98	486	118	1782	206	181	1341	126	419	103	107	535	74	2427	213	140	867	149	86	363	776	249	584	189					
2	Число полученных избирательных бюллетеней	32101	2575	1803	2195	1546	1883	1532	2902	1018	1371	1700	175	1780	221	99	482	119	1773	200	184	1360	122	409	111	112	524	74	2254	199	143	843	149	93	365	757	247	593	188					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20129	1385	1143	1096	856	906	979	1371	513	655	1497	75	1035	154	79	285	95	1001	118	84	1197	103	337	92	92	455	45	1728	173	112	543	140	71	323	594	171	458	168					
5	"Число избирательных бюллетеней, выданных вне помещения"	1489	64	48	41	110	75	57	21	31	66	57	43	145	35	7	8	0	45	45	52	21	5	31	4	9	47	28	45	22	24	154	8	15	19	10	31	52	14					
6	Число погашенных избирательных бюллетеней	10483	1126	612	1058	580	902	496	1510	474	650	146	57	600	32	13	189	24	727	37	48	142	14	41	15	11	22	1	481	4	7	146	1	7	23	153	45	83	6					
7	Число избирательных бюллетеней в переносных ящиках	1489	64	48	41	110	75	57	21	31	66	57	43	145	35	7	8	0	45	45	52	21	5	31	4	9	47	28	45	22	24	154	8	15	19	10	31	52	14					
8	Число бюллетеней в стационарных ящиках для голосования	20128	1385	1143	1096	856	906	979	1371	513	655	1497	75	1034	154	79	285	95	1001	118	84	1197	103	337	92	92	455	45	1728	173	112	543	140	71	323	594	171	458	168					
9	Число недействительных избирательных бюллетеней	185	8	10	11	0	4	9	21	15	6	0	0	10	2	1	1	0	7	7	2	8	0	3	1	0	3	0	13	2	1	12	2	3	2	12	5	4	0					
10	Число действительных избирательных бюллетеней	21432	1441	1181	1126	966	977	1027	1371	529	715	1554	118	1169	187	85	292	95	1039	156	134	1210	108	365	95	101	499	73	1760	193	135	685	146	83	340	592	197	506	182					
11	Число полученных открепительных  удостоверений	1297	100	100	100	50	100	70	100	80	40	130	4	20	10	10	10	0	30	10	10	51	10	20	10	5	20	10	50	10	17	30	10	10	10	20	10	20	10					
12	Число выданных открепительных удостоверений	441	17	12	13	8	9	8	21	10	2	129	0	20	1	2	4	0	30	4	2	8	0	14	7	5	11	0	20	6	11	15	10	10	10	3	2	17	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	264	10	14	11	7	2	13	15	12	7	70	0	8	3	2	1	1	3	1	1	9	1	5	1	0	2	2	21	2	5	12	10	2	3	4	1	0	3					
14	Число неиспользованных открепительных удостоверений	856	83	88	87	42	91	62	79	70	38	1	4	0	9	8	6	0	0	6	8	43	10	6	3	0	9	10	30	4	6	15	0	0	0	17	8	3	10					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
