Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Курьинская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033					
1	"Число избирателей, внесенных в список"	10018	93	149	1061	85	322	118	176	718	92	892	191	533	502	857	166	2164	1195	704					
2	Число полученных избирательных бюллетеней	9704	94	200	1050	85	300	120	180	750	90	850	190	530	500	800	165	2050	1050	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7029	67	127	633	75	196	101	119	517	84	643	160	397	426	592	110	1525	759	498					
5	"Число избирательных бюллетеней, выданных вне помещения"	447	14	0	61	3	7	3	0	28	0	33	4	30	7	20	12	69	92	64					
6	Число погашенных избирательных бюллетеней	2228	13	73	356	7	97	16	61	205	6	174	26	103	67	188	43	456	199	138					
7	Число избирательных бюллетеней в переносных ящиках	447	14	0	61	3	7	3	0	28	0	33	4	30	7	20	12	69	92	64					
8	Число бюллетеней в стационарных ящиках для голосования	7028	67	127	633	75	196	101	119	517	84	643	160	396	426	592	110	1525	759	498					
9	Число недействительных избирательных бюллетеней	79	0	1	10	0	5	0	0	6	1	2	1	6	5	9	4	12	9	8					
10	Число действительных избирательных бюллетеней	7396	81	126	684	78	198	104	119	539	83	674	163	420	428	603	118	1582	842	554					
11	Число полученных открепительных  удостоверений	94	3	3	5	3	5	3	3	5	3	5	3	5	5	5	3	15	11	9					
12	Число выданных открепительных удостоверений	37	0	1	4	0	1	0	2	1	0	1	0	0	0	1	0	12	5	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	1	0	3	1	0	0	0	0	1	0	0	1	1	2	1	3	0	0					
14	Число неиспользованных открепительных удостоверений	57	3	2	1	3	4	3	1	4	3	4	3	5	5	4	3	3	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	175	1	5	18	0	1	4	1	1	1	19	7	7	6	15	1	51	23	14					
		2.34%	1.23%	3.94%	2.59%	0.00%	0.49%	3.85%	0.84%	0.18%	1.19%	2.81%	4.27%	1.64%	1.39%	2.45%	0.82%	3.20%	2.70%	2.49%					
19	. Малышкин Олег Александрович	230	0	5	17	0	5	4	4	11	4	23	3	9	31	16	9	45	15	29					
		3.08%	0.00%	3.94%	2.45%	0.00%	2.46%	3.85%	3.36%	2.02%	4.76%	3.40%	1.83%	2.11%	7.16%	2.61%	7.38%	2.82%	1.76%	5.16%					
20	. Миронов Сергей Михайлович	68	1	1	8	1	6	0	1	4	0	11	0	11	2	6	0	4	8	4					
		0.91%	1.23%	0.79%	1.15%	1.28%	2.96%	0.00%	0.84%	0.73%	0.00%	1.63%	0.00%	2.58%	0.46%	0.98%	0.00%	0.25%	0.94%	0.71%					
21	. Путин Владимир Владимирович	4790	58	78	534	64	133	88	73	373	45	395	46	230	280	363	57	1092	535	346					
		64.08%	71.60%	61.42%	76.95%	82.05%	65.52%	84.62%	61.34%	68.44%	53.57%	58.43%	28.05%	53.99%	64.67%	59.31%	46.72%	68.51%	62.87%	61.57%					
22	. Хакамада Ирина Муцуовна	122	5	0	12	0	5	0	0	6	1	8	2	9	10	5	2	33	17	7					
		1.63%	6.17%	0.00%	1.73%	0.00%	2.46%	0.00%	0.00%	1.10%	1.19%	1.18%	1.22%	2.11%	2.31%	0.82%	1.64%	2.07%	2.00%	1.25%					
23	. Харитонов Николай Михайлович	1888	13	36	85	13	48	7	39	139	32	200	96	145	92	188	49	327	231	148					
		25.26%	16.05%	28.35%	12.25%	16.67%	23.65%	6.73%	32.77%	25.50%	38.10%	29.59%	58.54%	34.04%	21.25%	30.72%	40.16%	20.51%	27.14%	26.33%					
																									
24	Против всех	123	3	1	10	0	0	1	1	5	0	18	9	9	7	10	0	30	13	6					
		1.65%	3.70%	0.79%	1.44%	0.00%	0.00%	0.96%	0.84%	0.92%	0.00%	2.66%	5.49%	2.11%	1.62%	1.63%	0.00%	1.88%	1.53%	1.07%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
