Выборы Президента Российской Федерации																																																																																
Дата голосования: 02.03.2008																																																																																
																																																																																
Наименование Избирательной комиссии:    Белгородская районная																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
	Число участковых избирательных комиссий	73																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																														
																																																																																
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293					
1	"Число избирателей, включенных в списки избирателей"	78992	1458	630	131	986	786	386	217	2372	226	286	276	424	912	1192	454	731	173	258	2572	2721	349	550	871	119	1640	553	1478	611	981	280	1636	1424	1038	659	2059	771	1072	347	1247	698	1291	710	1479	873	573	1560	1613	1661	1417	1457	722	274	689	1371	409	227	322	113	247	1219	1173	1553	2232	1510	1905	2747	2625	2392	1593	597	2527	2228	2109					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76670	1300	585	136	910	780	380	215	2200	215	270	265	400	890	1150	430	710	170	250	2650	2700	330	540	920	121	1680	545	1460	675	940	265	1450	1420	1000	630	1910	750	1070	328	1100	700	1250	680	1420	840	540	1600	1540	1660	1400	1400	720	265	665	1350	386	220	305	114	233	1142	1130	1470	2100	1480	1860	2640	2560	2340	1540	580	2600	2100	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	59317	1138	390	90	721	601	317	160	1706	182	223	239	345	631	921	316	575	124	172	2202	2271	234	427	693	108	1299	373	1097	309	718	162	1209	991	682	575	1559	358	760	255	814	565	933	504	1049	539	436	1241	1011	1186	1148	1119	651	201	570	1179	309	121	262	89	177	863	830	1250	1656	798	1312	2300	1556	1804	1198	491	2080	1974	1968					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	8277	153	163	26	114	111	53	44	152	32	45	18	55	177	203	88	60	40	78	133	150	92	112	112	6	128	163	250	267	106	95	116	91	80	52	17	280	230	73	286	119	127	75	137	207	101	103	369	197	93	130	62	63	89	74	68	93	39	20	56	250	200	80	240	211	56	47	202	105	94	11	50	20	38					
6	Число погашенных избирательных бюллетеней	9076	9	32	20	75	68	10	11	342	1	2	8	0	82	26	26	75	6	0	315	279	4	1	115	7	253	9	113	99	116	8	125	338	238	3	334	112	80	0	0	16	190	101	234	94	3	256	160	277	159	151	7	1	6	97	9	6	4	5	0	29	100	140	204	471	492	293	802	431	248	78	470	106	94					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8277	153	163	26	114	111	53	44	152	32	45	18	55	177	203	88	60	40	78	133	150	92	112	112	6	128	163	250	267	106	95	116	91	80	52	17	280	230	73	286	119	127	75	137	207	101	103	369	197	93	130	62	63	89	74	68	93	39	20	56	250	200	80	240	211	56	47	202	105	94	11	50	20	38					
