Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Бокситогорская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47					
1	"Число избирателей, внесенных в список"	28347	2551	2643	2264	2787	2684	2464	1391	204	145	451	464	54	66	107	914	106	97	68	306	740	96	1168	1330	336	61	94	345	549	68	111	314	109	148	64	263	68	74	53	647	181	124	238	187	81	497	591	44					
2	Число полученных избирательных бюллетеней	29781	2689	2799	2400	2945	2830	2527	1487	203	146	483	503	54	69	112	974	100	100	68	333	787	93	1216	1377	368	65	98	356	592	62	109	327	108	153	66	277	70	76	54	678	178	123	252	198	75	529	626	46					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15101	1483	1554	1120	1583	1285	1333	770	83	62	215	268	29	27	86	461	25	41	20	240	403	41	512	646	185	15	60	217	319	32	32	169	20	117	47	185	27	36	30	329	83	44	101	129	73	258	281	25					
5	"Число избирательных бюллетеней, выданных вне помещения"	2507	70	47	38	59	78	137	75	33	42	51	38	20	39	14	170	75	47	48	32	122	45	77	65	79	39	26	34	79	30	77	28	71	10	7	22	35	36	20	144	38	53	104	14	0	66	68	5					
6	Число погашенных избирательных бюллетеней	12173	1136	1198	1242	1303	1467	1057	642	87	42	217	197	5	3	12	343	0	12	0	61	262	7	627	666	104	11	12	105	194	0	0	130	17	26	12	70	8	4	4	205	57	26	47	55	2	205	277	16					
7	Число избирательных бюллетеней в переносных ящиках	2507	70	47	38	59	78	137	75	33	42	51	38	20	39	14	170	75	47	48	32	122	45	77	65	79	39	26	34	79	30	77	28	71	10	7	22	35	36	20	144	38	53	104	14	0	66	68	5					
8	Число бюллетеней в стационарных ящиках для голосования	15097	1483	1554	1120	1583	1284	1333	770	83	62	215	268	29	27	86	461	25	41	20	240	403	41	509	646	185	15	60	217	319	32	32	169	20	117	47	185	27	36	30	329	83	44	101	129	73	258	281	25					
9	Число недействительных избирательных бюллетеней	76	10	14	4	10	3	9	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	4	4	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0					
10	Число действительных избирательных бюллетеней	17528	1543	1587	1154	1632	1359	1461	843	116	104	266	304	49	66	100	631	100	88	68	272	522	86	582	707	264	54	86	248	398	61	109	197	90	127	54	207	62	72	50	473	121	97	204	140	73	324	347	30					
11	Число полученных открепительных  удостоверений	435	31	30	30	30	30	27	25	5	5	5	5	5	5	5	15	0	5	3	7	9	3	11	14	5	5	5	5	20	0	3	5	4	4	4	5	4	4	4	9	4	0	15	5	0	8	10	2					
12	Число выданных открепительных удостоверений	289	24	13	10	23	15	12	22	0	0	2	5	2	5	5	14	0	2	3	7	7	3	8	14	0	5	4	2	20	0	3	3	0	0	0	2	0	1	0	9	4	0	15	5	0	8	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	189	8	2	6	6	6	8	4	2	2	4	3	2	4	1	6	4	3	6	1	3	7	9	7	3	6	1	4	1	6	5	4	3	1	0	2	1	1	1	12	6	6	3	2	6	2	7	2					
14	Число неиспользованных открепительных удостоверений	146	7	17	20	7	15	15	3	5	5	3	0	3	0	0	1	0	3	0	0	2	0	3	0	5	0	1	3	0	0	0	2	4	4	4	3	4	3	4	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	3	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
