Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Семеновская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2488					
12	Число выданных открепительных удостоверений	234	5	4	6	10	10	6	15	17	16	8	8	13	11	4	1	0	0	8	9	0	7	0	7	0	1	0	3	1	14	0	1	4	0	0	0	8	4	0	2	0	0	0	1	0	24	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	191	3	8	15	6	3	4	11	5	10	8	14	11	11	0	3	1	1	1	3	1	1	2	2	0	1	1	0	2	6	1	1	6	3	1	1	1	1	0	10	1	2	4	7	1	1	9	2	5					
14	Число неиспользованных открепительных удостоверений	250	5	6	4	3	6	4	0	3	4	2	2	2	4	6	4	5	5	2	1	5	3	10	3	10	9	5	7	4	1	10	9	6	5	5	5	2	6	10	8	5	5	5	9	5	1	14	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																							
18	. Глазьев Сергей Юрьевич	729	22	24	34	41	27	28	34	22	36	39	29	36	27	24	6	1	2	8	10	1	6	4	7	5	13	2	21	4	16	3	33	13	4	10	9	2	7	16	19	4	2	6	9	4	8	36	11	4					
		3.09%	2.82%	3.17%	3.73%	5.35%	3.66%	3.13%	4.68%	2.93%	3.92%	4.72%	3.52%	3.98%	2.98%	3.88%	3.82%	0.65%	2.41%	1.54%	3.91%	0.67%	3.28%	2.20%	1.28%	1.75%	2.40%	1.09%	6.07%	1.56%	1.99%	1.41%	7.52%	1.81%	2.47%	2.96%	3.21%	0.87%	2.59%	2.48%	2.76%	2.70%	1.35%	3.41%	1.93%	1.74%	2.76%	3.03%	1.33%	2.67%					
19	. Малышкин Олег Александрович	654	23	18	26	19	27	37	17	24	27	23	19	30	29	20	3	2	0	7	11	15	2	9	6	18	8	2	13	5	15	9	18	15	4	3	11	5	12	19	27	1	0	5	4	1	7	41	13	4					
