Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Приморская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811					
1	"Число избирателей, внесенных в список"	22149	170	107	1367	1355	533	1376	288	340	86	555	556	415	520	83	430	132	622	1537	117	400	1531	508	273	124	206	303	261	520	712	1312	1746	180	921	82	1126	267	93	318	116	172	120	203	66					
2	Число полученных избирательных бюллетеней	20192	200	200	1193	1205	473	1366	275	285	73	500	491	365	469	73	400	105	563	1388	120	352	1357	455	245	120	185	330	230	469	573	1208	1568	155	807	82	1015	244	76	284	89	175	119	220	90					
3	"Число избирательных бюллетеней, выданных  досрочно"	341	1	5	0	0	0	90	0	24	0	20	15	0	0	0	34	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	15	38	0	0	51	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11662	104	73	759	637	299	634	64	176	37	265	289	208	258	33	185	69	361	961	95	201	765	171	100	71	94	197	172	384	467	600	864	96	538	32	647	137	39	144	49	139	81	112	55					
5	"Число избирательных бюллетеней, выданных вне помещения"	1201	10	0	4	0	5	63	175	9	18	27	41	38	65	25	21	34	16	36	10	44	141	71	32	12	19	0	0	1	0	32	33	19	55	9	61	13	28	11	0	5	7	7	4					
6	Число погашенных избирательных бюллетеней	6988	85	122	430	568	169	579	36	76	18	188	146	119	146	15	160	2	186	391	15	107	451	180	113	37	72	133	58	84	106	576	671	25	214	41	307	94	9	114	2	31	31	50	31					
7	Число избирательных бюллетеней в переносных ящиках	1541	11	5	4	0	5	153	175	33	18	47	56	38	65	25	55	34	16	36	10	44	141	104	32	12	19	0	0	1	0	32	33	34	54	9	61	13	28	26	38	5	7	58	4					
8	Число бюллетеней в стационарных ящиках для голосования	11660	104	73	759	635	299	634	64	176	37	265	289	208	258	33	185	69	361	961	95	201	765	171	100	71	94	197	172	384	467	600	864	96	538	32	647	137	39	144	49	139	81	112	55					
9	Число недействительных избирательных бюллетеней	72	1	0	3	5	0	5	4	1	0	2	1	1	1	0	1	0	1	4	1	2	6	0	2	0	1	1	2	4	1	2	6	0	2	0	3	0	0	2	2	0	2	1	2					
10	Число действительных избирательных бюллетеней	13129	114	78	760	630	304	782	235	208	55	310	344	245	322	58	239	103	376	993	104	243	900	275	130	83	112	196	170	381	466	630	891	130	590	41	705	150	67	168	85	144	86	169	57					
11	Число полученных открепительных  удостоверений	442	10	4	20	20	18	35	0	5	5	8	10	7	17	5	5	3	10	27	10	7	15	10	4	20	3	10	3	4	15	20	20	5	20	5	10	10	4	10	5	10	5	5	3					
12	Число выданных открепительных удостоверений	260	2	0	13	15	11	31	0	0	1	8	5	4	16	4	4	1	9	27	1	3	15	3	1	16	0	4	0	2	1	9	4	3	16	0	10	6	1	6	1	0	2	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	318	0	1	19	3	4	11	17	0	5	3	5	9	11	3	3	10	7	20	5	5	23	6	6	8	5	38	2	0	24	7	15	6	4	3	13	6	6	3	0	0	1	1	0					
14	Число неиспользованных открепительных удостоверений	182	8	4	7	5	7	4	0	5	4	0	5	3	1	1	1	2	1	0	9	4	0	7	3	4	3	6	3	2	14	11	16	2	4	5	0	4	3	4	4	10	3	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	23	0	0	3	1	0	1	0	0	0	1	1	0	0	0	0	0	1	2	1	0	2	1	0	0	0	0	0	0	1	5	1	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	308	4	0	20	21	9	22	6	5	5	6	2	4	8	1	3	3	10	40	3	10	14	6	4	2	0	7	0	16	8	15	24	1	12	0	10	4	1	0	0	0	0	1	1					
		2.33%	3.48%	0.00%	2.62%	3.31%	2.96%	2.80%	2.51%	2.39%	9.09%	1.92%	0.58%	1.63%	2.48%	1.72%	1.25%	2.91%	2.65%	4.01%	2.86%	4.08%	1.55%	2.18%	3.03%	2.41%	0.00%	3.55%	0.00%	4.16%	1.71%	2.37%	2.68%	0.77%	2.03%	0.00%	1.41%	2.67%	1.49%	0.00%	0.00%	0.00%	0.00%	0.59%	1.69%					
19	. Малышкин Олег Александрович	260	3	2	16	11	6	24	11	7	1	7	4	6	2	0	7	0	15	23	1	6	15	2	1	3	0	3	3	5	4	10	24	1	14	2	14	1	0	1	0	0	0	3	2					
		1.97%	2.61%	2.56%	2.10%	1.73%	1.97%	3.05%	4.60%	3.35%	1.82%	2.24%	1.16%	2.44%	0.62%	0.00%	2.92%	0.00%	3.98%	2.31%	0.95%	2.45%	1.66%	0.73%	0.76%	3.61%	0.00%	1.52%	1.74%	1.30%	0.86%	1.58%	2.68%	0.77%	2.36%	4.88%	1.98%	0.67%	0.00%	0.59%	0.00%	0.00%	0.00%	1.76%	3.39%					
20	. Миронов Сергей Михайлович	95	0	0	7	3	2	8	4	4	0	1	3	0	2	0	4	1	2	4	0	2	4	0	0	0	0	2	2	7	1	6	5	0	6	1	6	1	0	4	1	2	0	0	0					
		0.72%	0.00%	0.00%	0.92%	0.47%	0.66%	1.02%	1.67%	1.91%	0.00%	0.32%	0.87%	0.00%	0.62%	0.00%	1.67%	0.97%	0.53%	0.40%	0.00%	0.82%	0.44%	0.00%	0.00%	0.00%	0.00%	1.02%	1.16%	1.82%	0.21%	0.95%	0.56%	0.00%	1.01%	2.44%	0.85%	0.67%	0.00%	2.35%	1.15%	1.39%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10815	89	67	618	542	229	633	184	163	40	260	295	204	296	48	202	78	288	805	87	182	742	237	111	71	101	159	138	333	379	498	713	113	492	33	567	122	54	142	81	132	81	154	52					
		81.93%	77.39%	85.90%	81.00%	85.35%	75.33%	80.43%	76.99%	77.99%	72.73%	83.33%	85.51%	82.93%	91.64%	82.76%	84.17%	75.73%	76.39%	80.74%	82.86%	74.29%	81.90%	86.18%	84.09%	85.54%	89.38%	80.71%	80.23%	86.49%	81.16%	78.80%	79.49%	86.92%	83.11%	80.49%	80.08%	81.33%	80.60%	83.53%	93.10%	91.67%	92.05%	90.59%	88.14%					
22	. Хакамада Ирина Муцуовна	432	4	0	20	18	29	27	12	3	0	11	16	1	7	1	3	1	12	30	2	10	40	1	2	0	4	13	6	3	28	33	40	4	17	0	16	6	3	2	1	0	1	4	1					
		3.27%	3.48%	0.00%	2.62%	2.83%	9.54%	3.43%	5.02%	1.44%	0.00%	3.53%	4.64%	0.41%	2.17%	1.72%	1.25%	0.97%	3.18%	3.01%	1.90%	4.08%	4.42%	0.36%	1.52%	0.00%	3.54%	6.60%	3.49%	0.78%	6.00%	5.22%	4.46%	3.08%	2.87%	0.00%	2.26%	4.00%	4.48%	1.18%	1.15%	0.00%	1.14%	2.35%	1.69%					
23	. Харитонов Николай Михайлович	871	11	6	41	26	22	35	8	24	7	17	17	21	5	8	15	20	35	62	8	21	63	27	9	4	5	7	12	9	32	44	67	6	36	5	80	13	6	18	1	9	4	4	1					
		6.60%	9.57%	7.69%	5.37%	4.09%	7.24%	4.45%	3.35%	11.48%	12.73%	5.45%	4.93%	8.54%	1.55%	13.79%	6.25%	19.42%	9.28%	6.22%	7.62%	8.57%	6.95%	9.82%	6.82%	4.82%	4.42%	3.55%	6.98%	2.34%	6.85%	6.96%	7.47%	4.62%	6.08%	12.20%	11.30%	8.67%	8.96%	10.59%	1.15%	6.25%	4.55%	2.35%	1.69%					
																																																		
24	Против всех	348	3	3	38	9	7	33	10	2	2	8	7	9	2	0	5	0	14	29	3	12	22	2	3	3	2	5	9	8	14	24	18	5	13	0	12	3	3	1	1	1	0	3	0					
