Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Верхнетуринская городская  													
													
Итоги голосования 													
													
		Сумма	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227					
1	"Число избирателей, внесенных в список"	8527	1216	1045	1083	1096	2074	2013					
2	Число полученных избирательных бюллетеней	8580	1250	1000	1100	1100	2100	2030					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4442	644	565	518	654	1060	1001					
5	"Число избирательных бюллетеней, выданных вне помещения"	251	41	50	25	27	26	82					
6	Число погашенных избирательных бюллетеней	3887	565	385	557	419	1014	947					
7	Число избирательных бюллетеней в переносных ящиках	251	41	50	25	27	26	82					
8	Число бюллетеней в стационарных ящиках для голосования	4442	644	565	518	654	1060	1001					
9	Число недействительных избирательных бюллетеней	53	12	3	10	5	10	13					
10	Число действительных избирательных бюллетеней	4640	673	612	533	676	1076	1070					
11	Число полученных открепительных  удостоверений	200	30	30	30	30	40	40					
12	Число выданных открепительных удостоверений	19	1	2	0	9	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	3	4	3	7	4	0					
14	Число неиспользованных открепительных удостоверений	181	29	28	30	21	38	35					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	121	18	13	17	14	32	27					
		2.58%	2.63%	2.11%	3.13%	2.06%	2.95%	2.49%					
19	. Малышкин Олег Александрович	108	17	15	9	13	26	28					
		2.30%	2.48%	2.44%	1.66%	1.91%	2.39%	2.59%					
20	. Миронов Сергей Михайлович	24	8	0	1	3	6	6					
		0.51%	1.17%	0.00%	0.18%	0.44%	0.55%	0.55%					
21	. Путин Владимир Владимирович	3771	562	485	440	551	876	857					
		80.35%	82.04%	78.86%	81.03%	80.91%	80.66%	79.13%					
22	. Хакамада Ирина Муцуовна	117	15	16	11	18	27	30					
		2.49%	2.19%	2.60%	2.03%	2.64%	2.49%	2.77%					
23	. Харитонов Николай Михайлович	404	37	76	41	56	85	109					
		8.61%	5.40%	12.36%	7.55%	8.22%	7.83%	10.06%					
													
24	Против всех	95	16	7	14	21	24	13					
		2.02%	2.34%	1.14%	2.58%	3.08%	2.21%	1.20%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
