Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Бодайбинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139					
1	"Число избирателей, внесенных в список"	18941	654	600	1555	1298	1207	1494	1616	1455	587	661	205	154	1613	85	1198	300	101	1418	1245	434	1014	47					
2	Число полученных избирательных бюллетеней	18443	620	570	1540	1250	1140	1460	1580	1420	545	620	200	148	1610	78	1200	290	103	1430	1140	440	1010	49					
3	"Число избирательных бюллетеней, выданных  досрочно"	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	38	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8478	251	277	701	591	541	711	735	634	278	320	110	94	776	48	563	121	58	674	492	211	257	35					
5	"Число избирательных бюллетеней, выданных вне помещения"	533	12	3	18	21	24	22	15	36	13	5	4	0	120	0	41	38	4	41	93	8	15	0					
6	Число погашенных избирательных бюллетеней	9379	357	290	821	638	575	727	830	750	254	295	86	54	714	30	596	131	41	715	540	221	700	14					
7	Число избирательных бюллетеней в переносных ящиках	586	12	3	18	21	24	22	15	36	13	5	4	0	120	0	41	38	4	41	108	8	53	0					
8	Число бюллетеней в стационарных ящиках для голосования	8476	251	277	701	591	541	710	735	633	278	320	110	94	776	48	563	121	58	674	492	211	257	35					
9	Число недействительных избирательных бюллетеней	85	4	2	5	8	7	5	5	8	3	2	0	0	5	1	5	0	2	12	5	2	4	0					
10	Число действительных избирательных бюллетеней	8977	259	278	714	604	558	727	745	661	288	323	114	94	891	47	599	159	60	703	595	217	306	35					
11	Число полученных открепительных  удостоверений	465	20	20	25	25	25	25	25	25	20	20	15	15	25	15	25	15	15	25	25	20	25	15					
12	Число выданных открепительных удостоверений	43	1	1	6	4	0	4	7	1	2	1	0	0	3	0	4	0	0	0	6	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	0	3	2	6	2	2	0	1	1	1	1	0	0	2	0	0	4	3	1	0	0					
14	Число неиспользованных открепительных удостоверений	422	19	19	19	21	25	21	18	24	18	19	15	15	22	15	21	15	15	25	19	19	23	15					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	2	1	2	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	372	7	9	19	19	23	34	33	24	16	14	2	1	35	1	25	6	0	39	27	6	31	1					
		4.11%	2.66%	3.21%	2.64%	3.10%	4.07%	4.64%	4.40%	3.59%	5.50%	4.31%	1.75%	1.06%	3.91%	2.08%	4.14%	3.77%	0.00%	5.45%	4.50%	2.74%	10.00%	2.86%					
19	. Малышкин Олег Александрович	237	8	10	12	21	14	13	18	13	5	9	3	1	22	1	15	7	3	27	26	6	2	1					
		2.62%	3.04%	3.57%	1.67%	3.43%	2.48%	1.78%	2.40%	1.94%	1.72%	2.77%	2.63%	1.06%	2.46%	2.08%	2.48%	4.40%	4.84%	3.78%	4.33%	2.74%	0.65%	2.86%					
20	. Миронов Сергей Михайлович	86	3	1	6	6	4	8	9	6	3	5	1	0	7	1	4	0	1	6	8	7	0	0					
		0.95%	1.14%	0.36%	0.83%	0.98%	0.71%	1.09%	1.20%	0.90%	1.03%	1.54%	0.88%	0.00%	0.78%	2.08%	0.66%	0.00%	1.61%	0.84%	1.33%	3.20%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6557	196	226	555	456	368	523	527	465	205	244	92	76	676	38	418	108	48	494	433	161	220	28					
		72.36%	74.52%	80.71%	77.19%	74.51%	65.13%	71.45%	70.27%	69.51%	70.45%	75.08%	80.70%	80.85%	75.45%	79.17%	69.21%	67.92%	77.42%	69.09%	72.17%	73.52%	70.97%	80.00%					
22	. Хакамада Ирина Муцуовна	342	13	5	34	23	19	28	39	32	17	9	5	1	39	2	17	8	0	19	13	14	4	1					
		3.77%	4.94%	1.79%	4.73%	3.76%	3.36%	3.83%	5.20%	4.78%	5.84%	2.77%	4.39%	1.06%	4.35%	4.17%	2.81%	5.03%	0.00%	2.66%	2.17%	6.39%	1.29%	2.86%					
23	. Харитонов Николай Михайлович	1075	27	22	65	65	106	91	94	92	34	24	8	14	98	3	94	24	6	85	66	19	35	3					
		11.86%	10.27%	7.86%	9.04%	10.62%	18.76%	12.43%	12.53%	13.75%	11.68%	7.38%	7.02%	14.89%	10.94%	6.25%	15.56%	15.09%	9.68%	11.89%	11.00%	8.68%	11.29%	8.57%					
																													
24	Против всех	308	5	5	23	14	24	30	25	29	8	18	3	1	14	1	26	6	2	33	22	4	14	1					
		3.40%	1.90%	1.79%	3.20%	2.29%	4.25%	4.10%	3.33%	4.33%	2.75%	5.54%	2.63%	1.06%	1.56%	2.08%	4.30%	3.77%	3.23%	4.62%	3.67%	1.83%	4.52%	2.86%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
