Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Вурнарская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
1	"Число избирателей, внесенных в список"	26513	1945	1705	1437	2073	280	410	421	627	270	335	401	200	441	202	194	161	97	810	73	497	465	568	257	963	209	889	292	404	267	544	377	402	301	123	441	256	567	329	477	755	352	200	253	394	247	423	189	461	387	436	408	572	510	216					
2	Число полученных избирательных бюллетеней	25665	1821	1707	1373	2020	277	474	420	618	259	308	370	185	407	199	175	144	103	795	74	503	450	561	228	1002	229	871	286	436	275	497	365	404	308	116	394	251	544	325	463	705	337	195	239	355	228	405	171	424	359	397	363	561	493	196					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17841	1015	957	830	1216	233	366	284	355	181	194	305	104	317	163	153	131	58	389	53	388	308	474	205	591	172	635	244	264	221	295	303	306	249	91	365	219	418	236	406	452	272	161	170	285	185	302	123	314	322	315	262	411	409	164					
5	"Число избирательных бюллетеней, выданных вне помещения"	2549	113	52	62	75	21	44	30	53	23	44	58	73	17	20	11	13	25	101	4	57	62	41	10	88	35	168	34	60	23	120	43	62	37	20	25	16	80	47	32	85	34	18	29	59	42	30	30	105	27	43	75	47	19	7					
6	Число погашенных избирательных бюллетеней	5275	693	698	481	729	23	64	106	210	55	70	7	8	73	16	11	0	20	305	17	58	80	46	13	323	22	68	8	112	31	82	19	36	22	5	4	16	46	42	25	168	31	16	40	11	1	73	18	5	10	39	26	103	65	25					
7	Число избирательных бюллетеней в переносных ящиках	2549	113	52	62	75	21	44	30	53	23	44	58	73	17	20	11	13	25	101	4	57	62	41	10	88	35	168	34	60	23	120	43	62	37	20	25	16	80	47	32	85	34	18	29	59	42	30	30	105	27	43	75	47	19	7					
8	Число бюллетеней в стационарных ящиках для голосования	17840	1015	957	830	1216	233	366	284	355	181	194	305	104	317	163	153	131	58	389	53	388	308	474	205	591	172	634	244	264	221	295	303	306	249	91	365	219	418	236	406	452	272	161	170	285	185	302	123	314	322	315	262	411	409	164					
9	Число недействительных избирательных бюллетеней	589	32	17	10	25	9	6	5	9	1	8	4	1	18	5	3	4	0	15	2	20	13	11	4	11	7	13	29	12	12	10	2	27	3	2	44	12	8	10	9	16	14	9	5	2	7	6	4	41	3	2	12	15	13	7					
10	Число действительных избирательных бюллетеней	19800	1096	992	882	1266	245	404	309	399	203	230	359	176	316	178	161	140	83	475	55	425	357	504	211	668	200	789	249	312	232	405	344	341	283	109	346	223	490	273	429	521	292	170	194	342	220	326	149	378	346	356	325	443	415	164					
11	Число полученных открепительных  удостоверений	983	52	67	20	50	10	18	16	24	10	5	14	7	16	8	7	6	4	31	8	40	28	31	9	39	9	39	11	22	16	29	17	16	17	5	15	9	27	12	18	26	13	8	9	14	9	19	4	16	13	15	14	14	19	8					
12	Число выданных открепительных удостоверений	636	33	29	14	39	6	0	16	2	1	0	0	0	4	8	0	1	0	31	6	40	28	26	9	39	1	39	11	18	14	17	17	7	16	3	4	2	22	9	18	22	13	7	8	0	2	19	0	11	13	2	1	4	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	229	16	19	6	27	1	0	5	2	4	2	1	2	4	2	0	4	3	7	1	5	7	7	0	6	5	18	3	2	7	6	5	1	4	1	2	1	2	2	1	5	0	3	1	2	0	2	2	1	7	2	5	3	2	3					
