Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Ковдорская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в список избирателей"	18817	2119	2123	1927	1725	303	2335	2042	2033	2047	119	302	1471	271					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14300	1600	1600	1450	1300	300	1700	1550	1500	1500	100	250	1200	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	118	0	0	0	0	0	118	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8136	837	867	869	770	167	981	838	812	955	58	151	737	94					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	189	54	21	10	16	2	21	14	16	9	3	1	21	1					
6	Число погашенных избирательных бюллетеней	5857	709	712	571	514	131	580	698	672	536	39	98	442	155					
7	Число избирательных бюллетеней в переносных ящиках для голосования	307	54	21	10	16	2	139	14	16	9	3	1	21	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8117	837	867	867	770	167	970	836	811	953	58	151	736	94					
9	Число недействительных избирательных бюллетеней	122	7	12	10	9	1	30	9	12	10	0	2	13	7					
10	Число действительных избирательных бюллетеней	8302	884	876	867	777	168	1079	841	815	952	61	150	744	88					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	520	40	40	40	40	40	40	40	40	40	40	40	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	54	6	4	3	2	0	9	2	2	2	0	8	13	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	1	3	2	5	3	5	3	0	2	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	466	34	36	37	38	40	31	38	38	38	40	32	37	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	4	1	1	0	4	2	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1530	166	161	155	155	18	126	155	162	205	16	18	168	25					
		18.16%	18.63%	18.13%	17.67%	19.72%	10.65%	11.36%	18.24%	19.59%	21.31%	26.23%	11.84%	22.19%	26.32%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1356	136	134	141	121	39	214	139	131	154	8	31	96	12					
		16.10%	15.26%	15.09%	16.08%	15.39%	23.08%	19.30%	16.35%	15.84%	16.01%	13.11%	20.39%	12.68%	12.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	116	13	12	10	9	1	25	12	11	10	1	2	9	1					
		1.38%	1.46%	1.35%	1.14%	1.15%	0.59%	2.25%	1.41%	1.33%	1.04%	1.64%	1.32%	1.19%	1.05%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1995	205	205	212	206	28	255	199	199	210	15	51	184	26					
		23.68%	23.01%	23.09%	24.17%	26.21%	16.57%	22.99%	23.41%	24.06%	21.83%	24.59%	33.55%	24.31%	27.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	304	28	34	43	27	1	38	36	21	40	1	3	32	0					
		3.61%	3.14%	3.83%	4.90%	3.44%	0.59%	3.43%	4.24%	2.54%	4.16%	1.64%	1.97%	4.23%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2957	327	327	300	257	81	417	294	286	329	20	45	250	24					
		35.10%	36.70%	36.82%	34.21%	32.70%	47.93%	37.60%	34.59%	34.58%	34.20%	32.79%	29.61%	33.03%	25.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	44	9	3	6	2	0	4	6	5	4	0	0	5	0					
		0.52%	1.01%	0.34%	0.68%	0.25%	0.00%	0.36%	0.71%	0.60%	0.42%	0.00%	0.00%	0.66%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
