Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Атнинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011	УИК  1012	УИК  1013	УИК  1014	УИК  1015	УИК  1016	УИК  1017					
1	"Число избирателей, внесенных в список"	10327	2145	213	376	669	463	193	333	148	385	657	629	352	288	353	261	132	347	223	686	164	521	150	196	200	243					
2	Число полученных избирательных бюллетеней	10407	2160	215	378	674	463	196	336	150	386	666	635	352	288	356	264	135	349	225	688	165	528	152	198	203	245					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9509	1983	212	328	654	443	165	282	146	364	619	524	302	224	353	239	128	339	215	629	158	483	150	168	177	224					
5	"Число избирательных бюллетеней, выданных вне помещения"	813	160	1	48	15	20	28	51	2	20	38	105	48	64	0	22	4	8	8	57	6	38	0	28	23	19					
6	Число погашенных избирательных бюллетеней	85	17	2	2	5	0	3	3	2	2	9	6	2	0	3	3	3	2	2	2	1	7	2	2	3	2					
7	Число избирательных бюллетеней в переносных ящиках	813	160	1	48	15	20	28	51	2	20	38	105	48	64	0	22	4	8	8	57	6	38	0	28	23	19					
8	Число бюллетеней в стационарных ящиках для голосования	9509	1983	212	328	654	443	165	282	146	364	619	524	302	224	353	239	128	339	215	629	158	483	150	168	177	224					
9	Число недействительных избирательных бюллетеней	64	48	0	0	4	1	0	5	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	10258	2095	213	376	665	462	193	328	148	384	657	627	350	288	353	260	132	345	223	686	164	521	150	196	200	242					
11	Число полученных открепительных  удостоверений	400	82	8	15	26	18	8	13	6	15	26	24	14	11	13	10	5	14	9	26	6	20	6	7	8	10					
12	Число выданных открепительных удостоверений	54	20	0	1	1	0	4	2	0	1	6	4	5	0	2	1	0	0	0	0	3	3	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	13	0	0	0	2	3	0	0	2	1	1	5	1	0	0	0	1	0	1	4	1	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	346	62	8	14	25	18	4	11	6	14	20	20	9	11	11	9	5	14	9	26	3	17	6	7	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	11	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	2	0	0	0	0					
		0.11%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.29%	0.00%	0.00%	0.00%	0.00%	0.29%	0.45%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	11	6	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.28%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.29%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.09%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10181	2069	211	374	662	460	192	324	148	383	652	625	346	286	351	259	131	343	220	680	163	519	150	195	198	240					
		98.63%	96.55%	99.06%	99.47%	98.95%	99.35%	99.48%	97.30%	100.00%	99.74%	99.24%	99.36%	98.86%	99.31%	99.43%	99.23%	99.24%	98.85%	98.65%	99.13%	99.39%	99.62%	100.00%	99.49%	99.00%	98.77%					
22	. Хакамада Ирина Муцуовна	10	4	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0					
		0.10%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.61%	0.00%	0.00%	0.51%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	26	0	1	2	2	2	1	2	0	0	1	1	1	0	0	0	1	1	1	6	0	0	0	0	2	2					
		0.25%	0.00%	0.47%	0.53%	0.30%	0.43%	0.52%	0.60%	0.00%	0.00%	0.15%	0.16%	0.29%	0.00%	0.00%	0.00%	0.76%	0.29%	0.45%	0.87%	0.00%	0.00%	0.00%	0.00%	1.00%	0.82%					
																																
24	Против всех	15	9	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.15%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.30%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
