Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Поназыревская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5765	1144	937	733	1602	245	165	175	764									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5801	1145	928	736	1605	248	166	182	791									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2131	367	412	288	566	77	78	80	263									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	445	90	49	49	88	42	15	28	84									
6	Число погашенных избирательных бюллетеней	3225	688	467	399	951	129	73	74	444									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	445	90	49	49	88	42	15	28	84									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2131	367	412	288	566	77	78	80	263									
9	Число недействительных избирательных бюллетеней	36	10	5	4	7	4	2	0	4									
10	Число действительных избирательных бюллетеней	2540	447	456	333	647	115	91	108	343									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	98	20	20	12	20	6	4	4	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	2	4	2	9	0	0	4	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	23	5	6	4	5	0	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	65	18	16	10	11	6	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	1	6	2	6	0	0	0	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	1	5	4	13	1	0	0	2									
		1.01%	0.22%	1.08%	1.19%	1.99%	0.84%	0.00%	0.00%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	101	17	20	22	24	3	2	4	9									
		3.92%	3.72%	4.34%	6.53%	3.67%	2.52%	2.15%	3.70%	2.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	48	8	10	4	15	1	3	1	6									
		1.86%	1.75%	2.17%	1.19%	2.29%	0.84%	3.23%	0.93%	1.73%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1139	213	192	111	236	55	53	83	196									
		44.22%	46.61%	41.65%	32.94%	36.09%	46.22%	56.99%	76.85%	56.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	1	1	3	3	0	0	0	1									
		0.35%	0.22%	0.22%	0.89%	0.46%	0.00%	0.00%	0.00%	0.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	1	0	1	1	0	0									
		0.12%	0.00%	0.00%	0.30%	0.00%	0.84%	1.08%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	473	108	77	61	125	29	19	3	51									
		18.36%	23.63%	16.70%	18.10%	19.11%	24.37%	20.43%	2.78%	14.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	3	1	0	4	0	0	0	3									
		0.43%	0.66%	0.22%	0.00%	0.61%	0.00%	0.00%	0.00%	0.86%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	3	0	2	6	0	0	0	1									
		0.47%	0.66%	0.00%	0.59%	0.92%	0.00%	0.00%	0.00%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	0	0	0	0	2									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	2	6	3	6	0	0	0	4									
		0.82%	0.44%	1.30%	0.89%	0.92%	0.00%	0.00%	0.00%	1.15%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	625	78	130	108	198	22	11	16	62									
		24.26%	17.07%	28.20%	32.05%	30.28%	18.49%	11.83%	14.81%	17.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	2	0	2	1	0	1	0	1									
		0.27%	0.44%	0.00%	0.59%	0.15%	0.00%	1.08%	0.00%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	63	11	14	12	16	3	1	1	5									
		2.45%	2.41%	3.04%	3.56%	2.45%	2.52%	1.08%	0.93%	1.44%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
