Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ухоловская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996					
1	"Число избирателей, внесенных в список"	9309	297	288	214	302	338	123	116	375	189	304	97	222	351	578	375	85	154	280	169	1535	2917					
2	Число полученных избирательных бюллетеней	9349	301	279	211	303	337	122	115	385	188	309	95	220	349	583	373	85	153	279	168	1562	2932					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6014	190	181	132	183	216	79	77	187	135	217	65	151	241	313	188	73	105	206	120	995	1960					
5	"Число избирательных бюллетеней, выданных вне помещения"	1009	37	57	38	71	54	21	9	65	22	28	20	31	47	160	94	8	15	27	18	60	127					
6	Число погашенных избирательных бюллетеней	2326	74	41	41	49	67	22	29	133	31	64	10	38	61	110	91	4	33	46	30	507	845					
7	Число избирательных бюллетеней в переносных ящиках	1009	37	57	38	71	54	21	9	65	22	28	20	31	47	160	94	8	15	27	18	60	127					
8	Число бюллетеней в стационарных ящиках для голосования	6014	190	181	132	183	216	79	77	187	135	217	65	151	241	313	188	73	105	206	120	995	1960					
9	Число недействительных избирательных бюллетеней	123	1	5	0	2	3	3	1	2	3	4	0	4	6	16	4	1	1	5	6	17	39					
10	Число действительных избирательных бюллетеней	6900	226	233	170	252	267	97	85	250	154	241	85	178	282	457	278	80	119	228	132	1038	2048					
11	Число полученных открепительных  удостоверений	250	10	10	10	10	10	10	10	10	10	10	5	10	10	10	10	5	5	10	5	30	50					
12	Число выданных открепительных удостоверений	48	3	0	1	0	0	2	1	4	0	0	0	0	2	3	0	0	0	0	0	9	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	1	7	2	3	1	3	2	0	2	1	2	2	3	4	1	2	1	0	2	1	5					
14	Число неиспользованных открепительных удостоверений	202	7	10	9	10	10	8	9	6	10	10	5	10	8	7	10	5	5	10	5	21	27					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	162	2	1	2	6	3	1	1	5	2	8	3	2	5	10	2	0	1	3	1	37	67					
		2.31%	0.88%	0.42%	1.18%	2.36%	1.11%	1.00%	1.16%	1.98%	1.27%	3.27%	3.53%	1.10%	1.74%	2.11%	0.71%	0.00%	0.83%	1.29%	0.72%	3.51%	3.21%					
19	. Малышкин Олег Александрович	135	0	5	3	3	2	0	0	5	8	7	1	4	4	10	11	2	1	5	1	26	37					
		1.92%	0.00%	2.10%	1.76%	1.18%	0.74%	0.00%	0.00%	1.98%	5.10%	2.86%	1.18%	2.20%	1.39%	2.11%	3.90%	2.47%	0.83%	2.15%	0.72%	2.46%	1.77%					
20	. Миронов Сергей Михайлович	56	1	3	1	1	5	1	0	2	1	1	0	2	1	2	3	1	1	0	3	13	14					
		0.80%	0.44%	1.26%	0.59%	0.39%	1.85%	1.00%	0.00%	0.79%	0.64%	0.41%	0.00%	1.10%	0.35%	0.42%	1.06%	1.23%	0.83%	0.00%	2.17%	1.23%	0.67%					
21	. Путин Владимир Владимирович	5361	195	181	131	213	222	76	81	193	98	195	67	142	237	365	210	67	102	186	97	770	1533					
		76.33%	85.90%	76.05%	77.06%	83.86%	82.22%	76.00%	94.19%	76.59%	62.42%	79.59%	78.82%	78.02%	82.29%	77.17%	74.47%	82.72%	85.00%	79.83%	70.29%	72.99%	73.45%					
22	. Хакамада Ирина Муцуовна	115	9	1	2	3	4	0	0	7	3	4	0	2	7	6	2	1	0	2	1	21	40					
		1.64%	3.96%	0.42%	1.18%	1.18%	1.48%	0.00%	0.00%	2.78%	1.91%	1.63%	0.00%	1.10%	2.43%	1.27%	0.71%	1.23%	0.00%	0.86%	0.72%	1.99%	1.92%					
23	. Харитонов Николай Михайлович	944	15	39	29	21	28	16	2	37	40	23	13	23	25	59	44	6	12	25	27	143	317					
		13.44%	6.61%	16.39%	17.06%	8.27%	10.37%	16.00%	2.33%	14.68%	25.48%	9.39%	15.29%	12.64%	8.68%	12.47%	15.60%	7.41%	10.00%	10.73%	19.57%	13.55%	15.19%					
																												
24	Против всех	127	4	3	2	5	3	3	1	1	2	3	1	3	3	5	6	3	2	7	2	28	40					
		1.81%	1.76%	1.26%	1.18%	1.97%	1.11%	3.00%	1.16%	0.40%	1.27%	1.22%	1.18%	1.65%	1.04%	1.06%	2.13%	3.70%	1.67%	3.00%	1.45%	2.65%	1.92%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
