Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Итум-Калинская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №414	УИК №415	УИК №416					
1	"Число избирателей, внесенных в списки"	4933	808	391	160	170	366	109	74	203	114	1228	480	450	380					
2	"Число бюллетеней, полученных участковыми комиссиями"	4869	669	384	160	170	366	99	74	203	114	1260	500	470	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	2171	422	341	0	0	241	0	0	0	0	0	441	388	338					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2336	225	0	160	166	114	99	62	203	114	1193	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	39	0	0	0	4	0	0	0	0	0	35	0	0	0					
6	Число погашенных бюллетеней	323	22	43	0	0	11	0	12	0	0	32	59	82	62					
7	Число бюллетеней в переносных ящиках для голосования	539	0	0	0	4	241	0	0	0	0	35	0	0	259					
8	Число бюллетеней в стационарных ящиках для голосования	4007	647	341	160	166	114	99	62	203	114	1193	441	388	79					
9	Число недействительных бюллетеней	180	13	1	0	3	10	4	0	7	2	126	4	8	2					
10	Число действительных бюллетеней	4366	634	340	160	167	345	95	62	196	112	1102	437	380	336					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	30	0	0	0	0	0	0	0	0	0	30	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	25	0	0	0	0	0	0	0	0	0	25	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	10	0	0	0	0	0	0	0	0	0	10	0	0	0					
14	Число погашенных открепительных удостоверений	5	0	0	0	0	0	0	0	0	0	5	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	72	12	14	2	0	5	0	0	4	2	12	8	11	2					
		1.58%	1.85%	4.10%	1.25%	0.0%	1.40%	0.0%	0.0%	1.97%	1.75%	0.97%	1.81%	2.83%	0.59%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	621	121	97	2	44	28	68	0	62	2	186	8	0	3					
		13.66%	18.70%	28.44%	1.25%	25.88%	7.88%	68.68%	0.0%	30.54%	1.75%	15.14%	1.81%	0.0%	0.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	90	3	2	17	20	4	0	0	3	7	22	1	9	2					
		1.97%	0.46%	0.58%	10.62%	11.76%	1.12%	0.0%	0.0%	1.47%	6.14%	1.79%	0.22%	2.31%	0.59%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	240	29	34	135	3	3	1	0	5	2	24	0	3	1					
		5.27%	4.48%	9.97%	84.37%	1.76%	0.84%	1.01%	0.0%	2.46%	1.75%	1.95%	0.0%	0.77%	0.29%					
22	"5. ""За Русь Святую"""	19	3	0	4	0	0	0	0	0	0	9	1	1	1					
		0.41%	0.46%	0.0%	2.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.22%	0.25%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	3	3	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	22	6	0	0	0	4	0	0	0	0	9	1	2	0					
		0.48%	0.92%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.73%	0.22%	0.51%	0.0%					
25	"8. ""Народно-республиканская партия России"""	9	1	0	0	1	0	0	0	7	0	0	0	0	0					
		0.19%	0.15%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	0	0	0	0	0	0	0	0	0	6	1	2	3					
		0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.22%	0.51%	0.88%					
27	"10. ""Аграрная партия России"""	16	1	0	0	0	4	0	0	0	4	4	1	0	2					
		0.35%	0.15%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	3.50%	0.32%	0.22%	0.0%	0.59%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	168	9	95	0	39	0	7	0	3	3	8	2	1	1					
		3.69%	1.39%	27.85%	0.0%	22.94%	0.0%	7.07%	0.0%	1.47%	2.63%	0.65%	0.45%	0.25%	0.29%					
30	"13. ""Демократическая партия России"""	18	4	2	0	0	0	0	0	3	0	4	4	0	1					
		0.39%	0.61%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	0.0%	0.32%	0.90%	0.0%	0.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	3	3	0	0	8	0	0	8	3	4	1	2	0					
		0.70%	0.46%	0.87%	0.0%	0.0%	2.25%	0.0%	0.0%	3.94%	2.63%	0.32%	0.22%	0.51%	0.0%					
32	"15. ""Партия СЛОН"""	8	1	1	0	2	0	0	0	0	0	1	0	2	1					
		0.17%	0.15%	0.29%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.51%	0.29%					
33	"16. ""Родина"" (народно-патриотический союз)"""	88	47	14	0	0	12	0	0	2	1	8	1	2	1					
		1.93%	7.26%	4.10%	0.0%	0.0%	3.38%	0.0%	0.0%	0.98%	0.87%	0.65%	0.22%	0.51%	0.29%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	23	7	0	0	1	0	0	0	3	2	4	0	2	4					
		0.50%	1.08%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	1.47%	1.75%	0.32%	0.0%	0.51%	1.18%					
35	"18. ""ЛДПР"""	539	113	0	0	1	107	0	0	4	1	177	81	12	43					
		11.85%	17.46%	0.0%	0.0%	0.58%	30.14%	0.0%	0.0%	1.97%	0.87%	14.41%	18.36%	3.09%	12.72%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	16	1	0	0	0	2	0	0	0	2	7	1	2	1					
		0.35%	0.15%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	1.75%	0.57%	0.22%	0.51%	0.29%					
37	"20. ""Политическая партия ""Единая Россия"""	1959	168	61	0	30	125	19	62	86	58	498	289	312	251					
		43.09%	25.96%	17.88%	0.0%	17.64%	35.21%	19.19%	100.0%	42.36%	50.87%	40.55%	65.53%	80.41%	74.26%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	0	0	0	0	0	0	0	0	0	3	1	1	1					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.22%	0.25%	0.29%					
39	"22. ""Развитие предпринимательства"""	8	6	0	0	0	0	0	0	0	0	1	1	0	0					
		0.17%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.22%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	191	39	7	0	24	3	0	0	5	19	64	9	7	14					
		4.20%	6.02%	2.05%	0.0%	14.11%	0.84%	0.0%	0.0%	2.46%	16.66%	5.21%	2.04%	1.80%	4.14%					
																				
41	Против всех	205	57	10	0	2	40	0	0	1	5	51	26	9	4					
		4.50%	8.80%	2.93%	0.0%	1.17%	11.26%	0.0%	0.0%	0.49%	4.38%	4.15%	5.89%	2.31%	1.18%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
