Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Кобяйская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211					
1	"Число избирателей, внесенных в список"	8248	350	208	408	453	181	408	322	361	364	229	102	312	594	589	331	260	304	180	280	142	108	75	51	626	263	124	246	377					
2	Число полученных избирательных бюллетеней	8430	330	220	350	400	170	350	320	340	340	230	140	330	620	610	360	270	340	190	300	170	120	90	60	660	270	140	270	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	10	72					
4	"Число избирательных бюллетеней, выданных в день голосования"	6218	222	123	291	276	82	196	207	232	222	142	94	253	516	491	299	245	228	172	200	130	106	69	51	520	239	124	198	290					
5	"Число избирательных бюллетеней, выданных вне помещения"	811	43	32	44	45	63	88	59	26	27	37	8	22	64	46	28	15	36	6	26	4	1	4	0	50	0	0	22	15					
6	Число погашенных избирательных бюллетеней	1315	65	65	15	79	25	66	54	82	91	51	38	55	40	73	33	10	76	12	74	36	12	17	9	90	28	16	40	63					
7	Число избирательных бюллетеней в переносных ящиках	897	43	32	44	45	63	88	59	26	27	37	8	22	64	46	28	15	36	6	26	4	2	4	0	50	3	0	32	87					
8	Число бюллетеней в стационарных ящиках для голосования	6218	222	123	291	276	82	196	207	232	222	142	94	253	516	491	299	245	228	172	200	130	106	69	51	520	239	124	198	290					
9	Число недействительных избирательных бюллетеней	39	3	0	4	2	0	0	2	1	3	0	0	2	4	6	1	0	0	0	1	0	0	1	0	2	2	2	3	0					
10	Число действительных избирательных бюллетеней	7076	262	155	331	319	145	284	264	257	246	179	102	273	576	531	326	260	264	178	225	134	108	72	51	568	240	122	227	377					
11	Число полученных открепительных  удостоверений	287	8	5	5	5	2	8	10	8	8	1	22	16	20	16	14	13	10	10	10	10	6	6	6	25	10	6	10	17					
12	Число выданных открепительных удостоверений	210	8	4	5	2	1	7	7	4	5	1	20	11	15	11	14	10	10	4	10	10	0	4	0	23	0	2	9	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	6	2	5	5	2	4	7	0	1	0	2	9	4	5	3	4	2	1	5	4	2	1	2	3	6	1	2	0					
14	Число неиспользованных открепительных удостоверений	77	0	1	0	3	1	1	3	4	3	0	2	5	5	5	0	3	0	6	0	0	6	2	6	2	10	4	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	136	4	2	4	7	5	4	10	9	4	4	1	5	2	6	3	8	7	1	10	1	0	9	2	17	2	1	5	3					
		1.91%	1.51%	1.29%	1.19%	2.18%	3.45%	1.41%	3.76%	3.49%	1.61%	2.23%	0.98%	1.82%	0.34%	1.12%	0.92%	3.08%	2.65%	0.56%	4.42%	0.75%	0.00%	12.33%	3.92%	2.98%	0.83%	0.81%	2.17%	0.80%					
19	. Малышкин Олег Александрович	53	1	1	10	4	4	3	0	1	3	4	0	4	0	0	0	1	0	0	1	3	0	0	0	3	0	6	0	4					
