Выборы Президента Российской Федерации																																																																									
Дата голосования: 02.03.2008																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
	Число участковых избирательных комиссий	66																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																							
																																																																									
		Сумма	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324					
1	"Число избирателей, включенных в списки избирателей"	55011	994	1891	1061	1197	599	1665	1299	1474	1941	1280	1017	483	1613	619	1782	1823	1290	1526	1339	1402	1079	1228	1159	1145	1168	1835	1645	991	629	438	367	870	1109	398	222	349	202	395	457	638	322	587	1162	324	332	641	369	408	332	637	593	213	643	369	398	430	451	284	303	830	556	425	246	656	573	308					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	48150	900	1600	900	1100	500	1500	1100	1300	1700	1100	900	400	1400	500	1600	1600	1100	1300	1200	1200	900	1100	1000	1000	1000	1600	1400	900	500	400	300	800	1000	350	200	300	200	350	400	550	300	500	1000	300	300	600	300	350	300	550	500	200	600	300	350	400	400	250	250	800	500	400	200	600	500	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	26287	445	902	508	564	251	872	631	759	901	648	484	211	694	252	806	917	695	687	676	701	551	584	492	545	585	872	869	402	346	196	249	533	565	281	93	223	52	165	223	299	173	263	513	163	152	213	143	215	163	239	193	102	311	189	197	265	229	149	142	327	244	312	49	122	343	147					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3570	42	42	64	27	12	29	30	17	28	9	10	9	79	26	44	18	6	9	51	20	51	20	21	25	15	41	31	8	111	57	28	67	63	51	64	42	38	116	86	117	59	13	136	33	36	85	98	33	10	90	110	31	67	80	49	55	71	78	73	157	116	31	84	224	54	73					
6	Число погашенных избирательных бюллетеней	18293	413	656	328	509	237	599	439	524	771	443	406	180	627	222	750	665	399	604	473	479	298	496	487	430	400	687	500	490	43	147	23	200	372	18	43	35	110	69	91	134	68	224	351	104	112	302	59	102	127	221	197	67	222	31	104	80	100	23	35	316	140	57	67	254	103	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3570	42	42	64	27	12	29	30	17	28	9	10	9	79	26	44	18	6	9	51	20	51	20	21	25	15	41	31	8	111	57	28	67	63	51	64	42	38	116	86	117	59	13	136	33	36	85	98	33	10	90	110	31	67	80	49	55	71	78	73	157	116	31	84	224	54	73					
8	Число бюллетеней в стационарных ящиках для голосования	26282	445	902	508	564	251	871	631	755	901	648	484	211	694	252	806	917	695	687	676	701	551	584	492	545	585	872	869	402	346	196	249	533	565	281	93	223	52	165	223	299	173	263	513	163	152	213	143	215	163	239	193	102	311	189	197	265	229	149	142	327	244	312	49	122	343	147					
9	Число недействительных избирательных бюллетеней	322	7	12	8	9	3	19	7	8	9	6	9	0	11	6	7	8	8	12	10	14	11	10	6	8	15	11	9	3	1	2	0	3	6	0	1	3	0	0	2	0	1	4	8	2	0	1	0	0	3	2	0	0	4	0	1	0	27	0	0	1	0	1	0	3	0	0					
10	Число действительных избирательных бюллетеней	29530	480	932	564	582	260	881	654	764	920	651	485	220	762	272	843	927	693	684	717	707	591	594	507	562	585	902	891	407	456	251	277	597	622	332	156	262	90	281	307	416	231	272	641	194	188	297	241	248	170	327	303	133	374	269	245	320	273	227	215	483	360	342	133	343	397	220					
11	Число полученных открепительных  удостоверений	441	5	8	5	7	2	12	8	5	5	7	8	4	12	5	10	7	8	16	8	13	8	8	5	5	3	10	13	8	21	5	2	7	14	5	20	15	15	2	2	5	4	5	10	4	2	5	2	2	2	2	7	2	7	2	2	5	6	4	2	7	16	4	2	4	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	389	5	8	5	6	1	12	6	4	5	6	8	2	12	5	10	5	8	15	6	11	8	7	4	5	3	10	13	7	21	5	2	5	14	2	20	15	15	2	2	1	3	5	10	4	1	1	2	1	0	2	6	0	7	0	0	5	4	2	0	7	14	4	1	4	2	3					
