Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Тоджинская													
													
Итоги голосования 													
													
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152					
1	"Число избирателей, внесенных в список"	3052	1150	290	546	687	280	99					
2	Число полученных избирательных бюллетеней	2907	1004	285	616	621	281	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	90	0	0	32	58	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2006	704	190	385	429	203	95					
5	"Число избирательных бюллетеней, выданных вне помещения"	121	58	12	14	19	15	3					
6	Число погашенных избирательных бюллетеней	690	242	83	185	115	63	2					
7	Число избирательных бюллетеней в переносных ящиках	211	58	12	46	77	15	3					
8	Число бюллетеней в стационарных ящиках для голосования	2006	704	190	385	429	203	95					
9	Число недействительных избирательных бюллетеней	28	12	1	7	7	1	0					
10	Число действительных избирательных бюллетеней	2189	750	201	424	499	217	98					
11	Число полученных открепительных  удостоверений	100	37	9	20	21	9	4					
12	Число выданных открепительных удостоверений	34	25	1	3	1	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	3	0	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	66	12	8	17	20	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	46	26	5	8	3	3	1					
		2.07%	3.41%	2.48%	1.86%	0.59%	1.38%	1.02%					
19	. Малышкин Олег Александрович	20	6	1	3	4	6	0					
		0.90%	0.79%	0.50%	0.70%	0.79%	2.75%	0.00%					
20	. Миронов Сергей Михайлович	16	8	3	1	3	0	1					
		0.72%	1.05%	1.49%	0.23%	0.59%	0.00%	1.02%					
21	. Путин Владимир Владимирович	1928	626	170	391	469	179	93					
		86.96%	82.15%	84.16%	90.72%	92.69%	82.11%	94.90%					
22	. Хакамада Ирина Муцуовна	56	34	6	9	4	2	1					
		2.53%	4.46%	2.97%	2.09%	0.79%	0.92%	1.02%					
23	. Харитонов Николай Михайлович	110	44	12	12	16	24	2					
		4.96%	5.77%	5.94%	2.78%	3.16%	11.01%	2.04%					
													
24	Против всех	13	6	4	0	0	3	0					
		0.59%	0.79%	1.98%	0.00%	0.00%	1.38%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
