Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Смирныховская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174					
1	"Число избирателей, внесенных в список"	9743	1172	439	995	995	134	479	650	1642	1672	681	758	126					
2	Число полученных избирательных бюллетеней	10330	1400	450	1030	1050	140	470	650	1700	1800	700	800	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6074	827	302	625	653	124	274	427	850	1017	419	430	126					
5	"Число избирательных бюллетеней, выданных вне помещения"	931	175	19	113	57	4	73	53	166	51	88	132	0					
6	Число погашенных избирательных бюллетеней	3325	398	129	292	340	12	123	170	684	732	193	238	14					
7	Число избирательных бюллетеней в переносных ящиках	931	175	19	113	57	4	73	53	166	51	88	132	0					
8	Число бюллетеней в стационарных ящиках для голосования	6074	827	302	625	653	124	274	427	850	1017	419	430	126					
9	Число недействительных избирательных бюллетеней	74	18	3	8	1	0	3	7	14	6	10	1	3					
10	Число действительных избирательных бюллетеней	6931	984	318	730	709	128	344	473	1002	1062	497	561	123					
11	Число полученных открепительных  удостоверений	170	20	5	10	13	5	3	3	30	27	15	39	0					
12	Число выданных открепительных удостоверений	103	10	1	10	10	5	3	2	11	15	8	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	4	0	4	6	0	2	1	9	5	0	2	3					
14	Число неиспользованных открепительных удостоверений	67	10	4	0	3	0	0	1	19	12	7	11	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	277	35	18	48	15	4	8	23	54	37	13	13	9					
		3.95%	3.49%	5.61%	6.50%	2.11%	3.12%	2.31%	4.79%	5.31%	3.46%	2.56%	2.31%	7.14%					
19	. Малышкин Олег Александрович	247	39	6	37	17	0	13	16	45	33	13	25	3					
		3.53%	3.89%	1.87%	5.01%	2.39%	0.00%	3.75%	3.33%	4.43%	3.09%	2.56%	4.45%	2.38%					
20	. Миронов Сергей Михайлович	38	6	5	4	5	0	3	3	1	3	0	7	1					
		0.54%	0.60%	1.56%	0.54%	0.70%	0.00%	0.86%	0.62%	0.10%	0.28%	0.00%	1.25%	0.79%					
21	. Путин Владимир Владимирович	5007	688	246	526	558	91	248	316	691	761	358	439	85					
		71.48%	68.66%	76.64%	71.27%	78.59%	71.09%	71.47%	65.83%	68.01%	71.25%	70.61%	78.11%	67.46%					
22	. Хакамада Ирина Муцуовна	186	22	3	13	11	1	15	21	33	38	13	9	7					
		2.66%	2.20%	0.93%	1.76%	1.55%	0.78%	4.32%	4.38%	3.25%	3.56%	2.56%	1.60%	5.56%					
23	. Харитонов Николай Михайлович	947	165	31	83	85	29	47	78	129	149	81	57	13					
		13.52%	16.47%	9.66%	11.25%	11.97%	22.66%	13.54%	16.25%	12.70%	13.95%	15.98%	10.14%	10.32%					
																			
24	Против всех	229	29	9	19	18	3	10	16	49	41	19	11	5					
		3.27%	2.89%	2.80%	2.57%	2.54%	2.34%	2.88%	3.33%	4.82%	3.84%	3.75%	1.96%	3.97%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
