Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Пелымская поселковая   									
									
Итоги голосования 									
									
		Сумма	УИК №2588	УИК №2589					
1	"Число избирателей, внесенных в список"	3334	2625	709					
2	Число полученных избирательных бюллетеней	3400	2700	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1990	1650	340					
5	"Число избирательных бюллетеней, выданных вне помещения"	75	69	6					
6	Число погашенных избирательных бюллетеней	1335	981	354					
7	Число избирательных бюллетеней в переносных ящиках	75	69	6					
8	Число бюллетеней в стационарных ящиках для голосования	1990	1650	340					
9	Число недействительных избирательных бюллетеней	20	17	3					
10	Число действительных избирательных бюллетеней	2045	1702	343					
11	Число полученных открепительных  удостоверений	65	60	5					
12	Число выданных открепительных удостоверений	64	60	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	31	1					
14	Число неиспользованных открепительных удостоверений	1	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	35	32	3					
		1.69%	1.86%	0.87%					
19	. Малышкин Олег Александрович	34	26	8					
		1.65%	1.51%	2.31%					
20	. Миронов Сергей Михайлович	8	8	0					
		0.39%	0.47%	0.00%					
21	. Путин Владимир Владимирович	1767	1476	291					
		85.57%	85.86%	84.10%					
22	. Хакамада Ирина Муцуовна	52	43	9					
		2.52%	2.50%	2.60%					
23	. Харитонов Николай Михайлович	106	76	30					
		5.13%	4.42%	8.67%					
									
24	Против всех	43	41	2					
		2.08%	2.39%	0.58%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
