Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Красносельский район																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №4003	УИК №4004	УИК №4005					
1	"Число избирателей, внесенных в список избирателей"	26075	2402	2772	2806	2861	1866	2495	2688	2190	2668	1739	477	647	464					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23900	2000	2400	2450	2600	1550	2200	2450	1950	2400	1600	600	900	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16733	1582	1842	1854	1609	1124	1761	1555	1501	1653	1047	477	359	369					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	704	20	43	59	64	30	41	54	28	39	17	0	214	95					
6	Число погашенных избирательных бюллетеней	6463	398	515	537	927	396	398	841	421	708	536	123	327	336					
7	Число избирательных бюллетеней в переносных ящиках для голосования	704	20	43	59	64	30	41	54	28	39	17	0	214	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16724	1580	1841	1854	1609	1124	1759	1553	1499	1653	1047	477	359	369					
9	Число недействительных избирательных бюллетеней	214	35	5	42	3	20	13	25	22	20	5	8	7	9					
10	Число действительных избирательных бюллетеней	17214	1565	1879	1871	1670	1134	1787	1582	1505	1672	1059	469	566	455					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	740	110	70	70	70	70	70	70	70	70	70	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	468	76	55	31	52	50	37	47	46	45	29	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1291	88	53	82	26	37	85	33	55	46	20	335	188	243					
14	Число погашенных неиспользованных открепительных удостоверений	272	34	15	39	18	20	33	23	24	25	41	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	3	1	1	1	2	0	1	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1503	162	38	207	134	115	199	111	124	130	116	72	45	50					
		8.62%	10.13%	2.02%	10.82%	8.01%	9.97%	11.06%	6.91%	8.12%	7.68%	10.90%	15.09%	7.85%	10.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1305	144	75	108	135	79	148	48	120	135	92	63	74	84					
		7.49%	9.00%	3.98%	5.65%	8.07%	6.85%	8.22%	2.99%	7.86%	7.98%	8.65%	13.21%	12.91%	18.10%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	166	3	9	31	17	9	24	14	6	34	6	6	2	5					
		0.95%	0.19%	0.48%	1.62%	1.02%	0.78%	1.33%	0.87%	0.39%	2.01%	0.56%	1.26%	0.35%	1.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3583	352	353	421	351	246	331	377	341	353	202	86	78	92					
		20.56%	22.00%	18.74%	22.01%	20.98%	21.32%	18.39%	23.46%	22.33%	20.86%	18.98%	18.03%	13.61%	19.83%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	708	53	38	105	84	19	71	81	65	58	58	24	32	20					
		4.06%	3.31%	2.02%	5.49%	5.02%	1.65%	3.94%	5.04%	4.26%	3.43%	5.45%	5.03%	5.58%	4.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9797	849	1347	975	914	659	1003	942	842	932	580	217	334	203					
		56.21%	53.06%	71.50%	50.97%	54.63%	57.11%	55.72%	58.62%	55.14%	55.08%	54.51%	45.49%	58.29%	43.75%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	152	2	19	24	35	7	11	9	7	30	5	1	1	1					
		0.87%	0.13%	1.01%	1.25%	2.09%	0.61%	0.61%	0.56%	0.46%	1.77%	0.47%	0.21%	0.17%	0.22%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
