Выборы Президента Российской Федерации																																																																																			
Дата голосования: 04.03.2012																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кстовская																																																																																			
																																																																																			
Сводная таблица итогов голосования																																																																																			
																																																																																			
	Число участковых избирательных комиссий	72																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	72																																																																																	
																																																																																			
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	872	4	5	7	43	8	15	17	18	8	10	6	6	8	10	7	12	6	17	10	6	15	8	17	15	14	9	15	8	5	65	4	5	8	5	19	5	2	16	2	7	10	111	40	10	18	13	2	14	4	5	4	2	2	0	20	5	0	8	15	27	0	0	8	9	20	2	12	5	20	4	5	10									
13	Число избирателей, проголосовавших по открепительным удостоверениям	692	16	5	2	9	18	7	12	8	19	7	6	9	9	6	4	5	14	7	26	11	11	8	10	8	4	15	12	4	6	16	10	10	5	4	9	6	6	12	8	4	12	12	15	7	16	13	4	8	6	9	6	4	6	3	5	9	0	10	74	18	5	1	5	7	39	2	4	6	7	4	0	7									
14	Число неиспользованных открепительных удостоверений	275	6	5	8	42	7	0	3	2	7	5	9	9	7	5	8	3	9	3	5	9	0	5	0	0	4	6	0	7	10	0	1	0	2	0	6	0	3	9	3	8	5	6	0	5	2	0	0	1	1	0	0	3	0	2	0	0	2	2	0	0	5	5	7	4	0	3	3	0	0	3	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	53	0	0	0	0	1	1	3	3	0	3	0	3	0	0	1	1	2	1	4	0	0	0	2	3	3	1	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																			
19	Жириновский Владимир Вольфович	4214	90	70	89	82	94	154	90	127	117	103	65	44	48	58	64	73	56	83	87	63	92	62	85	128	74	94	104	59	65	90	14	18	15	17	96	15	25	129	5	46	49	67	101	53	169	74	20	46	22	18	18	13	5	4	114	13	9	66	87	75	15	10	26	28	68	5	29	9	47	22	5	37									
		7.69%	9.00%	7.99%	10.55%	7.88%	9.36%	7.98%	7.54%	8.41%	7.31%	8.47%	5.01%	6.95%	4.43%	6.86%	7.20%	7.24%	7.24%	10.04%	6.77%	6.28%	8.14%	6.62%	8.00%	8.05%	6.36%	9.59%	6.80%	8.56%	10.82%	6.02%	8.97%	7.76%	5.93%	5.47%	7.82%	6.28%	12.08%	9.42%	3.13%	6.45%	5.83%	9.72%	9.84%	8.73%	8.87%	9.10%	9.01%	4.47%	6.04%	8.82%	6.19%	6.53%	4.50%	10.53%	10.00%	6.91%	6.47%	6.45%	8.07%	7.88%	8.77%	9.71%	12.26%	4.96%	6.91%	5.26%	6.22%	7.56%	7.12%	13.25%	4.35%	9.20%									
