Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Усть-Коксинская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181					
1	"Число избирателей, внесенных в список"	11591	410	530	338	165	266	648	253	226	882	1788	259	115	153	461	212	281	197	422	162	284	634	179	223	341	188	144	682	712	288	148					
2	Число полученных избирательных бюллетеней	11635	416	525	345	242	268	647	254	225	862	1777	268	109	150	460	210	280	196	428	162	285	630	176	220	341	182	150	695	705	283	144					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7422	322	369	221	159	176	362	169	126	450	912	176	73	113	295	127	211	133	296	127	189	406	133	153	223	117	107	426	523	211	117					
5	"Число избирательных бюллетеней, выданных вне помещения"	412	0	16	3	6	15	29	11	26	23	28	6	9	7	22	5	0	0	8	3	9	71	3	4	11	5	2	30	47	10	3					
6	Число погашенных избирательных бюллетеней	3801	94	140	121	77	77	256	74	73	389	837	86	27	30	143	78	69	63	124	32	87	153	40	63	107	60	41	239	135	62	24					
7	Число избирательных бюллетеней в переносных ящиках	412	0	16	3	6	15	29	11	26	23	28	6	9	7	22	5	0	0	8	3	9	71	3	4	11	5	2	30	47	10	3					
8	Число бюллетеней в стационарных ящиках для голосования	7421	322	369	221	159	176	362	169	126	450	912	176	73	113	295	127	211	132	296	127	189	406	133	153	223	117	107	426	523	211	117					
9	Число недействительных избирательных бюллетеней	52	0	2	2	0	1	11	2	0	10	3	4	1	0	1	0	2	0	2	1	0	3	1	1	1	0	0	1	2	1	0					
10	Число действительных избирательных бюллетеней	7781	322	383	222	165	190	380	178	152	463	937	178	81	120	316	132	209	132	302	129	198	474	135	156	233	122	109	455	568	220	120					
11	Число полученных открепительных  удостоверений	300	12	12	12	8	8	12	8	8	10	26	8	8	8	12	8	8	8	12	8	8	12	8	8	12	8	8	12	12	8	8					
12	Число выданных открепительных удостоверений	48	0	0	0	0	2	0	0	0	4	23	2	0	0	6	1	0	0	0	0	0	2	3	1	1	0	1	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	0	1	0	1	0	0	1	1	0	6	0	1	2	2	1	0	2	0	0	1	4	1	1	1	2	0	1	0	2	2					
14	Число неиспользованных открепительных удостоверений	252	12	12	12	8	6	12	8	8	6	3	6	8	8	6	7	8	8	12	8	8	10	5	7	11	8	7	11	11	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	172	2	7	6	3	4	12	4	0	26	43	7	1	2	5	1	3	3	4	3	1	8	6	4	3	1	3	7	2	1	0					
		2.20%	0.62%	1.82%	2.68%	1.82%	2.09%	3.07%	2.22%	0.00%	5.50%	4.57%	3.85%	1.22%	1.67%	1.58%	0.76%	1.42%	2.27%	1.32%	2.31%	0.51%	1.68%	4.41%	2.55%	1.28%	0.82%	2.75%	1.54%	0.35%	0.45%	0.00%					
19	. Малышкин Олег Александрович	132	0	5	2	3	6	2	4	7	5	11	0	0	0	5	2	1	5	0	3	0	11	6	4	4	3	8	17	12	5	1					
		1.69%	0.00%	1.30%	0.89%	1.82%	3.14%	0.51%	2.22%	4.61%	1.06%	1.17%	0.00%	0.00%	0.00%	1.58%	1.52%	0.47%	3.79%	0.00%	2.31%	0.00%	2.31%	4.41%	2.55%	1.71%	2.46%	7.34%	3.73%	2.11%	2.26%	0.83%					
20	. Миронов Сергей Михайлович	43	2	2	0	2	2	1	4	1	3	2	1	0	0	1	0	3	0	2	0	1	3	1	0	0	1	0	7	1	3	0					
		0.55%	0.62%	0.52%	0.00%	1.21%	1.05%	0.26%	2.22%	0.66%	0.63%	0.21%	0.55%	0.00%	0.00%	0.32%	0.00%	1.42%	0.00%	0.66%	0.00%	0.51%	0.63%	0.74%	0.00%	0.00%	0.82%	0.00%	1.54%	0.18%	1.36%	0.00%					
