Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Рузаевская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591					
1	"Число избирателей, внесенных в список"	51700	1572	1548	1554	1619	868	663	1471	837	1285	1847	903	1225	1800	1467	438	1441	1810	1850	2002	894	831	1634	1544	1696	1367	1938	909	297	552	597	510	520	554	337	716	946	521	1310	390	215	1225	1317	953	588	265	174	510	481	320	126	91	315	615	71	171					
2	Число полученных избирательных бюллетеней	52712	1571	1555	1596	1648	893	677	1502	876	1309	1874	903	1243	1830	1447	447	1454	1827	1878	2030	925	828	1654	1570	1730	1376	1976	922	298	548	600	514	532	566	343	785	986	526	1348	397	215	1234	1325	942	594	269	175	506	482	322	129	90	319	626	100	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44413	1436	1293	1369	1190	755	509	1148	708	1144	1662	724	1153	1562	1107	367	1109	1701	1494	1800	740	541	1458	1277	1532	1261	1806	821	264	488	548	498	464	495	305	636	847	431	1070	345	211	1073	1199	739	539	208	139	435	406	267	98	85	300	495	59	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	4767	93	110	116	348	78	124	249	59	91	125	123	14	112	282	55	88	24	65	131	121	214	130	195	83	68	29	55	31	57	43	10	51	47	22	73	65	82	179	39	0	128	89	139	43	49	33	64	67	48	21	5	11	108	12	69					
6	Число погашенных избирательных бюллетеней	3532	42	152	111	110	60	44	105	109	74	87	56	76	156	58	25	257	102	319	99	64	73	66	98	115	47	141	46	3	3	9	6	17	24	16	76	74	13	99	13	4	33	37	64	12	12	3	7	9	7	10	0	8	23	29	229					
7	Число избирательных бюллетеней в переносных ящиках	4767	93	110	116	348	78	124	249	59	91	125	123	14	112	282	55	88	24	65	131	121	214	130	195	83	68	29	55	31	57	43	10	51	47	22	73	65	82	179	39	0	128	89	139	43	49	33	64	67	48	21	5	11	108	12	69					
8	Число бюллетеней в стационарных ящиках для голосования	44404	1428	1293	1369	1190	755	509	1148	708	1144	1662	724	1153	1562	1107	367	1109	1701	1494	1800	740	541	1458	1276	1532	1261	1806	821	264	488	548	498	464	495	305	636	847	431	1070	345	211	1073	1199	739	539	208	139	435	406	267	98	85	300	495	59	102					
9	Число недействительных избирательных бюллетеней	421	2	2	8	8	4	1	8	2	6	9	2	7	6	12	2	4	14	7	3	64	12	28	8	0	6	4	8	2	8	0	11	3	0	15	4	2	0	42	36	0	5	5	16	6	5	6	0	5	0	0	1	1	0	4	7					
10	Число действительных избирательных бюллетеней	48750	1519	1401	1477	1530	829	632	1389	765	1229	1778	845	1160	1668	1377	420	1193	1711	1552	1928	797	743	1560	1463	1615	1323	1831	868	293	537	591	497	512	542	312	705	910	513	1207	348	211	1196	1283	862	576	252	166	499	468	315	119	89	310	603	67	164					
