Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Лениногорская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879					
1	"Число избирателей, внесенных в список"	16725	451	621	403	121	116	264	590	713	602	441	946	381	266	650	721	648	200	784	592	163	536	535	249	736	251	743	737	354	116	651	231	273	349	513	380	398					
2	Число полученных избирательных бюллетеней	16580	444	624	410	118	116	260	580	690	588	444	950	376	271	653	718	647	200	779	594	160	538	534	246	727	251	725	723	344	115	640	230	273	346	501	370	395					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15325	387	464	393	118	113	243	525	611	544	427	874	337	252	636	679	623	186	720	571	131	482	484	226	608	251	716	630	326	99	600	229	273	330	483	359	395					
5	"Число избирательных бюллетеней, выданных вне помещения"	962	44	149	0	0	0	17	14	20	32	7	58	39	14	14	20	17	10	42	11	27	54	50	20	100	0	8	91	18	14	34	0	0	12	18	8	0					
6	Число погашенных избирательных бюллетеней	293	13	11	17	0	3	0	41	59	12	10	18	0	5	3	19	7	4	17	12	2	2	0	0	19	0	1	2	0	2	6	1	0	4	0	3	0					
7	Число избирательных бюллетеней в переносных ящиках	962	44	149	0	0	0	17	14	20	32	7	58	39	14	14	20	17	10	42	11	27	54	50	20	100	0	8	91	18	14	34	0	0	12	18	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	15323	387	464	393	118	113	243	523	611	544	427	874	337	252	636	679	623	186	720	571	131	482	484	226	608	251	716	630	326	99	600	229	273	330	483	359	395					
9	Число недействительных избирательных бюллетеней	53	2	5	0	0	0	0	5	4	0	0	9	0	3	3	9	0	0	0	2	0	0	2	0	3	0	3	0	0	3	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	16232	429	608	393	118	113	260	532	627	576	434	923	376	263	647	690	640	196	762	580	158	536	532	246	705	251	721	721	344	110	634	229	273	342	501	367	395					
