Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Красночетайская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466					
1	"Число избирателей, внесенных в список"	16656	349	569	565	250	337	246	555	801	164	214	203	346	398	428	446	185	265	527	1186	1184	910	373	291	691	244	358	675	360	436	285	247	225	342	256	366	307	210	132	544	186					
2	Число полученных избирательных бюллетеней	15954	340	550	540	235	325	230	555	765	167	205	195	320	385	420	420	186	255	500	1125	1120	840	355	275	645	240	335	660	345	420	270	235	215	330	245	350	320	205	134	510	187					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9467	222	320	304	139	163	158	332	460	108	104	112	225	235	282	252	113	143	261	637	646	497	200	186	375	130	156	365	151	277	196	151	127	238	160	239	154	131	94	322	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	1262	40	30	51	14	37	25	42	34	22	58	24	31	38	20	46	0	20	33	36	15	33	24	0	53	32	38	61	90	35	29	19	34	21	24	11	34	11	0	74	23					
6	Число погашенных избирательных бюллетеней	5225	78	200	185	82	125	47	181	271	37	43	59	64	112	118	122	73	92	206	452	459	310	131	89	217	78	141	234	104	108	45	65	54	71	61	100	132	63	40	114	62					
7	Число избирательных бюллетеней в переносных ящиках	1262	40	30	51	14	37	25	42	34	22	58	24	31	38	20	46	0	20	33	36	15	33	24	0	53	32	38	61	90	35	29	19	34	21	24	11	34	11	0	74	23					
8	Число бюллетеней в стационарных ящиках для голосования	9466	222	320	304	139	162	158	332	460	108	104	112	225	235	282	252	113	143	261	637	646	497	200	186	375	130	156	365	151	277	196	151	127	238	160	239	154	131	94	322	102					
9	Число недействительных избирательных бюллетеней	294	4	5	15	11	10	5	8	8	3	1	2	5	7	6	11	2	5	7	16	14	14	5	7	13	4	10	5	3	4	30	6	1	5	5	12	6	5	8	4	2					
10	Число действительных избирательных бюллетеней	10434	258	345	340	142	189	178	366	486	127	161	134	251	266	296	287	111	158	287	657	647	516	219	179	415	158	184	421	238	308	195	164	160	254	179	238	182	137	86	392	123					
11	Число полученных открепительных  удостоверений	408	7	7	7	7	7	7	28	12	7	7	7	8	7	10	8	7	8	8	30	30	10	13	8	8	8	8	13	10	8	10	7	7	8	7	8	28	7	7	7	7					
12	Число выданных открепительных удостоверений	227	7	7	4	0	5	2	22	12	0	2	0	2	2	7	1	0	2	2	6	28	0	8	2	5	3	2	12	10	8	9	6	0	8	5	1	28	7	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	1	0	1	1	1	1	1	3	0	1	0	5	1	1	3	2	0	2	3	25	2	1	0	1	1	2	2	0	1	2	2	2	2	2	1	2	1	2	1	0					
14	Число неиспользованных открепительных удостоверений	181	0	0	3	7	2	5	6	0	7	5	7	6	5	3	7	7	6	6	24	2	10	5	6	3	5	6	1	0	0	1	1	7	0	2	7	0	0	5	7	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	123	1	2	4	5	2	5	5	11	1	0	0	4	3	2	1	0	1	1	17	14	3	4	3	3	2	8	2	2	0	2	0	1	0	1	4	2	1	1	4	1					
		1.15%	0.38%	0.57%	1.13%	3.27%	1.01%	2.73%	1.34%	2.23%	0.77%	0.00%	0.00%	1.56%	1.10%	0.66%	0.34%	0.00%	0.61%	0.34%	2.53%	2.12%	0.57%	1.79%	1.61%	0.70%	1.23%	4.12%	0.47%	0.83%	0.00%	0.89%	0.00%	0.62%	0.00%	0.54%	1.60%	1.06%	0.70%	1.06%	1.01%	0.80%					
19	. Малышкин Олег Александрович	177	3	5	5	3	5	5	2	11	0	5	2	8	7	8	17	2	1	2	9	11	3	9	8	1	2	0	4	2	1	5	2	1	1	3	1	9	4	3	6	1					
		1.65%	1.15%	1.43%	1.41%	1.96%	2.51%	2.73%	0.53%	2.23%	0.00%	3.09%	1.47%	3.12%	2.56%	2.65%	5.70%	1.77%	0.61%	0.68%	1.34%	1.66%	0.57%	4.02%	4.30%	0.23%	1.23%	0.00%	0.94%	0.83%	0.32%	2.22%	1.18%	0.62%	0.39%	1.63%	0.40%	4.79%	2.82%	3.19%	1.52%	0.80%					
20	. Миронов Сергей Михайлович	83	1	0	4	1	0	2	5	1	2	0	3	3	3	0	4	0	1	0	8	3	1	2	1	7	2	0	1	0	1	0	5	3	3	1	4	3	3	1	1	3					
		0.77%	0.38%	0.00%	1.13%	0.65%	0.00%	1.09%	1.34%	0.20%	1.54%	0.00%	2.21%	1.17%	1.10%	0.00%	1.34%	0.00%	0.61%	0.00%	1.19%	0.45%	0.19%	0.89%	0.54%	1.64%	1.23%	0.00%	0.23%	0.00%	0.32%	0.00%	2.94%	1.86%	1.16%	0.54%	1.60%	1.60%	2.11%	1.06%	0.25%	2.40%					
21	. Путин Владимир Владимирович	6570	175	247	227	75	93	99	201	327	80	128	84	185	180	205	161	81	97	189	434	443	333	129	93	191	118	119	278	187	169	112	78	98	146	108	131	112	49	52	275	81					
		61.24%	66.79%	70.57%	63.94%	49.02%	46.73%	54.10%	53.74%	66.19%	61.54%	79.01%	61.76%	72.27%	65.93%	67.88%	54.03%	71.68%	59.51%	64.29%	64.49%	67.02%	62.83%	57.59%	50.00%	44.63%	72.84%	61.34%	65.26%	77.59%	54.17%	49.78%	45.88%	60.87%	56.37%	58.70%	52.40%	59.57%	34.51%	55.32%	69.44%	64.80%					
22	. Хакамада Ирина Муцуовна	109	2	3	0	2	0	3	5	9	1	3	3	4	6	0	3	2	1	3	7	3	4	3	0	8	1	0	0	0	6	1	3	4	6	4	0	2	2	1	2	2					
		1.02%	0.76%	0.86%	0.00%	1.31%	0.00%	1.64%	1.34%	1.82%	0.77%	1.85%	2.21%	1.56%	2.20%	0.00%	1.01%	1.77%	0.61%	1.02%	1.04%	0.45%	0.75%	1.34%	0.00%	1.87%	0.62%	0.00%	0.00%	0.00%	1.92%	0.44%	1.76%	2.48%	2.32%	2.17%	0.00%	1.06%	1.41%	1.06%	0.51%	1.60%					
23	. Харитонов Николай Михайлович	3309	75	88	98	54	89	64	147	124	41	24	42	43	64	80	100	26	57	91	176	168	171	70	72	203	33	57	134	46	128	73	75	48	96	60	96	54	76	27	104	35					
		30.84%	28.63%	25.14%	27.61%	35.29%	44.72%	34.97%	39.30%	25.10%	31.54%	14.81%	30.88%	16.80%	23.44%	26.49%	33.56%	23.01%	34.97%	30.95%	26.15%	25.42%	32.26%	31.25%	38.71%	47.43%	20.37%	29.38%	31.46%	19.09%	41.03%	32.44%	44.12%	29.81%	37.07%	32.61%	38.40%	28.72%	53.52%	28.72%	26.26%	28.00%					
																																															
24	Против всех	63	1	0	2	2	0	0	1	3	2	1	0	4	3	1	1	0	0	1	6	5	1	2	2	2	0	0	2	1	3	2	1	5	2	2	2	0	2	1	0	0					
		0.59%	0.38%	0.00%	0.56%	1.31%	0.00%	0.00%	0.27%	0.61%	1.54%	0.62%	0.00%	1.56%	1.10%	0.33%	0.34%	0.00%	0.00%	0.34%	0.89%	0.76%	0.19%	0.89%	1.08%	0.47%	0.00%	0.00%	0.47%	0.41%	0.96%	0.89%	0.59%	3.11%	0.77%	1.09%	0.80%	0.00%	1.41%	1.06%	0.00%	0.00%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
