Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Черноземельская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в список избирателей"	8584	684	823	682	612	713	1070	520	934	601	462	394	758	331					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8759	710	814	696	604	736	1108	548	977	625	466	392	751	332					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7215	618	644	611	504	604	882	450	806	544	449	349	445	309					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	290	25	32	11	18	35	51	12	37	30	7	14	14	4					
6	Число погашенных избирательных бюллетеней	1254	67	138	74	82	97	175	86	134	51	10	29	292	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	290	25	32	11	18	35	51	12	37	30	7	14	14	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7211	618	640	611	504	604	882	450	806	544	449	349	445	309					
9	Число недействительных избирательных бюллетеней	41	7	12	8	0	0	4	2	0	2	0	1	5	0					
10	Число действительных избирательных бюллетеней	7460	636	660	614	522	639	929	460	843	572	456	362	454	313					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	15	20	30	15	35	35	25	30	25	15	15	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	141	3	10	2	8	7	26	19	28	18	2	15	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	128	9	8	1	30	5	21	3	11	7	6	12	9	6					
14	Число погашенных неиспользованных открепительных удостоверений	154	12	10	28	7	28	9	6	2	7	13	0	17	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	3	0	1	2	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	130	17	26	5	2	4	12	3	35	19	3	2	1	1					
		1.73%	2.64%	3.87%	0.80%	0.38%	0.63%	1.29%	0.65%	4.15%	3.31%	0.66%	0.55%	0.22%	0.32%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	65	0	7	2	1	5	17	6	5	6	3	2	10	1					
		0.87%	0.00%	1.04%	0.32%	0.19%	0.78%	1.82%	1.30%	0.59%	1.05%	0.66%	0.55%	2.18%	0.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	2	3	2	1	3	0	2	3	1	0	0	1	0					
		0.24%	0.31%	0.45%	0.32%	0.19%	0.47%	0.00%	0.43%	0.36%	0.17%	0.00%	0.00%	0.22%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	511	17	87	49	10	16	64	42	59	53	6	14	88	6					
		6.81%	2.64%	12.95%	7.88%	1.92%	2.50%	6.86%	9.09%	6.99%	9.23%	1.32%	3.86%	19.17%	1.92%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	1	0	7	1	1	1	3	4	2	0	1	1	0					
		0.29%	0.16%	0.00%	1.13%	0.19%	0.16%	0.11%	0.65%	0.47%	0.35%	0.00%	0.28%	0.22%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6700	599	534	549	506	610	834	402	734	490	443	342	352	305					
		89.32%	93.16%	79.46%	88.26%	96.93%	95.46%	89.39%	87.01%	87.07%	85.37%	97.15%	94.21%	76.69%	97.44%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	0	3	0	1	0	1	2	3	1	1	1	1	0					
		0.19%	0.00%	0.45%	0.00%	0.19%	0.00%	0.11%	0.43%	0.36%	0.17%	0.22%	0.28%	0.22%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
