Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    район Солнцево																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №3189					
1	"Число избирателей, внесенных в список"	56808	901	2324	2418	2596	2322	2338	1882	2214	2495	1792	2235	2265	2189	2170	2674	2453	2479	2411	2253	2302	2267	2471	2441	2302	2348	266					
2	Число полученных избирательных бюллетеней	53296	842	2106	2186	2365	2233	2191	1754	2108	2358	1822	2026	2064	1945	1982	2519	2322	2360	2318	2138	2147	2274	2243	2324	2201	2118	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35059	724	1447	1514	1725	1303	1282	1057	1543	1703	1170	1148	1204	1334	1316	1530	1297	1404	1673	1359	1350	1511	1777	1675	1440	1307	266					
5	"Число избирательных бюллетеней, выданных вне помещения"	988	52	39	60	20	68	53	49	47	60	50	30	24	22	30	23	34	12	10	34	35	83	14	46	41	52	0					
6	Число погашенных избирательных бюллетеней	17249	66	620	612	620	862	856	648	518	595	602	848	836	589	636	966	991	944	635	745	762	680	452	603	720	759	84					
7	Число избирательных бюллетеней в переносных ящиках	988	52	39	60	20	68	53	49	47	60	50	30	24	22	30	23	34	12	10	34	35	83	14	46	41	52	0					
8	Число бюллетеней в стационарных ящиках для голосования	34894	720	1445	1512	1725	1300	1282	1053	1537	1699	1166	1118	1202	1317	1315	1527	1297	1403	1656	1348	1350	1511	1723	1675	1440	1307	266					
9	Число недействительных избирательных бюллетеней	369	9	19	10	16	13	12	14	15	7	8	8	17	16	10	23	11	13	8	25	13	11	16	19	41	9	6					
10	Число действительных избирательных бюллетеней	35513	763	1465	1562	1729	1355	1323	1088	1569	1752	1208	1140	1209	1323	1335	1527	1320	1402	1658	1357	1372	1583	1721	1702	1440	1350	260					
11	Число полученных открепительных  удостоверений	1260	30	50	55	55	50	70	40	45	60	40	40	40	40	40	60	60	60	60	50	50	55	50	60	50	50	0					
12	Число выданных открепительных удостоверений	795	12	34	19	27	36	51	28	37	33	12	30	32	33	29	36	41	45	25	33	22	47	34	47	24	28	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	610	34	24	20	10	27	23	31	25	11	50	18	19	33	26	19	21	15	22	20	18	36	14	28	9	40	17					
14	Число неиспользованных открепительных удостоверений	465	18	16	36	28	14	19	12	8	27	28	10	8	7	11	24	19	15	35	17	28	8	16	13	26	22	0					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	1	1	0	0	1	1	3	2	0	0	1	2	1	0	1	0	0	1	1	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1864	37	73	29	80	78	87	61	81	88	60	51	83	62	72	113	71	70	77	60	91	91	70	76	104	91	8					
		5.19%	4.79%	4.92%	1.84%	4.58%	5.70%	6.52%	5.54%	5.11%	5.00%	4.93%	4.44%	6.77%	4.63%	5.35%	7.29%	5.33%	4.95%	4.62%	4.34%	6.57%	5.71%	4.03%	4.42%	7.02%	6.70%	3.01%					
19	. Малышкин Олег Александрович	460	6	22	4	23	15	21	22	15	19	17	9	15	28	15	24	17	19	32	14	22	22	25	20	16	14	4					
		1.28%	0.78%	1.48%	0.25%	1.32%	1.10%	1.57%	2.00%	0.95%	1.08%	1.40%	0.78%	1.22%	2.09%	1.12%	1.55%	1.28%	1.34%	1.92%	1.01%	1.59%	1.38%	1.44%	1.16%	1.08%	1.03%	1.50%					
20	. Миронов Сергей Михайлович	180	1	6	1	7	8	5	7	7	5	4	11	14	6	4	12	8	8	11	8	11	5	7	10	7	7	0					
		0.50%	0.13%	0.40%	0.06%	0.40%	0.58%	0.37%	0.64%	0.44%	0.28%	0.33%	0.96%	1.14%	0.45%	0.30%	0.77%	0.60%	0.57%	0.66%	0.58%	0.79%	0.31%	0.40%	0.58%	0.47%	0.52%	0.00%					
21	. Путин Владимир Владимирович	26992	584	1093	1412	1361	980	945	782	1215	1383	957	891	842	1033	1001	1060	993	1051	1298	1050	1026	1191	1365	1364	925	984	206					
		75.22%	75.65%	73.65%	89.82%	77.99%	71.64%	70.79%	70.96%	76.70%	78.62%	78.70%	77.61%	68.68%	77.15%	74.42%	68.39%	74.61%	74.28%	77.91%	75.98%	74.08%	74.72%	78.58%	79.26%	62.46%	72.41%	77.44%					
22	. Хакамада Ирина Муцуовна	1838	63	60	18	88	75	81	51	71	76	62	53	71	56	92	99	79	85	56	69	72	83	80	69	126	94	9					
		5.12%	8.16%	4.04%	1.15%	5.04%	5.48%	6.07%	4.63%	4.48%	4.32%	5.10%	4.62%	5.79%	4.18%	6.84%	6.39%	5.94%	6.01%	3.36%	4.99%	5.20%	5.21%	4.61%	4.01%	8.51%	6.92%	3.38%					
23	. Харитонов Николай Михайлович	2286	50	133	29	100	117	107	97	113	105	47	68	98	67	80	132	84	62	99	86	86	92	76	81	173	88	16					
		6.37%	6.48%	8.96%	1.84%	5.73%	8.55%	8.01%	8.80%	7.13%	5.97%	3.87%	5.92%	7.99%	5.00%	5.95%	8.52%	6.31%	4.38%	5.94%	6.22%	6.21%	5.77%	4.38%	4.71%	11.68%	6.48%	6.02%					
																																	
24	Против всех	1893	22	78	69	70	82	77	68	67	76	61	57	86	71	71	87	68	107	85	70	64	99	98	82	89	72	17					
		5.28%	2.85%	5.26%	4.39%	4.01%	5.99%	5.77%	6.17%	4.23%	4.32%	5.02%	4.97%	7.01%	5.30%	5.28%	5.61%	5.11%	7.56%	5.10%	5.07%	4.62%	6.21%	5.64%	4.76%	6.01%	5.30%	6.39%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
