Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Нижнетуринская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619					
1	"Число избирателей, внесенных в список"	24707	1490	1637	2043	2372	2401	2297	2809	2398	1897	716	2928	93	450	464	170	178	142	222					
2	Число полученных избирательных бюллетеней	24900	1502	1637	2061	2414	2426	2347	2830	2405	1920	713	2938	82	447	470	152	185	140	231					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13662	735	836	1130	1320	1421	1327	1606	1322	1076	376	1385	75	296	286	105	99	98	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	689	33	57	73	31	29	79	72	47	29	0	173	0	22	0	11	12	16	5					
6	Число погашенных избирательных бюллетеней	10549	734	744	858	1063	976	941	1152	1036	815	337	1380	7	129	184	36	74	26	57					
7	Число избирательных бюллетеней в переносных ящиках	689	33	57	73	31	29	79	72	47	29	0	173	0	22	0	11	12	16	5					
8	Число бюллетеней в стационарных ящиках для голосования	13658	735	834	1129	1320	1420	1327	1606	1322	1076	376	1385	75	296	286	105	99	98	169					
9	Число недействительных избирательных бюллетеней	151	14	13	10	11	9	19	23	10	7	3	21	0	1	2	2	0	0	6					
10	Число действительных избирательных бюллетеней	14196	754	878	1192	1340	1440	1387	1655	1359	1098	373	1537	75	317	284	114	111	114	168					
11	Число полученных открепительных  удостоверений	480	35	35	35	35	35	40	40	35	65	20	40	5	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	158	2	9	18	13	17	7	19	21	31	3	11	1	1	0	2	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	125	2	3	8	0	7	34	11	9	3	5	15	13	3	1	7	1	1	2					
14	Число неиспользованных открепительных удостоверений	322	33	26	17	22	18	33	21	14	34	17	29	4	9	10	8	10	9	8					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	419	27	31	34	46	36	48	47	32	40	8	47	0	5	7	5	4	2	0					
		2.92%	3.52%	3.48%	2.83%	3.40%	2.48%	3.41%	2.80%	2.34%	3.62%	2.13%	3.02%	0.00%	1.57%	2.45%	4.31%	3.60%	1.75%	0.00%					
19	. Малышкин Олег Александрович	381	30	30	25	41	33	36	39	34	27	10	43	2	8	8	3	5	0	7					
		2.66%	3.91%	3.37%	2.08%	3.03%	2.28%	2.56%	2.32%	2.48%	2.44%	2.66%	2.76%	2.67%	2.52%	2.80%	2.59%	4.50%	0.00%	4.02%					
20	. Миронов Сергей Михайлович	91	10	5	8	4	14	2	12	9	5	0	13	0	7	1	1	0	0	0					
		0.63%	1.30%	0.56%	0.67%	0.30%	0.97%	0.14%	0.72%	0.66%	0.45%	0.00%	0.83%	0.00%	2.20%	0.35%	0.86%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11551	581	702	976	1103	1164	1111	1355	1116	898	318	1247	70	258	236	80	91	96	149					
		80.51%	75.65%	78.79%	81.20%	81.64%	80.33%	79.02%	80.75%	81.52%	81.27%	84.57%	80.04%	93.33%	81.13%	82.52%	68.97%	81.98%	84.21%	85.63%					
22	. Хакамада Ирина Муцуовна	457	22	36	41	32	60	58	60	43	38	11	25	2	4	11	5	0	4	5					
		3.19%	2.86%	4.04%	3.41%	2.37%	4.14%	4.13%	3.58%	3.14%	3.44%	2.93%	1.60%	2.67%	1.26%	3.85%	4.31%	0.00%	3.51%	2.87%					
23	. Харитонов Николай Михайлович	922	64	54	73	77	88	90	93	91	50	23	128	1	26	19	18	9	11	7					
		6.43%	8.33%	6.06%	6.07%	5.70%	6.07%	6.40%	5.54%	6.65%	4.52%	6.12%	8.22%	1.33%	8.18%	6.64%	15.52%	8.11%	9.65%	4.02%					
																									
24	Против всех	375	20	20	35	37	45	42	49	34	40	3	34	0	9	2	2	2	1	0					
		2.61%	2.60%	2.24%	2.91%	2.74%	3.11%	2.99%	2.92%	2.48%	3.62%	0.80%	2.18%	0.00%	2.83%	0.70%	1.72%	1.80%	0.88%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
