Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Воловская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363					
1	"Число избирателей, внесенных в список"	12477	458	521	628	531	607	2106	1151	499	375	173	525	507	248	222	658	356	1032	252	674	589	365					
2	Число полученных избирательных бюллетеней	11239	402	463	565	476	547	1885	1034	449	342	176	476	454	217	198	583	326	924	234	600	554	334					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6750	222	278	322	278	259	1280	576	272	221	115	280	342	139	102	271	224	532	161	354	313	209					
5	"Число избирательных бюллетеней, выданных вне помещения"	3003	165	165	179	125	277	100	174	116	103	40	188	79	76	84	267	94	214	61	190	185	121					
6	Число погашенных избирательных бюллетеней	1486	15	20	64	73	11	505	284	61	18	21	8	33	2	12	45	8	178	12	56	56	4					
7	Число избирательных бюллетеней в переносных ящиках	3003	165	165	179	125	277	100	174	116	103	40	188	79	76	84	267	94	214	61	190	185	121					
8	Число бюллетеней в стационарных ящиках для голосования	6749	222	278	322	278	259	1280	575	272	221	115	280	342	139	102	271	224	532	161	354	313	209					
9	Число недействительных избирательных бюллетеней	119	5	5	8	5	6	16	19	4	2	0	6	4	2	1	8	2	6	4	4	7	5					
10	Число действительных избирательных бюллетеней	9633	382	438	493	398	530	1364	730	384	322	155	462	417	213	185	530	316	740	218	540	491	325					
11	Число полученных открепительных  удостоверений	469	24	25	24	24	24	25	25	24	24	15	24	24	15	15	24	24	24	15	24	24	22					
12	Число выданных открепительных удостоверений	45	0	2	0	1	0	10	4	0	0	0	4	1	0	0	0	2	3	3	1	11	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	0	0	0	1	3	6	1	1	2	0	0	2	1	0	2	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	424	24	23	24	23	24	15	21	24	24	15	20	23	15	15	24	22	21	12	23	13	19					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	188	4	4	9	4	15	48	25	6	0	4	10	8	2	6	7	3	14	0	10	7	2					
		1.93%	1.03%	0.90%	1.80%	0.99%	2.80%	3.48%	3.34%	1.55%	0.00%	2.58%	2.14%	1.90%	0.93%	3.23%	1.30%	0.94%	1.88%	0.00%	1.84%	1.41%	0.61%					
19	. Малышкин Олег Александрович	254	16	14	3	15	12	45	19	3	8	8	14	14	11	7	7	8	13	9	15	8	5					
		2.60%	4.13%	3.16%	0.60%	3.72%	2.24%	3.26%	2.54%	0.77%	2.47%	5.16%	2.99%	3.33%	5.12%	3.76%	1.30%	2.52%	1.74%	4.05%	2.76%	1.61%	1.52%					
20	. Миронов Сергей Михайлович	73	1	5	2	5	8	16	4	3	0	2	0	3	2	2	2	4	1	4	4	3	2					
		0.75%	0.26%	1.13%	0.40%	1.24%	1.49%	1.16%	0.53%	0.77%	0.00%	1.29%	0.00%	0.71%	0.93%	1.08%	0.37%	1.26%	0.13%	1.80%	0.74%	0.60%	0.61%					
21	. Путин Владимир Владимирович	5755	241	214	331	186	402	756	444	299	201	99	269	226	122	87	238	226	457	88	335	270	264					
		59.01%	62.27%	48.31%	66.07%	46.15%	75.00%	54.78%	59.28%	77.06%	62.04%	63.87%	57.48%	53.68%	56.74%	46.77%	44.24%	71.07%	61.26%	39.64%	61.58%	54.22%	80.00%					
22	. Хакамада Ирина Муцуовна	164	4	8	9	4	10	42	13	3	7	3	13	8	3	3	6	1	12	2	5	6	2					
		1.68%	1.03%	1.81%	1.80%	0.99%	1.87%	3.04%	1.74%	0.77%	2.16%	1.94%	2.78%	1.90%	1.40%	1.61%	1.12%	0.31%	1.61%	0.90%	0.92%	1.20%	0.61%					
23	. Харитонов Николай Михайлович	3005	110	188	129	178	79	413	208	66	100	37	140	148	72	79	263	70	224	111	158	185	47					
		30.81%	28.42%	42.44%	25.75%	44.17%	14.74%	29.93%	27.77%	17.01%	30.86%	23.87%	29.91%	35.15%	33.49%	42.47%	48.88%	22.01%	30.03%	50.00%	29.04%	37.15%	14.24%					
																												
24	Против всех	194	6	5	10	6	4	44	17	4	6	2	16	10	1	1	7	4	19	4	13	12	3					
		1.99%	1.55%	1.13%	2.00%	1.49%	0.75%	3.19%	2.27%	1.03%	1.85%	1.29%	3.42%	2.38%	0.47%	0.54%	1.30%	1.26%	2.55%	1.80%	2.39%	2.41%	0.91%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
