Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Полевская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  2410	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431	УИК  2432	УИК  2433	УИК  2434	УИК  2435	УИК  2436	УИК  2437	УИК  2438	УИК  2439	УИК  2440	УИК  2441	УИК  2442	УИК  2443	УИК  2444					
1	"Число избирателей, внесенных в список"	57965	854	1607	2245	2854	1896	1956	1179	1789	1743	1690	1660	1684	1770	1347	2476	2406	1733	2476	2336	2288	2152	2431	1968	1827	2278	1275	1403	1272	288	1165	458	522	741	759	1437					
2	Число полученных избирательных бюллетеней	55550	800	1500	2200	2700	1800	1800	1100	1700	1700	1600	1600	1700	1700	1300	2400	2400	1700	2400	2300	2200	2100	2300	1900	1700	2200	1200	1300	1200	250	1100	400	500	700	700	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31591	465	994	1337	1471	1120	1031	682	878	998	924	1029	992	1006	801	1482	1387	1004	1439	1285	1199	1264	1212	1056	965	1193	594	663	390	210	530	260	288	445	418	579					
5	"Число избирательных бюллетеней, выданных вне помещения"	1458	38	61	47	39	35	45	14	32	24	18	11	28	68	12	26	6	5	11	8	81	31	18	16	32	30	41	45	159	5	146	72	19	47	51	137					
6	Число погашенных избирательных бюллетеней	22501	297	445	816	1190	645	724	404	790	678	658	560	680	626	487	892	1007	691	950	1007	920	805	1070	828	703	977	565	592	651	35	424	68	193	208	231	684					
7	Число избирательных бюллетеней в переносных ящиках	1458	38	61	47	39	35	45	14	32	24	18	11	28	68	12	26	6	5	11	8	81	31	18	16	32	30	41	45	159	5	146	72	19	47	51	137					
8	Число бюллетеней в стационарных ящиках для голосования	31494	464	994	1337	1390	1117	1031	682	878	998	924	1029	992	1005	801	1481	1387	1004	1438	1285	1199	1264	1212	1055	958	1193	594	663	389	210	530	260	288	445	418	579					
9	Число недействительных избирательных бюллетеней	333	4	6	12	7	16	20	6	11	3	8	20	10	5	1	15	7	6	13	7	5	11	11	14	18	9	5	12	4	3	16	0	3	7	10	28					
10	Число действительных избирательных бюллетеней	32619	498	1049	1372	1422	1136	1056	690	899	1019	934	1020	1010	1068	812	1492	1386	1003	1436	1286	1275	1284	1219	1057	972	1214	630	696	544	212	660	332	304	485	459	688					
