Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Катангская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713					
1	"Число избирателей, внесенных в список"	3334	92	94	1632	49	54	465	306	376	77	108	81					
2	Число полученных избирательных бюллетеней	3302	90	93	1595	51	58	460	306	374	79	111	85					
3	"Число избирательных бюллетеней, выданных  досрочно"	77	11	0	24	0	0	42	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1927	57	80	770	35	54	277	175	248	55	104	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	172	0	0	122	0	0	18	23	0	5	4	0					
6	Число погашенных избирательных бюллетеней	1126	22	13	679	16	4	123	108	126	19	3	13					
7	Число избирательных бюллетеней в переносных ящиках	249	11	0	146	0	0	60	23	0	5	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	1927	57	80	770	35	54	277	175	248	55	104	72					
9	Число недействительных избирательных бюллетеней	15	0	1	4	0	0	5	2	0	2	1	0					
10	Число действительных избирательных бюллетеней	2161	68	79	912	35	54	332	196	248	58	107	72					
11	Число полученных открепительных  удостоверений	200	9	11	70	10	10	20	20	20	10	10	10					
12	Число выданных открепительных удостоверений	24	7	2	9	0	1	0	0	3	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	0	0	8	0	0	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	176	2	9	61	10	9	20	20	17	10	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	64	0	0	24	0	2	11	7	14	0	6	0					
		2.94%	0.00%	0.00%	2.62%	0.00%	3.70%	3.26%	3.54%	5.65%	0.00%	5.56%	0.00%					
19	. Малышкин Олег Александрович	51	0	1	18	3	1	5	6	10	0	5	2					
		2.34%	0.00%	1.25%	1.97%	8.57%	1.85%	1.48%	3.03%	4.03%	0.00%	4.63%	2.78%					
20	. Миронов Сергей Михайлович	17	0	0	6	1	0	2	1	6	0	0	1					
		0.78%	0.00%	0.00%	0.66%	2.86%	0.00%	0.59%	0.51%	2.42%	0.00%	0.00%	1.39%					
21	. Путин Владимир Владимирович	1672	59	68	676	26	50	269	152	187	55	92	38					
		76.84%	86.76%	85.00%	73.80%	74.29%	92.59%	79.82%	76.77%	75.40%	91.67%	85.19%	52.78%					
22	. Хакамада Ирина Муцуовна	54	3	1	33	0	0	1	3	6	1	2	4					
		2.48%	4.41%	1.25%	3.60%	0.00%	0.00%	0.30%	1.52%	2.42%	1.67%	1.85%	5.56%					
23	. Харитонов Николай Михайлович	251	5	5	126	5	1	38	24	19	2	2	24					
		11.53%	7.35%	6.25%	13.76%	14.29%	1.85%	11.28%	12.12%	7.66%	3.33%	1.85%	33.33%					
																		
24	Против всех	52	1	4	29	0	0	6	3	6	0	0	3					
		2.39%	1.47%	5.00%	3.17%	0.00%	0.00%	1.78%	1.52%	2.42%	0.00%	0.00%	4.17%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
