Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Большесельская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в список избирателей"	7518	2059	435	763	451	239	1582	299	134	259	174	289	426	183	225					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8400	2140	490	890	570	320	1670	320	160	350	190	320	490	230	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3667	1069	240	373	212	130	733	111	78	138	79	63	251	111	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1240	170	30	107	107	60	209	81	39	61	66	123	76	46	65					
6	Число погашенных избирательных бюллетеней	3493	901	220	410	251	130	728	128	43	151	45	134	163	73	116					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1240	170	30	107	107	60	209	81	39	61	66	123	76	46	65					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3667	1069	240	373	212	130	733	111	78	138	79	63	251	111	79					
9	Число недействительных избирательных бюллетеней	58	14	1	8	4	5	10	1	0	7	1	3	2	1	1					
10	Число действительных избирательных бюллетеней	4849	1225	269	472	315	185	932	191	117	192	144	183	325	156	143					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	242	36	12	10	28	20	20	15	8	30	2	14	23	22	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	217	32	12	10	28	20	15	12	8	30	0	5	21	22	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	102	21	6	4	11	5	7	5	4	4	4	4	14	8	5					
14	Число погашенных неиспользованных открепительных удостоверений	25	4	0	0	0	0	5	3	0	0	2	9	2	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	0	0	0	0	4	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1111	338	69	102	62	32	221	39	33	25	28	20	80	40	22					
		22.64%	27.28%	25.56%	21.25%	19.44%	16.84%	23.46%	20.31%	28.21%	12.56%	19.31%	10.75%	24.46%	25.48%	15.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	966	220	46	121	43	38	181	35	21	60	36	38	71	26	30					
		19.69%	17.76%	17.04%	25.21%	13.48%	20.00%	19.21%	18.23%	17.95%	30.15%	24.83%	20.43%	21.71%	16.56%	20.83%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	28	6	5	3	1	14	2	1	5	1	0	5	1	0					
		1.47%	2.26%	2.22%	1.04%	0.94%	0.53%	1.49%	1.04%	0.85%	2.51%	0.69%	0.00%	1.53%	0.64%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	787	218	74	58	50	22	172	29	15	16	18	15	64	11	25					
		16.04%	17.59%	27.41%	12.08%	15.67%	11.58%	18.26%	15.10%	12.82%	8.04%	12.41%	8.06%	19.57%	7.01%	17.36%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	78	12	6	2	6	6	22	6	1	3	1	4	3	0	6					
		1.59%	0.97%	2.22%	0.42%	1.88%	3.16%	2.34%	3.13%	0.85%	1.51%	0.69%	2.15%	0.92%	0.00%	4.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1814	405	66	183	148	85	317	79	45	83	59	106	101	78	59					
		36.97%	32.69%	24.44%	38.13%	46.39%	44.74%	33.65%	41.15%	38.46%	41.71%	40.69%	56.99%	30.89%	49.68%	40.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	21	4	2	1	3	1	5	1	1	0	1	0	1	0	1					
		0.43%	0.32%	0.74%	0.21%	0.94%	0.53%	0.53%	0.52%	0.85%	0.00%	0.69%	0.00%	0.31%	0.00%	0.69%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
