Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Прокопьевск, Центральная"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917					
1	"Число избирателей, внесенных в список"	54954	1607	2006	61	73	2400	2015	2348	2230	633	208	49	1566	2403	663	2301	66	1012	1924	92	1106	1215	1425	1969	2176	2248	1873	52	2044	2474	1999	951	1738	150	2577	1390	1750	1960	2200					
2	Число полученных избирательных бюллетеней	54125	1600	2000	65	80	2400	2000	2300	2250	600	250	60	1500	2350	650	2300	80	1000	1950	100	1050	1200	1400	1950	2150	2230	1850	60	2050	2400	2000	900	1600	150	2600	1300	1700	1900	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36439	1119	1389	61	53	1359	1643	1479	1889	537	208	49	1105	1609	293	1477	66	807	1147	92	824	704	829	850	1001	1202	1356	52	1542	1712	1573	521	1019	150	1881	868	1003	1340	1630					
5	"Число избирательных бюллетеней, выданных вне помещения"	3092	41	119	0	20	80	49	73	113	11	0	0	123	90	56	146	0	49	83	0	72	97	127	304	103	92	136	0	116	74	132	70	79	0	181	83	76	173	124					
6	Число погашенных избирательных бюллетеней	14594	440	492	4	7	961	308	748	248	52	42	11	272	651	301	677	14	144	720	8	154	399	444	796	1046	936	358	8	392	614	295	309	502	0	538	349	621	387	346					
7	Число избирательных бюллетеней в переносных ящиках	3092	41	119	0	20	80	49	73	113	11	0	0	123	90	56	146	0	49	83	0	72	97	127	304	103	92	136	0	116	74	132	70	79	0	181	83	76	173	124					
8	Число бюллетеней в стационарных ящиках для голосования	36435	1119	1388	61	53	1359	1643	1479	1889	537	208	49	1105	1609	293	1477	66	807	1147	92	824	704	829	850	1001	1200	1356	52	1542	1712	1573	521	1019	150	1881	867	1003	1340	1630					
9	Число недействительных избирательных бюллетеней	381	4	7	0	0	5	10	10	46	5	0	0	13	12	2	8	0	59	9	0	34	6	16	13	11	10	2	0	11	16	3	4	13	6	6	9	2	14	15					
10	Число действительных избирательных бюллетеней	39146	1156	1500	61	73	1434	1682	1542	1956	543	208	49	1215	1687	347	1615	66	797	1221	92	862	795	940	1141	1093	1282	1490	52	1647	1770	1702	587	1085	144	2056	941	1077	1499	1739					
11	Число полученных открепительных  удостоверений	732	30	25	0	0	42	22	24	36	14	0	0	13	25	4	29	0	14	40	0	8	12	14	16	19	16	30	0	34	32	26	11	26	0	27	22	28	57	36					
12	Число выданных открепительных удостоверений	575	23	22	0	0	40	18	22	26	5	0	0	12	14	1	29	0	9	34	0	7	10	12	16	14	11	23	0	23	20	26	5	19	0	23	13	23	43	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	940	8	21	30	52	7	14	19	21	9	82	14	14	11	5	13	39	16	17	86	9	24	16	14	9	20	18	52	13	11	14	5	8	73	15	25	39	76	21					
14	Число неиспользованных открепительных удостоверений	157	7	3	0	0	2	4	2	10	9	0	0	1	11	3	0	0	5	6	0	1	2	2	0	5	5	7	0	11	12	0	6	7	0	4	9	5	14	4					
15	"Число открепительных удостоверений, выданных в ТИК"	21	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	4	0	0	1	1	0	1	0	1	1	2	0	1	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	942	8	63	0	0	77	19	9	46	4	0	0	41	22	24	63	0	14	47	0	5	6	26	33	31	43	21	0	66	8	9	9	33	0	61	40	70	9	35					
		2.38%	0.69%	4.18%	0.00%	0.00%	5.35%	1.12%	0.58%	2.30%	0.73%	0.00%	0.00%	3.34%	1.29%	6.88%	3.88%	0.00%	1.64%	3.82%	0.00%	0.56%	0.75%	2.72%	2.86%	2.81%	3.33%	1.41%	0.00%	3.98%	0.45%	0.53%	1.52%	3.01%	0.00%	2.96%	4.21%	6.49%	0.59%	2.00%					
19	. Малышкин Олег Александрович	1319	6	47	0	0	64	9	65	46	8	0	0	39	87	25	53	0	17	56	0	6	31	38	47	93	51	29	0	58	8	64	34	44	1	70	32	27	49	115					
		3.34%	0.52%	3.12%	0.00%	0.00%	4.45%	0.53%	4.19%	2.30%	1.46%	0.00%	0.00%	3.18%	5.12%	7.16%	3.27%	0.00%	1.99%	4.55%	0.00%	0.67%	3.87%	3.97%	4.07%	8.42%	3.95%	1.94%	0.00%	3.50%	0.45%	3.75%	5.75%	4.01%	0.67%	3.39%	3.37%	2.50%	3.24%	6.56%					
20	. Миронов Сергей Михайлович	238	4	9	0	0	14	7	9	11	4	0	0	8	7	4	14	0	7	2	0	2	4	7	5	6	5	7	0	12	7	3	3	12	0	19	9	11	3	23					
		0.60%	0.34%	0.60%	0.00%	0.00%	0.97%	0.41%	0.58%	0.55%	0.73%	0.00%	0.00%	0.65%	0.41%	1.15%	0.86%	0.00%	0.82%	0.16%	0.00%	0.22%	0.50%	0.73%	0.43%	0.54%	0.39%	0.47%	0.00%	0.72%	0.39%	0.18%	0.51%	1.09%	0.00%	0.92%	0.95%	1.02%	0.20%	1.31%					
21	. Путин Владимир Владимирович	31639	999	1119	61	73	978	1460	1283	1641	484	208	49	918	1402	254	1166	66	695	919	92	771	691	643	946	824	982	1339	52	1315	1618	1514	444	841	141	1646	658	731	1291	1325					
