Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Советская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989					
1	"Число избирателей, внесенных в список"	18323	1511	2085	1792	317	242	422	612	868	268	265	432	231	189	194	258	418	250	291	283	122	332	576	643	312	269	216	333	276	372	518	431	226	174	260	327	315	465	466	387	375					
2	Число полученных избирательных бюллетеней	16463	1372	1819	1611	288	222	385	555	789	240	234	396	203	174	181	235	383	228	265	250	112	304	524	574	292	240	193	302	251	343	461	389	196	151	234	289	279	419	388	346	346					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9748	829	1078	887	198	129	252	235	480	174	151	238	145	69	110	121	213	90	167	131	68	169	240	426	148	129	110	217	202	150	309	239	112	99	140	130	170	243	332	183	235					
5	"Число избирательных бюллетеней, выданных вне помещения"	3463	91	111	122	69	71	87	243	77	48	62	89	48	73	60	91	117	116	87	71	36	78	205	70	109	54	73	58	21	154	75	84	69	50	70	114	67	79	41	125	98					
6	Число погашенных избирательных бюллетеней	3252	452	630	602	21	22	46	77	232	18	21	69	10	32	11	23	53	22	11	48	8	57	79	78	35	57	10	27	28	39	77	66	15	2	24	45	42	97	15	38	13					
7	Число избирательных бюллетеней в переносных ящиках	3463	91	111	122	69	71	87	243	77	48	62	89	48	73	60	91	117	116	87	71	36	78	205	70	109	54	73	58	21	154	75	84	69	50	70	114	67	79	41	125	98					
8	Число бюллетеней в стационарных ящиках для голосования	9747	829	1078	887	198	129	252	235	480	174	151	238	145	69	110	121	213	90	167	131	68	169	240	426	148	129	110	217	201	150	309	239	112	99	140	130	170	243	332	183	235					
9	Число недействительных избирательных бюллетеней	114	7	4	13	2	2	1	11	3	2	6	1	1	3	0	3	3	1	0	3	1	1	0	7	3	0	1	3	0	0	3	11	0	0	4	0	6	4	0	2	2					
10	Число действительных избирательных бюллетеней	13096	913	1185	996	265	198	338	467	554	220	207	326	192	139	170	209	327	205	254	199	103	246	445	489	254	183	182	272	222	304	381	312	181	149	206	244	231	318	373	306	331					
11	Число полученных открепительных  удостоверений	200	19	20	20	4	3	5	7	8	3	3	4	2	2	2	3	4	3	3	3	2	4	6	7	3	3	2	4	3	4	6	5	2	2	3	4	3	5	5	5	4					
12	Число выданных открепительных удостоверений	53	7	3	13	0	1	2	0	6	3	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	2	3	2	0	0	0	0	0	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	5	7	4	0	0	0	0	5	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	1	1	0	0	2	1	1	0	1	0	2	1	1					
14	Число неиспользованных открепительных удостоверений	147	12	17	7	4	2	3	7	2	0	3	3	2	2	2	3	3	3	3	3	2	3	5	6	3	3	1	4	3	3	4	2	0	2	3	4	3	5	4	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	226	26	41	21	1	4	8	10	10	0	3	8	3	0	3	0	1	8	1	0	0	4	5	12	0	1	12	1	0	0	5	6	1	0	4	3	8	5	6	5	0					
		1.71%	2.83%	3.45%	2.08%	0.37%	2.00%	2.36%	2.09%	1.80%	0.00%	1.41%	2.45%	1.55%	0.00%	1.76%	0.00%	0.30%	3.88%	0.39%	0.00%	0.00%	1.62%	1.12%	2.42%	0.00%	0.55%	6.56%	0.36%	0.00%	0.00%	1.30%	1.86%	0.55%	0.00%	1.90%	1.23%	3.38%	1.55%	1.61%	1.62%	0.00%					
19	. Малышкин Олег Александрович	389	25	38	26	1	7	9	10	20	10	11	18	7	3	5	3	17	1	6	1	2	4	10	21	11	5	5	0	5	15	11	13	5	1	10	5	11	6	8	9	14					
		2.94%	2.72%	3.20%	2.58%	0.37%	3.50%	2.65%	2.09%	3.59%	4.50%	5.16%	5.50%	3.63%	2.11%	2.94%	1.42%	5.15%	0.49%	2.36%	0.50%	1.92%	1.62%	2.25%	4.23%	4.28%	2.73%	2.73%	0.00%	2.25%	4.93%	2.86%	4.02%	2.76%	0.67%	4.76%	2.05%	4.64%	1.86%	2.14%	2.92%	4.20%					
20	. Миронов Сергей Михайлович	103	9	10	8	2	4	2	4	1	2	1	3	3	0	2	1	3	3	2	0	1	3	0	3	2	2	1	1	2	0	5	1	0	1	1	4	2	3	5	3	3					
		0.78%	0.98%	0.84%	0.79%	0.75%	2.00%	0.59%	0.84%	0.18%	0.90%	0.47%	0.92%	1.55%	0.00%	1.18%	0.47%	0.91%	1.46%	0.79%	0.00%	0.96%	1.21%	0.00%	0.60%	0.78%	1.09%	0.55%	0.36%	0.90%	0.00%	1.30%	0.31%	0.00%	0.67%	0.48%	1.64%	0.84%	0.93%	1.34%	0.97%	0.90%					
21	. Путин Владимир Владимирович	8091	539	689	525	217	141	180	274	298	161	140	165	134	85	109	155	219	119	197	159	90	175	223	283	127	140	132	216	121	240	225	194	147	97	120	134	95	206	249	193	178					
		61.25%	58.59%	57.95%	52.03%	81.27%	70.50%	53.10%	57.32%	53.50%	72.52%	65.73%	50.46%	69.43%	59.86%	64.12%	73.11%	66.36%	57.77%	77.56%	78.71%	86.54%	70.85%	50.11%	57.06%	49.42%	76.50%	72.13%	78.55%	54.50%	78.95%	58.59%	60.06%	81.22%	65.10%	57.14%	54.92%	40.08%	63.98%	66.76%	62.66%	53.45%					
22	. Хакамада Ирина Муцуовна	176	12	22	18	4	7	5	4	7	0	1	8	3	3	2	1	3	0	2	2	0	5	5	6	4	2	1	1	3	2	3	4	1	2	3	3	3	4	9	4	7					
		1.33%	1.30%	1.85%	1.78%	1.50%	3.50%	1.47%	0.84%	1.26%	0.00%	0.47%	2.45%	1.55%	2.11%	1.18%	0.47%	0.91%	0.00%	0.79%	0.99%	0.00%	2.02%	1.12%	1.21%	1.56%	1.09%	0.55%	0.36%	1.35%	0.66%	0.78%	1.24%	0.55%	1.34%	1.43%	1.23%	1.27%	1.24%	2.41%	1.30%	2.10%					
23	. Харитонов Николай Михайлович	3949	285	357	376	37	33	130	163	208	47	49	122	40	45	45	47	80	70	43	35	10	53	201	157	107	30	30	52	89	46	126	89	27	47	68	94	111	92	90	90	128					
		29.89%	30.98%	30.03%	37.26%	13.86%	16.50%	38.35%	34.10%	37.34%	21.17%	23.00%	37.31%	20.73%	31.69%	26.47%	22.17%	24.24%	33.98%	16.93%	17.33%	9.62%	21.46%	45.17%	31.65%	41.63%	16.39%	16.39%	18.91%	40.09%	15.13%	32.81%	27.55%	14.92%	31.54%	32.38%	38.52%	46.84%	28.57%	24.13%	29.22%	38.44%					
																																															
24	Против всех	162	17	28	22	3	2	4	2	10	0	2	2	2	3	4	2	4	4	3	2	0	2	1	7	3	3	1	1	2	1	6	5	0	1	0	1	1	2	6	2	1					
		1.23%	1.85%	2.35%	2.18%	1.12%	1.00%	1.18%	0.42%	1.80%	0.00%	0.94%	0.61%	1.04%	2.11%	2.35%	0.94%	1.21%	1.94%	1.18%	0.99%	0.00%	0.81%	0.22%	1.41%	1.17%	1.64%	0.55%	0.36%	0.90%	0.33%	1.56%	1.55%	0.00%	0.67%	0.00%	0.41%	0.42%	0.62%	1.61%	0.65%	0.30%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
