Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Левокумская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717					
1	"Число избирателей, внесенных в список"	27321	2065	2027	1875	1960	1580	1958	933	1713	2682	1618	1559	374	1175	1188	946	380	965	275	788	1260					
2	Число полученных избирательных бюллетеней	29520	2170	2100	1990	2080	1750	2100	1000	1850	2940	1640	1640	380	1460	1230	1100	520	1030	320	840	1380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15554	1025	1060	905	1056	1038	1086	600	1045	1440	836	983	160	679	806	583	249	600	219	444	740					
5	"Число избирательных бюллетеней, выданных вне помещения"	2023	125	150	101	106	94	242	125	88	187	100	69	67	41	95	106	55	93	23	54	102					
6	Число погашенных избирательных бюллетеней	11943	1020	890	984	918	618	772	275	717	1313	704	588	153	740	329	411	216	337	78	342	538					
7	Число избирательных бюллетеней в переносных ящиках	2023	125	150	101	106	94	242	125	88	187	100	69	67	41	95	106	55	93	23	54	102					
8	Число бюллетеней в стационарных ящиках для голосования	15479	1025	987	905	1056	1036	1086	600	1045	1440	836	983	160	679	806	583	249	600	219	444	740					
9	Число недействительных избирательных бюллетеней	136	6	4	2	8	14	15	7	9	26	2	5	0	4	11	4	2	6	0	2	9					
10	Число действительных избирательных бюллетеней	17366	1144	1133	1004	1154	1116	1313	718	1124	1601	934	1047	227	716	890	685	302	687	242	496	833					
11	Число полученных открепительных  удостоверений	292	19	18	11	16	18	15	15	11	25	15	15	5	15	0	35	6	13	5	10	25					
12	Число выданных открепительных удостоверений	257	18	18	11	16	18	15	14	11	11	10	12	2	15	0	35	6	11	2	7	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	0	11	0	3	3	3	2	1	1	2	5	0	2	2	2	5	4	1	3	3					
14	Число неиспользованных открепительных удостоверений	35	1	0	0	0	0	0	1	0	14	5	3	3	0	0	0	0	2	3	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	408	28	47	31	47	18	20	31	20	44	16	12	5	14	10	13	3	12	7	11	19					
		2.33%	2.43%	4.13%	3.08%	4.04%	1.59%	1.51%	4.28%	1.77%	2.70%	1.71%	1.14%	2.20%	1.94%	1.11%	1.89%	0.99%	1.73%	2.89%	2.21%	2.26%					
19	. Малышкин Олег Александрович	538	36	21	29	39	40	36	19	34	55	43	31	1	14	11	25	14	24	11	31	24					
		3.07%	3.13%	1.85%	2.88%	3.36%	3.54%	2.71%	2.62%	3.00%	3.38%	4.59%	2.95%	0.44%	1.94%	1.22%	3.63%	4.61%	3.46%	4.55%	6.22%	2.85%					
20	. Миронов Сергей Михайлович	119	3	9	11	11	10	10	5	6	6	10	3	2	4	4	4	4	7	1	2	7					
		0.68%	0.26%	0.79%	1.09%	0.95%	0.88%	0.75%	0.69%	0.53%	0.37%	1.07%	0.29%	0.88%	0.56%	0.44%	0.58%	1.32%	1.01%	0.41%	0.40%	0.83%					
21	. Путин Владимир Владимирович	10710	718	770	643	695	638	785	387	635	1043	460	619	123	499	593	459	164	440	144	331	564					
		61.19%	62.43%	67.72%	63.92%	59.81%	56.46%	59.11%	53.38%	56.05%	64.11%	49.15%	58.84%	54.19%	69.31%	65.82%	66.62%	53.95%	63.49%	59.50%	66.47%	66.98%					
22	. Хакамада Ирина Муцуовна	319	20	36	23	19	16	20	18	19	34	17	14	13	16	12	12	4	8	4	9	5					
		1.82%	1.74%	3.17%	2.29%	1.64%	1.42%	1.51%	2.48%	1.68%	2.09%	1.82%	1.33%	5.73%	2.22%	1.33%	1.74%	1.32%	1.15%	1.65%	1.81%	0.59%					
23	. Харитонов Николай Михайлович	4881	307	205	232	287	372	419	226	395	394	381	352	82	162	253	162	106	174	67	101	204					
		27.89%	26.70%	18.03%	23.06%	24.70%	32.92%	31.55%	31.17%	34.86%	24.22%	40.71%	33.46%	36.12%	22.50%	28.08%	23.51%	34.87%	25.11%	27.69%	20.28%	24.23%					
																											
24	Против всех	391	32	45	35	56	22	23	32	15	25	7	16	1	7	7	10	7	22	8	11	10					
		2.23%	2.78%	3.96%	3.48%	4.82%	1.95%	1.73%	4.41%	1.32%	1.54%	0.75%	1.52%	0.44%	0.97%	0.78%	1.45%	2.30%	3.17%	3.31%	2.21%	1.19%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
