Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Мокроусовская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721					
1	"Число избирателей, внесенных в список"	10927	706	701	881	663	594	187	137	140	74	253	105	197	334	342	334	50	359	128	576	87	339	171	321	215	303	105	167	86	437	96	79	379	24	212	40	367	34	338	313	53					
2	Число полученных избирательных бюллетеней	11134	720	689	916	665	597	189	139	141	76	247	114	200	334	348	354	49	371	126	597	90	340	177	323	222	312	107	167	90	455	99	79	380	29	223	47	379	34	348	310	51					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7543	469	426	518	392	362	141	89	97	51	194	91	129	295	254	227	43	225	81	383	67	237	106	249	144	225	89	122	70	299	84	61	243	20	178	33	250	32	290	227	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	862	31	48	59	30	38	10	17	17	9	25	8	36	16	29	35	5	55	13	38	11	17	37	24	36	29	0	23	6	26	3	7	24	2	9	0	47	0	19	23	0					
6	Число погашенных избирательных бюллетеней	2729	220	215	339	243	197	38	33	27	16	28	15	35	23	65	92	1	91	32	176	12	86	34	50	42	58	18	22	14	130	12	11	113	7	36	14	82	2	39	60	1					
7	Число избирательных бюллетеней в переносных ящиках	862	31	48	59	30	38	10	17	17	9	25	8	36	16	29	35	5	55	13	38	11	17	37	24	36	29	0	23	6	26	3	7	24	2	9	0	47	0	19	23	0					
8	Число бюллетеней в стационарных ящиках для голосования	7542	469	426	518	392	362	141	89	97	51	194	91	129	295	254	227	43	225	81	383	67	237	106	249	144	225	89	121	70	299	84	61	243	20	178	33	250	32	290	227	50					
9	Число недействительных избирательных бюллетеней	74	2	5	0	4	5	2	0	2	0	2	1	2	7	2	5	0	1	1	3	0	3	0	4	1	2	0	0	0	5	2	0	0	0	6	0	4	0	3	0	0					
10	Число действительных избирательных бюллетеней	8330	498	469	577	418	395	149	106	112	60	217	98	163	304	281	257	48	279	93	418	78	251	143	269	179	252	89	144	76	320	85	68	267	22	181	33	293	32	306	250	50					
11	Число полученных открепительных  удостоверений	282	8	19	18	10	8	5	1	5	1	5	1	2	10	17	9	1	25	8	12	1	5	5	4	2	17	2	3	2	16	1	1	5	2	10	7	5	4	18	5	2					
12	Число выданных открепительных удостоверений	224	7	18	11	5	5	3	0	2	0	3	1	0	10	12	8	0	25	5	12	0	4	4	4	0	17	1	2	2	12	1	0	5	2	10	5	4	3	16	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	3	5	3	3	6	3	1	1	0	0	0	2	2	1	2	1	1	2	4	1	0	0	4	0	2	0	3	0	2	0	1	0	0	0	1	1	1	3	4	0					
14	Число неиспользованных открепительных удостоверений	58	1	1	7	5	3	2	1	3	1	2	0	2	0	5	1	1	0	3	0	1	1	1	0	2	0	1	1	0	4	0	1	0	0	0	2	1	1	2	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	155	18	13	13	11	11	0	1	2	1	2	2	0	5	5	4	0	5	3	7	5	3	0	0	2	8	3	1	1	4	0	0	2	0	1	1	14	1	4	1	1					
		1.84%	3.60%	2.74%	2.25%	2.61%	2.75%	0.00%	0.94%	1.75%	1.67%	0.91%	2.02%	0.00%	1.61%	1.77%	1.53%	0.00%	1.79%	3.19%	1.66%	6.41%	1.18%	0.00%	0.00%	1.11%	3.15%	3.37%	0.69%	1.32%	1.23%	0.00%	0.00%	0.75%	0.00%	0.53%	3.03%	4.71%	3.12%	1.29%	0.40%	2.00%					
19	. Малышкин Олег Александрович	394	29	9	22	13	18	7	5	4	5	14	2	14	8	16	10	1	15	1	13	0	13	14	12	7	20	6	6	6	18	5	2	13	0	7	1	22	1	11	17	7					
		4.69%	5.80%	1.90%	3.81%	3.08%	4.50%	4.64%	4.72%	3.51%	8.33%	6.39%	2.02%	8.48%	2.57%	5.65%	3.82%	2.08%	5.36%	1.06%	3.09%	0.00%	5.12%	9.79%	4.40%	3.89%	7.87%	6.74%	4.17%	7.89%	5.54%	5.75%	2.94%	4.87%	0.00%	3.74%	3.03%	7.41%	3.12%	3.56%	6.80%	14.00%					
20	. Миронов Сергей Михайлович	69	0	7	9	6	3	0	1	0	2	2	2	0	0	3	2	0	3	2	3	0	2	1	1	1	1	3	3	1	4	0	0	0	0	1	0	1	0	4	1	0					
		0.82%	0.00%	1.48%	1.56%	1.42%	0.75%	0.00%	0.94%	0.00%	3.33%	0.91%	2.02%	0.00%	0.00%	1.06%	0.76%	0.00%	1.07%	2.13%	0.71%	0.00%	0.79%	0.70%	0.37%	0.56%	0.39%	3.37%	2.08%	1.32%	1.23%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.34%	0.00%	1.29%	0.40%	0.00%					
21	. Путин Владимир Владимирович	5747	332	312	403	277	243	108	76	88	41	147	66	96	240	168	172	40	203	72	259	57	178	87	223	141	163	61	115	52	232	61	54	178	18	141	21	181	28	212	164	37					
		68.38%	66.40%	65.82%	69.84%	65.64%	60.75%	71.52%	71.70%	77.19%	68.33%	67.12%	66.67%	58.18%	77.17%	59.36%	65.65%	83.33%	72.50%	76.60%	61.52%	73.08%	70.08%	60.84%	81.68%	78.33%	64.17%	68.54%	79.86%	68.42%	71.38%	70.11%	79.41%	66.67%	81.82%	75.40%	63.64%	60.94%	87.50%	68.61%	65.60%	74.00%					
22	. Хакамада Ирина Муцуовна	114	8	6	11	8	12	1	1	0	0	0	1	0	7	2	10	1	3	0	5	0	6	3	3	3	2	0	0	0	2	1	1	5	0	2	1	2	0	1	5	1					
		1.36%	1.60%	1.27%	1.91%	1.90%	3.00%	0.66%	0.94%	0.00%	0.00%	0.00%	1.01%	0.00%	2.25%	0.71%	3.82%	2.08%	1.07%	0.00%	1.19%	0.00%	2.36%	2.10%	1.10%	1.67%	0.79%	0.00%	0.00%	0.00%	0.62%	1.15%	1.47%	1.87%	0.00%	1.07%	3.03%	0.67%	0.00%	0.32%	2.00%	2.00%					
23	. Харитонов Николай Михайлович	1699	97	110	113	94	100	30	22	17	9	50	22	51	43	81	58	5	47	15	125	15	39	35	28	20	51	14	15	15	57	18	11	63	4	27	5	64	2	66	60	1					
		20.22%	19.40%	23.21%	19.58%	22.27%	25.00%	19.87%	20.75%	14.91%	15.00%	22.83%	22.22%	30.91%	13.83%	28.62%	22.14%	10.42%	16.79%	15.96%	29.69%	19.23%	15.35%	24.48%	10.26%	11.11%	20.08%	15.73%	10.42%	19.74%	17.54%	20.69%	16.18%	23.60%	18.18%	14.44%	15.15%	21.55%	6.25%	21.36%	24.00%	2.00%					
																																															
24	Против всех	152	14	12	6	9	8	3	0	1	2	2	3	2	1	6	1	1	3	0	6	1	10	3	2	5	7	2	4	1	3	0	0	6	0	2	4	9	0	8	2	3					
