Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Новошешминская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №106	УИК №107	УИК №108	УИК  2328	УИК  2329	УИК  2330	УИК  2331	УИК  2332	УИК  2333	УИК  2334	УИК  2335	УИК  2336	УИК  2337	УИК  2338	УИК  2339	УИК  2340	УИК  2341	УИК  2342	УИК  2343	УИК  2344	УИК  2345	УИК  2346	УИК  2347	УИК  2348	УИК  2349	УИК  2350	УИК  2351					
1	"Число избирателей, внесенных в список"	10814	701	602	106	283	214	426	416	694	844	276	385	164	139	320	600	303	525	459	127	512	103	665	564	346	434	151	455					
2	Число полученных избирательных бюллетеней	10930	729	611	104	286	214	427	420	682	857	281	383	165	142	322	612	307	530	479	126	506	103	673	569	352	431	152	467					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9666	592	535	95	260	195	389	393	522	740	235	318	158	125	297	560	277	475	418	98	459	95	647	555	298	381	138	411					
5	"Число избирательных бюллетеней, выданных вне помещения"	569	15	7	8	23	16	31	21	48	12	6	30	5	7	18	28	14	43	37	17	42	7	18	5	39	27	8	37					
6	Число погашенных избирательных бюллетеней	695	122	69	1	3	3	7	6	112	105	40	35	2	10	7	24	16	12	24	11	5	1	8	9	15	23	6	19					
7	Число избирательных бюллетеней в переносных ящиках	569	15	7	8	23	16	31	21	48	12	6	30	5	7	18	28	14	43	37	17	42	7	18	5	39	27	8	37					
8	Число бюллетеней в стационарных ящиках для голосования	9666	592	535	95	260	195	389	393	522	740	235	318	158	125	297	560	277	475	418	98	459	95	647	555	298	381	138	411					
9	Число недействительных избирательных бюллетеней	60	5	5	0	12	0	0	0	15	0	3	2	0	1	0	2	3	8	0	1	0	0	0	0	3	0	0	0					
10	Число действительных избирательных бюллетеней	10175	602	537	103	271	211	420	414	555	752	238	346	163	131	315	586	288	510	455	114	501	102	665	560	334	408	146	448					
11	Число полученных открепительных  удостоверений	500	35	28	5	13	10	20	19	31	39	12	17	7	6	15	28	14	24	22	6	23	5	31	26	16	20	7	21					
