Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Каслинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК  919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962					
		0.55%	0.63%	0.53%	0.60%	0.61%	0.16%	0.45%	0.30%	0.37%	0.47%	1.47%	0.66%	0.55%	0.00%	0.81%	0.86%	0.89%	0.00%	0.31%	0.00%	0.00%	0.59%	1.34%	1.16%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.45%	0.43%	1.23%	0.00%	0.38%	0.87%	0.00%	0.00%	0.00%	1.01%	1.10%	0.97%					
21	. Путин Владимир Владимирович	14876	585	555	899	846	930	337	543	412	678	372	231	560	63	513	338	836	43	254	78	343	376	389	376	136	73	80	333	454	147	69	149	75	246	182	62	80	592	617	168	111	102	386	130	127					
		72.99%	73.77%	73.90%	77.30%	73.95%	76.42%	75.06%	80.92%	76.72%	79.86%	78.15%	76.74%	77.67%	85.14%	68.86%	72.69%	67.47%	71.67%	79.13%	81.25%	81.67%	73.58%	74.24%	72.59%	78.61%	85.88%	89.89%	55.41%	57.47%	84.48%	84.15%	76.41%	72.12%	55.28%	78.45%	76.54%	76.92%	74.37%	66.92%	66.40%	60.66%	70.83%	77.98%	71.82%	61.65%					
22	. Хакамада Ирина Муцуовна	439	24	20	22	26	37	13	7	20	16	6	6	11	1	16	10	45	1	9	4	7	4	11	5	0	0	0	17	15	2	0	4	3	10	1	1	0	15	32	5	0	0	10	3	0					
		2.15%	3.03%	2.66%	1.89%	2.27%	3.04%	2.90%	1.04%	3.72%	1.88%	1.26%	1.99%	1.53%	1.35%	2.15%	2.15%	3.63%	1.67%	2.80%	4.17%	1.67%	0.78%	2.10%	0.97%	0.00%	0.00%	0.00%	2.83%	1.90%	1.15%	0.00%	2.05%	2.88%	2.25%	0.43%	1.23%	0.00%	1.88%	3.47%	1.98%	0.00%	0.00%	2.02%	1.66%	0.00%					
23	. Харитонов Николай Михайлович	3169	99	87	129	120	131	46	64	60	75	45	36	89	5	161	69	233	10	27	4	34	77	88	71	25	11	4	215	263	15	10	30	19	149	39	15	21	114	186	49	62	27	66	26	63					
		15.55%	12.48%	11.58%	11.09%	10.49%	10.76%	10.24%	9.54%	11.17%	8.83%	9.45%	11.96%	12.34%	6.76%	21.61%	14.84%	18.81%	16.67%	8.41%	4.17%	8.10%	15.07%	16.79%	13.71%	14.45%	12.94%	4.49%	35.77%	33.29%	8.62%	12.20%	15.38%	18.27%	33.48%	16.81%	18.52%	20.19%	14.32%	20.17%	19.37%	33.88%	18.75%	13.33%	14.36%	30.58%					
																																																			
24	Против всех	516	26	26	47	51	49	15	13	13	25	14	4	11	0	15	12	36	2	8	3	10	2	6	15	2	0	2	9	11	1	1	1	4	8	2	0	1	24	22	3	2	5	12	3	0					
		2.53%	3.28%	3.46%	4.04%	4.46%	4.03%	3.34%	1.94%	2.42%	2.94%	2.94%	1.33%	1.53%	0.00%	2.01%	2.58%	2.91%	3.33%	2.49%	3.12%	2.38%	0.39%	1.15%	2.90%	1.16%	0.00%	2.25%	1.50%	1.39%	0.57%	1.22%	0.51%	3.85%	1.80%	0.86%	0.00%	0.96%	3.02%	2.39%	1.19%	1.09%	3.47%	2.42%	1.66%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
