Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Батецкая																			
																			
Итоги голосования 																			
																			
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12					
1	"Число избирателей, внесенных в список"	5422	1950	463	174	249	536	282	402	259	288	158	136	525					
2	Число полученных избирательных бюллетеней	5262	1880	437	173	241	520	278	389	259	278	155	130	522					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2973	1067	230	83	154	294	165	227	159	148	60	95	291					
5	"Число избирательных бюллетеней, выданных вне помещения"	663	155	79	38	38	72	53	61	20	42	56	17	32					
6	Число погашенных избирательных бюллетеней	1626	658	128	52	49	154	60	101	80	88	39	18	199					
7	Число избирательных бюллетеней в переносных ящиках	663	155	79	38	38	72	53	61	20	42	56	17	32					
8	Число бюллетеней в стационарных ящиках для голосования	2973	1067	230	83	154	294	165	227	159	148	60	95	291					
9	Число недействительных избирательных бюллетеней	19	6	2	0	2	1	0	3	0	1	1	1	2					
10	Число действительных избирательных бюллетеней	3617	1216	307	121	190	365	218	285	179	189	115	111	321					
11	Число полученных открепительных  удостоверений	90	30	7	4	5	7	5	5	5	5	5	5	7					
12	Число выданных открепительных удостоверений	24	10	2	0	1	0	2	1	4	1	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	9	6	2	5	15	6	1	0	3	6	8	7					
14	Число неиспользованных открепительных удостоверений	66	20	5	4	4	7	3	4	1	4	4	4	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	64	21	8	3	5	4	5	7	1	0	0	3	7					
		1.76%	1.72%	2.59%	2.48%	2.60%	1.09%	2.29%	2.43%	0.56%	0.00%	0.00%	2.68%	2.17%					
19	. Малышкин Олег Александрович	67	20	8	1	4	3	1	11	5	1	2	6	5					
		1.84%	1.64%	2.59%	0.83%	2.08%	0.82%	0.46%	3.82%	2.79%	0.53%	1.72%	5.36%	1.55%					
20	. Миронов Сергей Михайлович	22	10	3	0	0	0	1	3	1	0	0	0	4					
		0.61%	0.82%	0.97%	0.00%	0.00%	0.00%	0.46%	1.04%	0.56%	0.00%	0.00%	0.00%	1.24%					
21	. Путин Владимир Владимирович	2868	953	254	100	129	316	166	214	147	155	99	82	253					
		78.88%	77.99%	82.20%	82.64%	67.19%	86.34%	76.15%	74.31%	82.12%	81.58%	85.34%	73.21%	78.33%					
22	. Хакамада Ирина Муцуовна	79	31	2	2	6	6	2	8	2	4	1	7	8					
		2.17%	2.54%	0.65%	1.65%	3.12%	1.64%	0.92%	2.78%	1.12%	2.11%	0.86%	6.25%	2.48%					
23	. Харитонов Николай Михайлович	439	139	30	14	42	30	38	37	21	27	11	11	39					
		12.07%	11.37%	9.71%	11.57%	21.88%	8.20%	17.43%	12.85%	11.73%	14.21%	9.48%	9.82%	12.07%					
																			
24	Против всех	78	42	2	1	4	6	5	5	2	2	2	2	5					
		2.15%	3.44%	0.65%	0.83%	2.08%	1.64%	2.29%	1.74%	1.12%	1.05%	1.72%	1.79%	1.55%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
