Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Железногорская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230					
		0.57%	1.16%	0.72%	0.74%	0.30%	0.87%	0.93%	0.83%	0.93%	0.54%	0.67%	0.16%	0.70%	0.37%	0.33%	0.45%	0.93%	0.34%	0.38%	0.58%	0.37%	0.92%	0.53%	0.36%	1.05%	0.40%	0.39%	0.67%	0.19%	0.65%	0.88%	0.00%	0.36%	0.20%	0.67%	0.54%	0.54%	0.77%	0.55%	0.35%	0.38%					
21	. Путин Владимир Владимирович	28123	686	720	581	652	670	673	713	710	813	513	834	648	496	768	578	657	589	715	655	689	595	696	721	722	793	779	680	694	794	752	285	1153	650	757	585	856	811	800	734	906					
		64.33%	66.15%	64.81%	61.22%	65.40%	64.61%	62.72%	65.47%	65.92%	63.17%	57.06%	65.93%	64.86%	60.64%	62.44%	64.44%	61.40%	66.55%	67.45%	63.35%	64.09%	60.65%	61.81%	65.72%	62.89%	63.69%	60.53%	65.32%	64.80%	64.66%	65.96%	67.06%	68.35%	63.79%	62.98%	63.04%	65.85%	69.38%	63.29%	63.77%	68.64%					
22	. Хакамада Ирина Муцуовна	1171	28	43	29	29	35	30	29	20	31	21	44	33	16	25	18	18	21	38	33	26	27	29	28	29	33	37	24	24	30	35	4	61	34	26	29	34	25	37	24	34					
		2.68%	2.70%	3.87%	3.06%	2.91%	3.38%	2.80%	2.66%	1.86%	2.41%	2.34%	3.48%	3.30%	1.96%	2.03%	2.01%	1.68%	2.37%	3.58%	3.19%	2.42%	2.75%	2.58%	2.55%	2.53%	2.65%	2.87%	2.31%	2.24%	2.44%	3.07%	0.94%	3.62%	3.34%	2.16%	3.12%	2.62%	2.14%	2.93%	2.09%	2.58%					
23	. Харитонов Николай Михайлович	9044	228	221	239	186	212	251	206	199	282	273	220	215	217	319	209	264	175	167	223	254	230	255	210	269	298	314	216	206	261	196	95	248	197	241	192	237	164	236	213	206					
		20.69%	21.99%	19.89%	25.18%	18.66%	20.44%	23.39%	18.92%	18.48%	21.91%	30.37%	17.39%	21.52%	26.53%	25.93%	23.30%	24.67%	19.77%	15.75%	21.57%	23.63%	23.45%	22.65%	19.14%	23.43%	23.94%	24.40%	20.75%	19.23%	21.25%	17.19%	22.35%	14.70%	19.33%	20.05%	20.69%	18.23%	14.03%	18.67%	18.51%	15.61%					
																																															
24	Против всех	1924	36	48	33	53	43	33	37	58	63	25	58	36	23	38	31	37	30	46	49	43	39	50	54	45	38	61	45	46	43	73	10	104	45	84	53	62	56	69	63	64					
		4.40%	3.47%	4.32%	3.48%	5.32%	4.15%	3.08%	3.40%	5.39%	4.90%	2.78%	4.58%	3.60%	2.81%	3.09%	3.46%	3.46%	3.39%	4.34%	4.74%	4.00%	3.98%	4.44%	4.92%	3.92%	3.05%	4.74%	4.32%	4.30%	3.50%	6.40%	2.35%	6.16%	4.42%	6.99%	5.71%	4.77%	4.79%	5.46%	5.47%	4.85%					
