Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Бабынинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22					
1	"Число избирателей, внесенных в список"	16951	137	252	2250	1031	496	234	229	587	294	213	585	173	165	387	190	386	306	178	197	3023	3209	2429					
2	Число полученных избирательных бюллетеней	15923	127	233	2108	959	457	224	218	542	276	205	547	160	151	364	177	371	289	169	182	2850	2947	2367					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9010	76	125	1193	531	191	95	128	368	187	78	291	83	77	238	97	168	175	78	79	1591	1775	1386					
5	"Число избирательных бюллетеней, выданных вне помещения"	1072	12	73	63	40	123	75	18	79	48	62	56	47	30	58	37	57	59	34	32	23	29	17					
6	Число погашенных избирательных бюллетеней	5841	39	35	852	388	143	54	72	95	41	65	200	30	44	68	43	146	55	57	71	1236	1143	964					
7	Число избирательных бюллетеней в переносных ящиках	1072	12	73	63	40	123	75	18	79	48	62	56	47	30	58	37	57	59	34	32	23	29	17					
8	Число бюллетеней в стационарных ящиках для голосования	9006	76	125	1193	531	191	95	128	368	187	78	291	83	77	238	97	168	175	78	79	1590	1772	1386					
9	Число недействительных избирательных бюллетеней	107	0	2	11	5	10	0	0	5	1	1	3	0	1	7	1	1	2	1	1	25	22	8					
10	Число действительных избирательных бюллетеней	9971	88	196	1245	566	304	170	146	442	234	139	344	130	106	289	133	224	232	111	110	1588	1779	1395					
11	Число полученных открепительных  удостоверений	270	5	5	38	9	8	6	6	9	6	6	9	6	6	6	6	6	6	6	6	38	38	39					
12	Число выданных открепительных удостоверений	96	0	1	23	5	0	4	2	0	2	0	4	0	0	0	6	3	2	1	1	10	6	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	0	6	14	5	4	4	4	7	1	1	5	3	2	9	4	2	2	1	4	4	5	10					
14	Число неиспользованных открепительных удостоверений	174	5	4	15	4	8	2	4	9	4	6	5	6	6	6	0	3	4	5	5	28	32	13					
15	"Число открепительных удостоверений, выданных в ТИК"	20	0	1	1	0	2	0	0	0	1	1	0	1	0	1	1	1	0	1	0	4	2	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	275	0	3	26	10	10	2	1	2	5	1	10	1	3	5	1	3	1	1	1	45	76	68					
		2.73%	0.00%	1.52%	2.07%	1.75%	3.18%	1.18%	0.68%	0.45%	2.13%	0.71%	2.88%	0.77%	2.80%	1.69%	0.75%	1.33%	0.43%	0.89%	0.90%	2.79%	4.22%	4.85%					
19	. Малышкин Олег Александрович	220	2	4	18	14	7	10	4	10	9	0	5	1	2	13	0	5	2	0	0	28	38	48					
		2.18%	2.27%	2.02%	1.43%	2.45%	2.23%	5.88%	2.74%	2.24%	3.83%	0.00%	1.44%	0.77%	1.87%	4.39%	0.00%	2.22%	0.85%	0.00%	0.00%	1.74%	2.11%	3.42%					
20	. Миронов Сергей Михайлович	59	1	1	8	1	4	1	1	1	3	0	0	1	0	0	3	0	1	0	0	14	9	10					
		0.59%	1.14%	0.51%	0.64%	0.18%	1.27%	0.59%	0.68%	0.22%	1.28%	0.00%	0.00%	0.77%	0.00%	0.00%	2.24%	0.00%	0.43%	0.00%	0.00%	0.87%	0.50%	0.71%					
21	. Путин Владимир Владимирович	7438	77	153	879	384	234	116	110	384	119	124	265	102	86	221	94	150	174	88	75	1245	1370	988					
		73.80%	87.50%	77.27%	69.98%	67.25%	74.52%	68.24%	75.34%	85.91%	50.64%	88.57%	76.37%	78.46%	80.37%	74.66%	70.15%	66.67%	74.36%	78.57%	67.57%	77.19%	76.07%	70.42%					
22	. Хакамада Ирина Муцуовна	223	1	4	29	16	3	5	3	3	3	1	6	3	1	3	4	3	4	5	4	25	43	54					
		2.21%	1.14%	2.02%	2.31%	2.80%	0.96%	2.94%	2.05%	0.67%	1.28%	0.71%	1.73%	2.31%	0.93%	1.01%	2.99%	1.33%	1.71%	4.46%	3.60%	1.55%	2.39%	3.85%					
23	. Харитонов Николай Михайлович	1434	5	27	240	126	42	32	24	37	87	12	51	22	10	44	29	62	42	13	27	173	180	149					
		14.23%	5.68%	13.64%	19.11%	22.07%	13.38%	18.82%	16.44%	8.28%	37.02%	8.57%	14.70%	16.92%	9.35%	14.86%	21.64%	27.56%	17.95%	11.61%	24.32%	10.73%	9.99%	10.62%					
																													
24	Против всех	322	2	4	45	15	4	4	3	5	8	1	7	0	4	3	2	1	8	4	3	58	63	78					
		3.20%	2.27%	2.02%	3.58%	2.63%	1.27%	2.35%	2.05%	1.12%	3.40%	0.71%	2.02%	0.00%	3.74%	1.01%	1.49%	0.44%	3.42%	3.57%	2.70%	3.60%	3.50%	5.56%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
