Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Иваново, Ленинская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1964	20	102	53	49	37	34	31	30	20	31	31	20	33	30	20	29	49	27	22	10	26	60	18	30	40	19	40	40	35	35	107	42	30	21	40	40	54	21	30	32	38	30	30	44	30	31	41	31	25	40	40	41	37	40	28	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1420	38	32	39	34	18	31	23	15	12	34	11	16	14	16	13	6	22	22	18	11	35	13	8	15	32	13	22	25	12	16	136	11	17	21	17	20	24	9	23	19	10	8	22	11	10	25	25	17	15	25	19	14	10	18	10	13	139	98	18					
14	Число погашенных неиспользованных открепительных удостоверений	55	2	5	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	3	0	10	0	0	2	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	0	1	0	3	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	290	4	33	7	4	2	16	4	1	18	5	11	3	10	2	2	2	4	2	3	1	10	6	0	4	6	2	5	2	4	11	3	2	3	4	7	1	1	4	5	3	7	3	3	5	8	5	9	3	2	4	8	5	2	7	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10500	115	198	134	271	170	153	141	128	175	181	152	162	145	104	171	187	221	243	157	100	203	159	149	192	230	194	171	168	171	142	181	218	195	207	234	238	259	255	204	195	115	210	185	209	220	285	252	224	205	287	210	196	218	195	121	16	36	36	7					
		16.85%	14.09%	15.74%	16.90%	17.64%	15.77%	15.94%	13.93%	16.31%	21.82%	16.87%	17.80%	16.30%	15.25%	12.44%	16.81%	15.20%	17.95%	18.33%	16.29%	18.15%	16.75%	16.32%	19.28%	14.61%	17.64%	14.45%	17.05%	17.39%	14.99%	17.53%	10.44%	17.27%	16.26%	17.75%	19.34%	17.94%	21.88%	18.89%	17.53%	17.58%	15.86%	17.27%	15.89%	18.88%	19.16%	22.78%	17.68%	17.93%	17.42%	19.52%	16.51%	15.15%	18.09%	14.31%	14.24%	16.16%	12.33%	11.96%	7.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9244	126	214	166	175	165	142	166	123	107	143	121	164	147	158	159	188	163	192	144	82	152	155	104	215	187	189	130	150	172	163	226	176	173	153	168	196	177	179	172	159	141	149	173	187	170	158	221	177	179	224	214	179	178	210	171	7	29	33	3					
		14.83%	15.44%	17.01%	20.93%	11.39%	15.31%	14.79%	16.40%	15.67%	13.34%	13.33%	14.17%	16.50%	15.46%	18.90%	15.63%	15.28%	13.24%	14.48%	14.94%	14.88%	12.54%	15.91%	13.45%	16.36%	14.34%	14.07%	12.96%	15.53%	15.07%	20.12%	13.04%	13.95%	14.43%	13.12%	13.88%	14.77%	14.95%	13.26%	14.78%	14.34%	19.45%	12.25%	14.86%	16.89%	14.81%	12.63%	15.51%	14.17%	15.21%	15.24%	16.82%	13.83%	14.77%	15.41%	20.12%	7.07%	9.93%	10.96%	3.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	862	14	19	6	17	10	15	13	23	12	18	9	19	10	2	9	29	17	24	15	16	28	20	15	13	17	19	11	16	21	8	8	19	16	6	15	16	22	18	13	8	6	22	11	12	12	15	31	17	20	19	19	25	18	15	11	0	2	1	0					
		1.38%	1.72%	1.51%	0.76%	1.11%	0.93%	1.56%	1.28%	2.93%	1.50%	1.68%	1.05%	1.91%	1.05%	0.24%	0.88%	2.36%	1.38%	1.81%	1.56%	2.90%	2.31%	2.05%	1.94%	0.99%	1.30%	1.41%	1.10%	1.66%	1.84%	0.99%	0.46%	1.51%	1.33%	0.51%	1.24%	1.21%	1.86%	1.33%	1.12%	0.72%	0.83%	1.81%	0.95%	1.08%	1.05%	1.20%	2.18%	1.36%	1.70%	1.29%	1.49%	1.93%	1.49%	1.10%	1.29%	0.00%	0.68%	0.33%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	15592	197	343	177	454	288	284	254	190	197	264	234	250	230	222	254	341	331	337	250	125	354	234	190	368	329	359	204	219	287	183	263	331	273	293	339	287	273	328	322	266	204	294	325	262	274	298	361	328	309	347	335	325	315	358	210	30	40	42	11					
		25.02%	24.14%	27.27%	22.32%	29.56%	26.72%	29.58%	25.10%	24.20%	24.56%	24.60%	27.40%	25.15%	24.19%	26.56%	24.98%	27.72%	26.89%	25.41%	25.93%	22.69%	29.21%	24.02%	24.58%	28.01%	25.23%	26.73%	20.34%	22.67%	25.15%	22.59%	15.18%	26.23%	22.77%	25.13%	28.02%	21.63%	23.06%	24.30%	27.66%	23.99%	28.14%	24.18%	27.92%	23.67%	23.87%	23.82%	25.33%	26.26%	26.25%	23.61%	26.34%	25.12%	26.14%	26.27%	24.71%	30.30%	13.70%	13.95%	11.70%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3573	77	84	70	129	75	71	73	64	51	60	50	83	43	48	91	73	77	87	36	44	86	66	44	49	70	77	47	51	73	44	42	62	88	54	57	52	50	62	70	59	40	48	51	62	67	73	89	67	54	94	48	72	79	73	53	0	8	4	2					
		5.73%	9.44%	6.68%	8.83%	8.40%	6.96%	7.40%	7.21%	8.15%	6.36%	5.59%	5.85%	8.35%	4.52%	5.74%	8.95%	5.93%	6.26%	6.56%	3.73%	7.99%	7.10%	6.78%	5.69%	3.73%	5.37%	5.73%	4.69%	5.28%	6.40%	5.43%	2.42%	4.91%	7.34%	4.63%	4.71%	3.92%	4.22%	4.59%	6.01%	5.32%	5.52%	3.95%	4.38%	5.60%	5.84%	5.84%	6.25%	5.36%	4.59%	6.39%	3.77%	5.56%	6.56%	5.36%	6.24%	0.00%	2.74%	1.33%	2.13%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20998	262	363	219	440	345	283	338	230	245	371	272	291	339	290	307	385	384	417	342	171	351	317	259	448	431	468	422	334	375	254	971	427	422	422	377	506	393	478	353	389	209	460	399	348	390	398	429	410	379	468	410	456	367	471	253	46	174	178	62					
		33.70%	32.11%	28.86%	27.62%	28.65%	32.00%	29.48%	33.40%	29.30%	30.55%	34.58%	31.85%	29.28%	35.65%	34.69%	30.19%	31.30%	31.19%	31.45%	35.48%	31.03%	28.96%	32.55%	33.51%	34.09%	33.05%	34.85%	42.07%	34.58%	32.87%	31.36%	56.03%	33.84%	35.20%	36.19%	31.16%	38.13%	33.19%	35.41%	30.33%	35.08%	28.83%	37.83%	34.28%	31.44%	33.97%	31.81%	30.11%	32.83%	32.20%	31.84%	32.23%	35.24%	30.46%	34.56%	29.76%	46.46%	59.59%	59.14%	65.96%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	683	18	23	13	20	10	12	10	12	9	11	9	9	17	6	10	14	18	13	14	3	14	12	5	19	15	14	8	9	20	7	13	9	16	18	13	14	3	18	15	8	5	9	9	10	9	11	15	12	11	16	11	20	14	13	11	0	3	3	0					
		1.10%	2.21%	1.83%	1.64%	1.30%	0.93%	1.25%	0.99%	1.53%	1.12%	1.03%	1.05%	0.91%	1.79%	0.72%	0.98%	1.14%	1.46%	0.98%	1.45%	0.54%	1.16%	1.23%	0.65%	1.45%	1.15%	1.04%	0.80%	0.93%	1.75%	0.86%	0.75%	0.71%	1.33%	1.54%	1.07%	1.06%	0.25%	1.33%	1.29%	0.72%	0.69%	0.74%	0.77%	0.90%	0.78%	0.88%	1.05%	0.96%	0.93%	1.09%	0.86%	1.55%	1.16%	0.95%	1.29%	0.00%	1.03%	0.99%	0.00%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
