Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Нововоронежская городская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212					
1	"Число избирателей, внесенных в списки"	30943	2529	2653	2337	2608	2343	2569	2450	2847	2685	2830	2562	2530					
2	"Число бюллетеней, полученных участковыми комиссиями"	30000	2450	2550	2300	2500	2300	2500	2400	2700	2600	2700	2500	2500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15816	1340	1299	1120	1366	1245	1281	1264	1416	1322	1477	1312	1374					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	242	46	8	14	37	15	14	9	26	17	9	33	14					
6	Число погашенных бюллетеней	13942	1064	1243	1166	1097	1040	1205	1127	1258	1261	1214	1155	1112					
7	Число бюллетеней в переносных ящиках для голосования	242	46	8	14	37	15	14	9	26	17	9	33	14					
8	Число бюллетеней в стационарных ящиках для голосования	15790	1340	1299	1120	1366	1242	1263	1261	1416	1320	1477	1312	1374					
9	Число недействительных бюллетеней	172	18	15	19	23	25	8	16	10	12	4	17	5					
10	Число действительных бюллетеней	15860	1368	1292	1115	1380	1232	1269	1254	1432	1325	1482	1328	1383					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	194	16	16	16	16	16	16	16	16	16	16	16	18					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	93	9	10	9	8	7	3	8	10	12	3	12	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	2	3	4	25	2	1	3	1	3	14	0	2					
14	Число погашенных открепительных удостоверений	101	7	6	7	8	9	13	8	6	4	13	4	16					
15	Число открепительных удостоверений выданных ТИК	6	1	0	0	1	1	0	1	0	0	0	2	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	115	7	8	6	13	8	9	8	13	13	9	8	13					
		0.71%	0.50%	0.61%	0.52%	0.92%	0.63%	0.70%	0.62%	0.90%	0.97%	0.60%	0.59%	0.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	444	27	42	28	35	45	38	47	33	39	33	37	40					
		2.76%	1.94%	3.21%	2.46%	2.49%	3.57%	2.97%	3.70%	2.28%	2.91%	2.22%	2.75%	2.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	267	30	24	18	35	12	29	17	26	26	16	19	15					
		1.66%	2.16%	1.83%	1.58%	2.49%	0.95%	2.27%	1.33%	1.80%	1.94%	1.07%	1.41%	1.08%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	801	77	57	59	57	60	66	68	79	57	88	60	73					
		4.99%	5.55%	4.36%	5.20%	4.06%	4.77%	5.16%	5.35%	5.47%	4.26%	5.92%	4.46%	5.25%					
22	"5. ""За Русь Святую"""	96	9	8	4	16	7	5	8	7	4	10	14	4					
		0.59%	0.64%	0.61%	0.35%	1.14%	0.55%	0.39%	0.62%	0.48%	0.29%	0.67%	1.04%	0.28%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	3	1	2	3	2	0	1	0	3	2	2	0					
		0.11%	0.21%	0.07%	0.17%	0.21%	0.15%	0.0%	0.07%	0.0%	0.22%	0.13%	0.14%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	105	8	6	13	10	6	9	10	8	7	11	7	10					
		0.65%	0.57%	0.45%	1.14%	0.71%	0.47%	0.70%	0.78%	0.55%	0.52%	0.74%	0.52%	0.72%					
25	"8. ""Народно-республиканская партия России"""	12	2	1	0	1	3	0	1	0	1	3	0	0					
		0.07%	0.14%	0.07%	0.0%	0.07%	0.23%	0.0%	0.07%	0.0%	0.07%	0.20%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	47	3	5	4	4	0	2	4	3	4	3	5	10					
		0.29%	0.21%	0.38%	0.35%	0.28%	0.0%	0.15%	0.31%	0.20%	0.29%	0.20%	0.37%	0.72%					
27	"10. ""Аграрная партия России"""	266	22	21	12	28	12	21	23	28	23	18	28	30					
		1.65%	1.58%	1.60%	1.05%	1.99%	0.95%	1.64%	1.81%	1.94%	1.72%	1.21%	2.08%	2.16%					
28	"11. ""Истинные патриоты России"""	8	1	0	1	3	0	0	0	0	1	0	1	1					
		0.04%	0.07%	0.0%	0.08%	0.21%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.07%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	160	10	10	12	9	14	18	9	13	21	16	13	15					
		0.99%	0.72%	0.76%	1.05%	0.64%	1.11%	1.40%	0.70%	0.90%	1.57%	1.07%	0.96%	1.08%					
30	"13. ""Демократическая партия России"""	24	2	2	3	3	1	2	3	2	2	2	0	2					
		0.14%	0.14%	0.15%	0.26%	0.21%	0.07%	0.15%	0.23%	0.13%	0.14%	0.13%	0.0%	0.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	25	2	1	3	2	3	0	2	6	3	0	3	0					
		0.15%	0.14%	0.07%	0.26%	0.14%	0.23%	0.0%	0.15%	0.41%	0.22%	0.0%	0.22%	0.0%					
32	"15. ""Партия СЛОН"""	23	2	4	0	4	4	3	0	2	1	1	0	2					
		0.14%	0.14%	0.30%	0.0%	0.28%	0.31%	0.23%	0.0%	0.13%	0.07%	0.06%	0.0%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4950	417	396	343	368	348	410	411	491	473	424	410	459					
		30.87%	30.08%	30.29%	30.24%	26.22%	27.68%	32.10%	32.36%	34.04%	35.37%	28.53%	30.48%	33.06%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	0	5	1	5	0	1	1	1	4	1	2	4					
		0.15%	0.0%	0.38%	0.08%	0.35%	0.0%	0.07%	0.07%	0.06%	0.29%	0.06%	0.14%	0.28%					
35	"18. ""ЛДПР"""	1926	152	154	129	162	164	143	150	173	155	196	164	184					
		12.01%	10.96%	11.78%	11.37%	11.54%	13.04%	11.19%	11.81%	11.99%	11.59%	13.18%	12.19%	13.25%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	177	21	14	14	14	18	10	15	19	14	16	13	9					
		1.10%	1.51%	1.07%	1.23%	0.99%	1.43%	0.78%	1.18%	1.31%	1.04%	1.07%	0.96%	0.64%					
37	"20. ""Политическая партия ""Единая Россия"""	3670	334	305	296	374	281	296	253	301	254	371	319	286					
