Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Большесосновская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520					
1	"Число избирателей, внесенных в список"	11038	2390	1093	372	507	238	286	385	536	220	391	331	211	535	287	202	393	1751	348	469	93					
2	Число полученных избирательных бюллетеней	11195	2400	1100	380	500	250	300	400	550	220	380	350	220	550	300	201	400	1800	350	450	94					
3	"Число избирательных бюллетеней, выданных  досрочно"	76	0	0	0	0	10	0	0	33	0	0	3	23	0	0	7	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6274	1264	581	210	206	181	198	201	251	156	264	162	134	319	204	142	245	916	215	360	65					
5	"Число избирательных бюллетеней, выданных вне помещения"	1377	100	47	46	193	28	7	129	63	45	51	100	24	86	47	17	62	229	60	29	14					
6	Число погашенных избирательных бюллетеней	3468	1036	472	124	101	31	95	70	203	19	65	85	39	145	49	35	93	655	75	61	15					
7	Число избирательных бюллетеней в переносных ящиках	1453	100	47	46	193	38	7	129	96	45	51	103	47	86	47	24	62	229	60	29	14					
8	Число бюллетеней в стационарных ящиках для голосования	6274	1264	581	210	206	181	198	201	251	156	264	162	134	319	204	142	245	916	215	360	65					
9	Число недействительных избирательных бюллетеней	58	9	3	2	1	0	1	6	3	2	2	0	2	1	2	3	5	9	6	1	0					
10	Число действительных избирательных бюллетеней	7669	1355	625	254	398	219	204	324	344	199	313	265	179	404	249	163	302	1136	269	388	79					
11	Число полученных открепительных  удостоверений	290	35	25	10	15	10	10	15	20	10	10	10	10	20	10	10	15	30	10	10	5					
12	Число выданных открепительных удостоверений	114	19	13	4	4	10	2	5	1	2	1	4	8	3	1	3	11	11	10	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	13	2	1	3	3	0	4	2	2	1	0	2	6	1	2	2	7	5	3	0					
14	Число неиспользованных открепительных удостоверений	176	16	12	6	11	0	8	10	19	8	9	6	2	17	9	7	4	19	0	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	183	40	14	9	7	4	4	3	8	3	5	8	4	4	4	5	7	42	7	4	1					
		2.37%	2.93%	2.23%	3.52%	1.75%	1.83%	1.95%	0.91%	2.31%	1.49%	1.59%	3.02%	2.21%	0.99%	1.59%	3.01%	2.28%	3.67%	2.55%	1.03%	1.27%					
19	. Малышкин Олег Александрович	263	29	19	9	18	4	11	6	11	11	9	13	10	13	15	2	11	34	12	19	7					
		3.40%	2.13%	3.03%	3.52%	4.51%	1.83%	5.37%	1.82%	3.17%	5.47%	2.86%	4.91%	5.52%	3.21%	5.98%	1.20%	3.58%	2.97%	4.36%	4.88%	8.86%					
20	. Миронов Сергей Михайлович	61	7	2	4	1	3	1	1	5	2	2	2	2	3	2	2	7	13	1	0	1					
		0.79%	0.51%	0.32%	1.56%	0.25%	1.37%	0.49%	0.30%	1.44%	1.00%	0.63%	0.75%	1.10%	0.74%	0.80%	1.20%	2.28%	1.14%	0.36%	0.00%	1.27%					
21	. Путин Владимир Владимирович	5634	1031	503	188	290	178	171	261	248	133	252	167	123	332	149	121	202	734	223	286	42					
		72.91%	75.59%	80.10%	73.44%	72.68%	81.28%	83.41%	79.09%	71.47%	66.17%	80.00%	63.02%	67.96%	81.98%	59.36%	72.89%	65.80%	64.10%	81.09%	73.52%	53.16%					
22	. Хакамада Ирина Муцуовна	183	60	12	3	11	3	5	8	5	2	5	5	10	4	2	0	7	23	0	15	3					
		2.37%	4.40%	1.91%	1.17%	2.76%	1.37%	2.44%	2.42%	1.44%	1.00%	1.59%	1.89%	5.52%	0.99%	0.80%	0.00%	2.28%	2.01%	0.00%	3.86%	3.80%					
23	. Харитонов Николай Михайлович	1194	153	63	40	67	23	11	41	63	39	36	61	22	46	71	33	55	258	23	64	25					
		15.45%	11.22%	10.03%	15.62%	16.79%	10.50%	5.37%	12.42%	18.16%	19.40%	11.43%	23.02%	12.15%	11.36%	28.29%	19.88%	17.92%	22.53%	8.36%	16.45%	31.65%					
																											
24	Против всех	151	35	12	1	4	4	1	4	4	9	4	9	8	2	6	0	13	32	3	0	0					
		1.95%	2.57%	1.91%	0.39%	1.00%	1.83%	0.49%	1.21%	1.15%	4.48%	1.27%	3.40%	4.42%	0.49%	2.39%	0.00%	4.23%	2.79%	1.09%	0.00%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
