Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Тенькинская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в списки избирателей"	4943	174	1778	1595	135	70	396	555	191	49					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4604	167	1690	1535	130	70	340	441	185	46					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	167	0	56	65	0	0	0	0	0	46					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2831	150	912	840	109	63	252	381	124	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	276	0	60	63	7	1	41	50	54	0					
6	Число погашенных избирательных бюллетеней	1330	17	662	567	14	6	47	10	7	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	443	0	116	128	7	1	41	50	54	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2831	150	912	840	109	63	252	381	124	0					
9	Число недействительных избирательных бюллетеней	31	0	9	8	1	0	3	5	4	1					
10	Число действительных избирательных бюллетеней	3243	150	1019	960	115	64	290	426	174	45					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	21	3	4	4	2	2	2	2	2	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	21	3	4	4	2	2	2	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	7	0	0	4	1	0	1	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	4	3	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	55	2	22	20	0	1	4	2	3	1					
		1.68%	1.33%	2.14%	2.07%	0.00%	1.56%	1.37%	0.46%	1.69%	2.17%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	0	9	6	0	1	0	0	3	0					
		0.58%	0.00%	0.88%	0.62%	0.00%	1.56%	0.00%	0.00%	1.69%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	1	0	0	0	0	0	0	0					
		0.03%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	256	6	100	84	10	1	14	25	3	13					
		7.82%	4.00%	9.73%	8.68%	8.62%	1.56%	4.78%	5.80%	1.69%	28.26%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	15	0	7	4	0	0	1	1	1	1					
		0.46%	0.00%	0.68%	0.41%	0.00%	0.00%	0.34%	0.23%	0.56%	2.17%					
23	6.Политическая партия «Партия социальной справедливости»	5	1	2	1	0	0	0	0	1	0					
		0.15%	0.67%	0.19%	0.10%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	385	14	118	122	20	3	26	62	20	0					
		11.76%	9.33%	11.48%	12.60%	17.24%	4.69%	8.87%	14.39%	11.24%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	257	4	114	80	7	9	10	23	10	0					
		7.85%	2.67%	11.09%	8.26%	6.03%	14.06%	3.41%	5.34%	5.62%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	24	2	11	5	0	0	4	2	0	0					
		0.73%	1.33%	1.07%	0.52%	0.00%	0.00%	1.37%	0.46%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2201	121	619	633	78	49	230	309	132	30					
		67.23%	80.67%	60.21%	65.39%	67.24%	76.56%	78.50%	71.69%	74.16%	65.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	0	16	5	0	0	1	2	1	0					
		0.76%	0.00%	1.56%	0.52%	0.00%	0.00%	0.34%	0.46%	0.56%	0.00%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
