Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Рыбно-Слободская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496					
1	"Число избирателей, внесенных в список"	22169	534	344	303	196	115	178	648	394	855	403	111	373	161	313	271	284	377	185	465	125	973	104	952	425	249	598	627	421	568	361	1088	963	815	864	849	975	471	277	196	154	196	157	198	179	321	167	393	435	438	556	564					
2	Число полученных избирательных бюллетеней	22210	540	346	305	195	116	179	650	396	871	403	110	375	165	317	274	288	377	186	465	125	981	104	948	438	249	579	632	424	574	364	1069	940	800	855	850	974	470	283	199	159	196	159	200	179	321	168	403	436	446	560	567					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20625	507	257	303	195	115	178	635	390	704	300	102	370	161	252	245	252	361	180	393	123	882	101	879	389	240	512	593	412	568	320	1009	873	761	828	806	922	456	260	182	139	196	157	198	179	321	146	347	430	423	522	551					
5	"Число избирательных бюллетеней, выданных вне помещения"	1207	21	87	0	0	0	0	7	4	151	103	8	0	0	60	26	32	16	5	52	2	74	3	69	35	9	61	30	9	0	36	25	16	38	27	19	6	13	17	14	12	0	0	0	0	0	21	45	4	13	33	4					
6	Число погашенных избирательных бюллетеней	378	12	2	2	0	1	1	8	2	16	0	0	5	4	5	3	4	0	1	20	0	25	0	0	14	0	6	9	3	6	8	35	51	1	0	25	46	1	6	3	8	0	2	2	0	0	1	11	2	10	5	12					
7	Число избирательных бюллетеней в переносных ящиках	1207	21	87	0	0	0	0	7	4	151	103	8	0	0	60	26	32	16	5	52	2	74	3	69	35	9	61	30	9	0	36	25	16	38	27	19	6	13	17	14	12	0	0	0	0	0	21	45	4	13	33	4					
8	Число бюллетеней в стационарных ящиках для голосования	20625	507	257	303	195	115	178	635	390	704	300	102	370	161	252	245	252	361	180	393	123	882	101	879	389	240	512	593	412	568	320	1009	873	761	828	806	922	456	260	182	139	196	157	198	179	321	146	347	430	423	522	551					
9	Число недействительных избирательных бюллетеней	77	0	0	4	0	0	3	0	0	0	0	3	0	1	0	0	0	1	0	2	0	0	0	14	0	0	0	5	4	0	0	4	9	0	3	2	5	2	0	0	0	0	0	0	0	0	1	6	0	8	0	0					
10	Число действительных избирательных бюллетеней	21755	528	344	299	195	115	175	642	394	855	403	107	370	160	312	271	284	376	185	443	125	956	104	934	424	249	573	618	417	568	356	1030	880	799	852	823	923	467	277	196	151	196	157	198	179	321	166	386	434	428	555	555					
