Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Чародинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671					
1	"Число избирателей, внесенных в список"	7230	401	110	145	33	167	82	234	110	96	66	229	61	1294	36	44	53	263	120	73	32	302	95	122	73	99	80	70	38	184	38	62	21	100	70	27	182	94	84	119	648	94	60	325	95	148	351					
2	Число полученных избирательных бюллетеней	7230	400	110	148	33	160	84	236	111	96	68	225	62	1300	38	45	55	250	122	75	32	300	92	122	75	100	82	66	39	186	40	62	23	102	70	29	173	96	84	116	650	93	61	325	96	147	351					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6182	367	98	127	33	108	68	227	107	85	58	218	57	1160	32	37	45	223	114	50	32	268	89	122	70	86	75	60	30	181	33	62	21	76	68	27	147	81	74	103	335	70	58	293	91	127	289					
5	"Число избирательных бюллетеней, выданных вне помещения"	395	0	0	0	0	21	0	0	0	0	3	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	20	43					
6	Число погашенных избирательных бюллетеней	653	33	12	21	0	31	16	9	4	11	7	3	5	140	6	8	10	27	8	2	0	32	3	0	5	14	7	6	9	5	7	0	2	26	2	2	26	15	10	13	34	23	3	32	5	0	19					
7	Число избирательных бюллетеней в переносных ящиках	395	0	0	0	0	21	0	0	0	0	3	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	20	43					
8	Число бюллетеней в стационарных ящиках для голосования	6182	367	98	127	33	108	68	227	107	85	58	218	57	1160	32	37	45	223	114	50	32	268	89	122	70	86	75	60	30	181	33	62	21	76	68	27	147	81	74	103	335	70	58	293	91	127	289					
9	Число недействительных избирательных бюллетеней	64	0	0	0	0	2	0	1	0	0	0	0	0	33	0	0	0	3	3	0	2	0	0	1	3	1	0	1	0	0	0	2	0	0	0	0	0	2	1	3	5	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	6513	367	98	127	33	127	68	226	107	85	61	222	57	1127	32	37	45	220	111	73	30	268	89	121	67	85	75	59	30	181	33	60	21	76	68	27	147	79	73	100	611	69	58	293	91	147	332					
