Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Ишимская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447					
1	"Число избирателей, внесенных в список"	48279	1263	1622	1486	1680	1197	1328	1632	1365	1689	1976	1971	2004	2044	972	1262	1155	2150	1996	1482	1538	812	1615	1033	2404	982	1713	898	1039	1238	1197	1059	1344	903	200	30					
2	Число полученных избирательных бюллетеней	45930	1200	1600	1500	1500	1200	1300	1500	1300	1800	1800	1800	1900	1900	850	1200	1100	1900	1900	1400	1500	800	1600	950	2200	1000	1600	850	950	1100	1200	950	1500	850	200	30					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34865	1060	1226	1038	919	871	1059	1217	953	1257	1502	1534	1562	1547	708	993	764	1279	1352	1088	1125	630	1201	719	1794	738	1311	656	830	805	740	804	957	596	0	30					
5	"Число избирательных бюллетеней, выданных вне помещения"	2717	72	28	117	73	126	96	121	79	20	98	141	44	113	72	63	67	68	52	98	170	43	74	51	66	22	93	41	48	108	78	58	40	77	200	0					
6	Число погашенных избирательных бюллетеней	8348	68	346	345	508	203	145	162	268	523	200	125	294	240	70	144	269	553	496	214	205	127	325	180	340	240	196	153	72	187	382	88	503	177	0	0					
7	Число избирательных бюллетеней в переносных ящиках	2717	72	28	117	73	126	96	121	79	20	98	141	44	113	72	63	67	68	52	98	170	43	74	51	66	22	93	41	48	108	78	58	40	77	200	0					
8	Число бюллетеней в стационарных ящиках для голосования	34766	1060	1226	1038	919	871	1059	1217	953	1257	1404	1534	1562	1547	708	993	764	1279	1352	1088	1125	630	1201	719	1794	738	1311	656	830	805	740	804	956	596	0	30					
9	Число недействительных избирательных бюллетеней	259	7	0	8	12	4	11	27	3	7	14	11	0	0	10	8	8	5	8	8	6	15	5	6	23	4	11	4	11	3	6	3	0	7	2	2					
10	Число действительных избирательных бюллетеней	37224	1125	1254	1147	980	993	1144	1311	1029	1270	1488	1664	1606	1660	770	1048	823	1342	1396	1178	1289	658	1270	764	1837	756	1393	693	867	910	812	859	996	666	198	28					
11	Число полученных открепительных  удостоверений	975	25	25	25	25	25	25	25	25	150	25	25	50	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	0					
12	Число выданных открепительных удостоверений	406	5	11	8	2	1	4	2	3	150	17	8	24	18	3	9	7	15	20	11	10	2	13	1	20	1	6	6	5	6	6	2	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	179	2	0	6	7	0	2	1	10	12	16	2	15	11	4	2	2	7	3	4	3	0	5	1	5	21	6	1	2	14	1	1	8	3	2	0					
14	Число неиспользованных открепительных удостоверений	569	20	14	17	23	24	21	23	22	0	8	17	26	7	22	16	18	10	5	14	15	23	12	24	5	24	19	19	20	19	19	23	15	25	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
