Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Спасская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641					
1	"Число избирателей, внесенных в список"	16482	632	605	572	583	690	623	810	702	828	849	77	450	129	461	116	183	172	346	337	84	714	106	116	342	144	537	225	526	135	258	262	206	241	71	256	310	432	459	484	328	110	232	739					
2	Число полученных избирательных бюллетеней	16476	617	600	549	584	716	624	777	719	826	835	78	445	129	460	116	184	172	346	341	84	730	103	124	339	142	537	225	523	134	256	261	206	241	71	253	310	434	478	488	325	111	233	750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15265	572	512	464	533	657	518	668	609	720	727	77	420	129	440	110	182	154	346	307	82	686	100	116	330	134	523	222	503	134	249	259	206	240	71	253	300	415	448	483	321	110	230	705					
5	"Число избирательных бюллетеней, выданных вне помещения"	307	11	14	18	11	0	60	10	5	14	11	0	25	0	11	6	0	11	0	28	0	0	0	0	5	2	6	0	16	0	0	2	0	0	0	0	7	0	0	0	4	0	0	30					
6	Число погашенных избирательных бюллетеней	904	34	74	67	40	59	46	99	105	92	97	1	0	0	9	0	2	7	0	6	2	44	3	8	4	6	8	3	4	0	7	0	0	1	0	0	3	19	30	5	0	1	3	15					
7	Число избирательных бюллетеней в переносных ящиках	307	11	14	18	11	0	60	10	5	14	11	0	25	0	11	6	0	11	0	28	0	0	0	0	5	2	6	0	16	0	0	2	0	0	0	0	7	0	0	0	4	0	0	30					
8	Число бюллетеней в стационарных ящиках для голосования	15263	572	512	464	533	657	518	668	609	720	727	77	420	129	440	110	182	154	346	307	82	686	100	116	330	134	523	222	503	134	247	259	206	240	71	253	300	415	448	483	321	110	230	705					
9	Число недействительных избирательных бюллетеней	37	2	2	11	4	0	0	5	3	0	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	15533	581	524	471	540	657	578	673	611	734	736	74	445	129	451	116	182	165	346	335	82	684	100	116	335	136	529	222	519	134	247	261	206	240	71	252	307	415	447	483	325	110	229	735					
11	Число полученных открепительных  удостоверений	440	15	15	15	15	15	15	15	15	15	15	0	10	5	10	10	10	10	10	10	5	10	10	10	10	10	10	5	10	5	10	10	10	10	5	10	10	10	10	10	10	5	10	10					
12	Число выданных открепительных удостоверений	83	7	6	5	9	6	1	1	5	6	4	0	0	1	1	0	1	2	0	2	0	3	0	0	0	1	1	3	2	0	1	0	0	0	0	1	0	3	0	8	0	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	2	1	1	1	1	0	3	0	3	2	1	1	0	2	2	0	1	1	0	0	23	1	1	1	1	0	0	4	1	1	0	2	0	0	1	0	0	1	0	1	0	1	0					
14	Число неиспользованных открепительных удостоверений	357	8	9	10	6	9	14	14	10	9	11	0	10	4	9	10	9	8	10	8	5	7	10	10	10	9	9	2	8	5	9	10	10	10	5	9	10	7	10	2	10	5	9	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	99	7	22	10	3	2	1	10	11	6	14	0	0	0	0	2	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1					
		0.64%	1.20%	4.18%	2.07%	0.55%	0.30%	0.17%	1.47%	1.79%	0.82%	1.90%	0.00%	0.00%	0.00%	0.00%	1.72%	0.00%	0.61%	0.00%	0.00%	0.00%	0.29%	0.00%	0.86%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.21%	0.00%	0.00%	0.00%	0.14%					
19	. Малышкин Олег Александрович	79	10	7	8	1	0	0	6	15	5	10	6	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2					
