Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Лаганская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136					
1	"Число избирателей, внесенных в список"	15358	848	216	867	688	796	699	796	565	695	604	471	870	787	669	583	1033	695	601	761	582	551	461	520					
2	Число полученных избирательных бюллетеней	15508	860	218	876	680	806	701	797	558	702	609	475	882	784	682	586	1049	695	604	787	593	560	482	522					
3	"Число избирательных бюллетеней, выданных  досрочно"	405	4	4	1	0	5	47	5	16	19	11	10	27	15	10	29	25	23	36	16	25	21	25	31					
4	"Число избирательных бюллетеней, выданных в день голосования"	10732	656	183	730	485	491	501	561	438	327	405	348	625	606	494	350	783	489	292	543	376	328	328	393					
5	"Число избирательных бюллетеней, выданных вне помещения"	932	61	12	24	108	88	48	63	24	22	42	19	29	29	13	97	21	52	42	43	53	20	7	15					
6	Число погашенных избирательных бюллетеней	3439	139	19	121	87	222	105	168	80	334	151	98	201	134	165	110	220	131	234	185	139	191	122	83					
7	Число избирательных бюллетеней в переносных ящиках	1337	65	16	25	108	93	95	68	40	41	53	29	56	44	23	126	46	75	78	59	78	41	32	46					
8	Число бюллетеней в стационарных ящиках для голосования	10732	656	183	730	485	491	501	561	438	327	405	348	625	606	494	350	783	489	292	543	376	328	328	393					
9	Число недействительных избирательных бюллетеней	132	0	0	8	14	7	0	7	5	5	3	5	9	2	14	16	9	2	13	2	3	1	5	2					
10	Число действительных избирательных бюллетеней	11937	721	199	747	579	577	596	622	473	363	455	372	672	648	503	460	820	562	357	600	451	368	355	437					
11	Число полученных открепительных  удостоверений	299	13	5	13	12	12	12	12	12	12	12	12	12	13	12	12	15	13	12	35	12	12	12	12					
12	Число выданных открепительных удостоверений	98	8	2	1	1	3	2	1	3	1	6	4	2	3	3	3	6	5	1	25	1	6	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	2	0	3	2	0	0	1	3	2	2	0	2	2	1	2	1	3	1	0	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	201	5	3	12	11	9	10	11	9	11	6	8	10	10	9	9	9	8	11	10	11	6	1	12					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	240	4	0	9	8	13	12	12	12	13	8	6	13	11	7	13	17	11	9	12	19	12	9	10					
		1.99%	0.55%	0.00%	1.19%	1.35%	2.23%	2.01%	1.91%	2.51%	3.53%	1.75%	1.59%	1.91%	1.69%	1.35%	2.73%	2.05%	1.95%	2.43%	1.99%	4.19%	3.25%	2.50%	2.28%					
19	. Малышкин Олег Александрович	91	2	0	2	2	10	4	3	8	3	3	1	5	5	5	5	13	3	2	2	1	8	2	2					
		0.75%	0.28%	0.00%	0.26%	0.34%	1.71%	0.67%	0.48%	1.67%	0.82%	0.66%	0.27%	0.73%	0.77%	0.97%	1.05%	1.57%	0.53%	0.54%	0.33%	0.22%	2.17%	0.56%	0.46%					
20	. Миронов Сергей Михайлович	32	1	0	0	1	0	3	1	2	1	2	3	2	1	0	1	2	3	1	0	4	0	2	2					
		0.27%	0.14%	0.00%	0.00%	0.17%	0.00%	0.50%	0.16%	0.42%	0.27%	0.44%	0.80%	0.29%	0.15%	0.00%	0.21%	0.24%	0.53%	0.27%	0.00%	0.88%	0.00%	0.56%	0.46%					
21	. Путин Владимир Владимирович	10419	668	184	695	546	490	520	532	392	308	380	316	574	585	458	406	707	492	301	533	381	264	301	386					
		86.33%	92.65%	92.46%	92.05%	92.07%	83.90%	87.25%	84.58%	82.01%	83.70%	82.97%	83.82%	84.29%	90.00%	88.59%	85.29%	85.28%	87.23%	81.35%	88.54%	83.92%	71.54%	83.61%	87.93%					
22	. Хакамада Ирина Муцуовна	249	19	3	7	7	17	15	12	11	8	25	7	10	11	5	9	15	7	6	18	21	9	2	5					
		2.06%	2.64%	1.51%	0.93%	1.18%	2.91%	2.52%	1.91%	2.30%	2.17%	5.46%	1.86%	1.47%	1.69%	0.97%	1.89%	1.81%	1.24%	1.62%	2.99%	4.63%	2.44%	0.56%	1.14%					
23	. Харитонов Николай Михайлович	808	23	12	34	13	46	38	59	42	23	34	33	61	28	24	25	58	41	35	28	25	65	35	26					
		6.69%	3.19%	6.03%	4.50%	2.19%	7.88%	6.38%	9.38%	8.79%	6.25%	7.42%	8.75%	8.96%	4.31%	4.64%	5.25%	7.00%	7.27%	9.46%	4.65%	5.51%	17.62%	9.72%	5.92%					
																														
24	Против всех	98	4	0	0	2	1	4	3	6	7	3	6	7	7	4	1	8	5	3	7	0	10	4	6					
		0.81%	0.55%	0.00%	0.00%	0.34%	0.17%	0.67%	0.48%	1.26%	1.90%	0.66%	1.59%	1.03%	1.08%	0.77%	0.21%	0.97%	0.89%	0.81%	1.16%	0.00%	2.71%	1.11%	1.37%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
