Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Анадырская городская												
												
Сводная таблица итогов голосования  по федеральному округу												
												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5					
1	"Число избирателей, внесенных в списки"	9262	1921	2054	2446	2537	304					
2	"Число бюллетеней, полученных участковыми комиссиями"	8200	1700	1800	2200	2200	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4931	1035	1051	1402	1231	212					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	303	107	28	37	129	2					
6	Число погашенных бюллетеней	2966	558	721	761	840	86					
7	Число бюллетеней в переносных ящиках для голосования	303	107	28	37	129	2					
8	Число бюллетеней в стационарных ящиках для голосования	4925	1032	1050	1400	1231	212					
9	Число недействительных бюллетеней	59	7	12	21	13	6					
10	Число действительных бюллетеней	5169	1132	1066	1416	1347	208					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	130	30	30	30	30	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	8	2	8	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	4	3	3	1	0					
14	Число погашенных открепительных удостоверений	106	22	28	22	25	9					
15	Число открепительных удостоверений выданных ТИК	3	0	2	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	52	7	11	14	16	4					
		0.99%	0.61%	1.02%	0.97%	1.17%	1.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	153	32	28	36	54	3					
		2.92%	2.80%	2.59%	2.50%	3.97%	1.40%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	132	29	26	32	39	6					
		2.52%	2.54%	2.41%	2.22%	2.86%	2.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	169	37	34	40	55	3					
		3.23%	3.24%	3.15%	2.78%	4.04%	1.40%					
22	"5. ""За Русь Святую"""	40	9	9	9	12	1					
		0.76%	0.79%	0.83%	0.62%	0.88%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	10	1	5	3	1	0					
		0.19%	0.08%	0.46%	0.20%	0.07%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	24	3	4	7	10	0					
		0.45%	0.26%	0.37%	0.48%	0.73%	0.0%					
25	"8. ""Народно-республиканская партия России"""	1	1	0	0	0	0					
		0.01%	0.08%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	4	5	8	3	2					
		0.42%	0.35%	0.46%	0.55%	0.22%	0.93%					
27	"10. ""Аграрная партия России"""	68	13	21	10	22	2					
		1.30%	1.14%	1.94%	0.69%	1.61%	0.93%					
28	"11. ""Истинные патриоты России"""	7	3	0	1	2	1					
		0.13%	0.26%	0.0%	0.06%	0.14%	0.46%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	167	60	21	43	34	9					
		3.19%	5.26%	1.94%	2.99%	2.5%	4.20%					
30	"13. ""Демократическая партия России"""	18	1	2	7	6	2					
		0.34%	0.08%	0.18%	0.48%	0.44%	0.93%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	3	2	2	0	0					
		0.13%	0.26%	0.18%	0.13%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	1	1	4	3	0					
		0.17%	0.08%	0.09%	0.27%	0.22%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	244	68	46	69	60	1					
		4.66%	5.97%	4.26%	4.80%	4.41%	0.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	16	4	4	1	7	0					
		0.30%	0.35%	0.37%	0.06%	0.51%	0.0%					
35	"18. ""ЛДПР"""	658	130	137	190	170	31					
		12.58%	11.41%	12.70%	13.22%	12.5%	14.48%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	73	15	13	16	26	3					
		1.39%	1.31%	1.20%	1.11%	1.91%	1.40%					
37	"20. ""Политическая партия ""Единая Россия"""	2709	593	572	771	655	118					
		51.81%	52.06%	53.06%	53.65%	48.16%	55.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	1	1	2	4	0					
		0.15%	0.08%	0.09%	0.13%	0.29%	0.0%					
39	"22. ""Развитие предпринимательства"""	26	2	5	11	7	1					
		0.49%	0.17%	0.46%	0.76%	0.51%	0.46%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	309	58	71	76	93	11					
		5.91%	5.09%	6.58%	5.28%	6.83%	5.14%					
												
41	Против всех	247	57	48	64	68	10					
		4.72%	5.00%	4.45%	4.45%	5.0%	4.67%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
